component_id,component_index,component_name,chart_rows (bars),chart_sum_data (圖表加總),chart_sum_value (map legend),dag_tables,dag_api_counts,error
5,circular,臺北市陳情系統,10,40637,,resh_petition,D010501=40637,
7,patrol_criminalcase,刑事統計,70,280506,,patrol_criminal_case,R0022=None,
9,police_facility,警察相關設施,2,,,patrol_police_station,R0031=112,
11,designate,緊急避難設施,1,,401,patrol_designate_place,R0017=401,
14,patrol_fireriskarea,火災風險地點,2,,449,patrol_fire_disqualified | patrol_fire_rescure,R0033=446 | R0033_2=2,
15,fire_respondent,火災應變設施,2,,,fire_hydrant_location | patrol_fire_brigade,R0075=30445 | R0033_1=46,
16,slope_area_risk,山坡地風險地點,4,,35096,patrol_artificial_slope | patrol_debris | patrol_debrisarea | patrol_old_settlement,R0018=1736 | R0019=None | R0020=34849 | R0021=34,
20,traffic_todaywork,今日施工資訊,12,408,,traffic_todayworks,R0040=N/A,
22,traffic_accident,最新交通事故月統計,2,1992,,traffic_accident | traffic_accident_location,D030201=22762 | R0042=22762,
28,building_renew,都市更新案件,5,2500,,building_renewarea_10 | building_renewarea_40 | building_renewunit_12 | building_renewunit_20 | building_renewunit_30,R0062=307 | R0063=967 | R0064=584 | R0065=562 | R0066=80,
29,social_house,社會住宅建設進度,5,84,,building_social_house,R0061=84,
30,building_unsued,閒置市有財產,2,,108,building_unsued_land | building_unsued_public,R0067=87 | R0068=65,
33,building_publand,公有土地,7,134.52,,building_publand,R0056=147546,
34,building_landuse,都市計畫用地類型,23,249.66,,urbn_landuse_master_plan,R0054=3824,
42,building_age,全市屋齡分布,48,253081,,building_permit | building_permit_history,R0057=34 | R0058=34,
43,pump_status,抽水站狀態,2,97,,patrol_rain_floodgate,R0036=N/A,
57,traffic,交通路況,3,99.29,,traffic_lives,R0038_2=N/A,
59,water_level,水位監測,2,233,,patrol_rain_sewer,R0034=N/A,
60,youbike_availability,YouBike使用情況,3/3,89897/48139,/,traffic_youbike_two_realtime_new_tpe | tran_ubike_realtime,R0051_3=N/A | youbike_station_realtime_usage_and_availability=N/A,
68,metro_green_line,松山新店線擁擠程度,12,1466654,,mrtp_metro_capacity_realtime | traffic_metro_unusual,R0047=None | R0046=22,
73,metro_passengers,捷運人流趨勢,,,,mrtp_metro_capacity_realtime | traffic_metro_unusual,R0047=None | R0046=22,"invalid input syntax for type timestamp with time zone: ""%s""
LINE 3:     '%s'::timestamp with time zone AS start_time,
            ^
"
79,metro_blue_line,板南線擁擠程度,26,3126530,,mrtp_metro_capacity_realtime | traffic_metro_unusual,R0047=None | R0046=22,
91,bus_station,公車站,1,,,patrol_flood_78_8,R0037_1=3,
103,parks,公園綠地,4,1913.88,,work_park,D050303_1=880,
104,green_spaces,都市綠地,3,754.21,,work_park,D050303_1=880,
105,sidewalk,人行道分布,1,,,work_sidewalk,D030101_1=15291,
106,hospitals,醫療院所分布,2,,1895,gynecology_clinic,D100105=143,
108,street_lamps,路燈分佈,12,145860,,work_street_light,D040301_1=146372,
109,bike_lanes,自行車道,2,,,bike_network_tpe,bike_path=493,
110,street_trees,行道樹,12,92989,,work_street_tree,D050201_1=92927,
111,gardens,田園城市,4,24,,work_garden_city,D050301_1=765,
114,public_parking_lots,公共停車場,4,225078,,tran_parking | tran_parking_capacity_realtime,D030104_1=N/A | D030104_2=874,
115,soil_liquefaction,土壤液化潛勢,3,,,work_soil_liquefaction,D050401_1=None,
