dag,ready_table,name_cn,source_dept,source_type,schedule_interval,row_count,fetch_note,source_url
proj_city_dashboard/D010501,resh_petition,臺北市陳情系統類別資料,研考會,data.taipei api,0 19 16 * *,40637,page→rid 4f78ad83-ba00-41ff-b1fb-83f87932da87,https://data.taipei/dataset/detail?id=cb423c17-88eb-4231-a725-f1b93247d1bf
proj_city_dashboard/D020105,urbn_air_raid_shelter,臺北市防空避難處所清冊,都發局 建管處,data.taipei api,"0 3 24 6,12 *",5917,data.taipei rid=e7aecde4-ef04-46e3-849b-1ee159ea6d5f,https://data.taipei/dataset/detail?id=29a13836-028e-430d-bf5d-18ad3850f178
proj_city_dashboard/D020201,fire_narrow_street,臺北市狹小巷道清冊(紅黃區),消防局,data.taipei api,20 5 25 * *,274,data.taipei rid=cd4ec60e-8d53-48a5-bbf1-9ec1f2afc20b,https://data.taipei/dataset/detail?id=95c2eed3-8253-4dce-bf8e-1d6a01517514
proj_city_dashboard/D020301,tran_cctv,雙北交通路口即時影像清單,交通局,ATIS api,0 1 7 * *,752,ATIS CCTVByLBS,https://its.taipei.gov.tw/
proj_city_dashboard/D030101_1,work_sidewalk,臺北市人行道固定設施物_人行道範圍圖,工務局,data.taipei GeoJSON,0 0 1 * *,15291,json https://tpnco.blob.core.windows.net/blobfs/Data/TP_SIDEWORK.,https://data.taipei/dataset/detail?id=715d3a83-8445-4496-b6bf-b0900538b7e7
proj_city_dashboard/D030104_1,tran_parking_capacity_realtime,臺北市停車場資訊-剩餘停車位數V2,交通局,data.taipei JSON,*/5 * * * *,N/A,即時 DAG 排除 (),https://data.taipei/dataset/detail?id=d5c0656b-5250-4179-a491-c94daa56ef2c
proj_city_dashboard/D030104_2,tran_parking,臺北市停車場資訊-停車場資訊V2,交通局,data.taipei JSON,10 22 * * 1,874,unresolved urls=['https://tcgbusfs.blob.core.windows.net/blobtcmsv/T'] rids=[] pages=[] ntpc=[] moenv=[] | patched,https://data.taipei/dataset/detail?id=d5c0656b-5250-4179-a491-c94daa56ef2c
proj_city_dashboard/D030201,traffic_accident,A1及A2交通事故資料,交通局,data.taipei csv,"0 18 27 6,12 *",22762,page→rid 83d6d29c-6801-41a2-95c6-47d551646db3,https://data.taipei/dataset/detail?id=2f238b4f-1b27-4085-93e9-d684ef0e2735
proj_city_dashboard/D040301_1,work_street_light,臺北市路燈位置分布圖,工務局,data.taipei JSON,50 20 * * *,146372,json https://tppkl.blob.core.windows.net/blobfs/TaipeiLight.json,https://data.taipei/dataset/detail?id=262e80cf-579c-4bfb-ba73-31621bc84616
proj_city_dashboard/D040302_1,work_urgent_use_road,臺北市今日臨時使用道路路段,工務局 新工處,data.taipei GeoJSON,10 6 * * *,230,json https://tpnco.blob.core.windows.net/blobfs/Rally/TodayUrgent,https://data.taipei/dataset/detail?id=7c81e793-a67f-4b44-86df-8788af892368
proj_city_dashboard/D040302_2,work_rally_use_road,臺北市今日使用道路集會路段,工務局 新工處,data.taipei GeoJSON,0 6 * * *,4,json https://tpnco.blob.core.windows.net/blobfs/Rally/TodayRallyC,https://data.taipei/dataset/detail?id=aaea574f-9264-4d9f-b4cd-5b0fced7e37c
proj_city_dashboard/D040401,garbage_truck,垃圾車點位路線資訊,環保局,data.taipei API,0 0 1 * *,4015,data.taipei rid=a6e90031-7ec4-4089-afb5-361a4efe7202,https://data.taipei/dataset/detail?id=6bb3304b-4f46-4bb0-8cd1-60c66dcd1cae
proj_city_dashboard/D050201_1,work_street_tree,行道樹分布圖,工務局 公燈處,data.taipei JSON,0 3 9 * *,92927,json https://tppkl.blob.core.windows.net/blobfs/TaipeiTree.json,https://data.taipei/dataset/detail?id=7a49d00c-a5ff-4a6b-be9e-aaa6dc1ff7e8
proj_city_dashboard/D050301_1,work_garden_city,田園城市點位圖資,工務局 公燈處,data.taipei JSON,0 0 1 * *,765,direct https://farmcity.taipei/city/api/,https://data.taipei/dataset/detail?id=32adce69-45ca-4f9c-a8d6-0f7cf27fa556
proj_city_dashboard/D050303_1,work_park,臺北市水綠地圖集-公園綠地_公園,工務局,data.taipei GeoJSON,"0 2 4 6,12 *",880,download-file,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042
proj_city_dashboard/D050303_5,work_permeable_paving_schoool,透水鋪面_學校透水鋪面,工務局,data.taipei API,0 0 1 * *,80,download-file,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042
proj_city_dashboard/D050303_6,work_permeable_paving_parking,透水鋪面_停車場透水鋪面,工務局,data.taipei API,0 0 1 * *,23,download-file,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042
proj_city_dashboard/D050303_7,work_permeable_paving_park,透水鋪面_公園透水鋪面,工務局,data.taipei API,0 0 1 * *,102,download-file,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042
proj_city_dashboard/D050303_8,work_permeable_paving_sidewalk,透水鋪面_人行道透水鋪面,工務局,data.taipei API,0 0 1 * *,848,download-file,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042
proj_city_dashboard/D050303_9,work_permeable_paving_pac,透水鋪面_PAC透水鋪面,工務局,data.taipei API,0 0 1 * *,26,download-file,https://data.taipei/dataset/detail?id=5b277432-f534-4d09-a24c-d3f6b514e042
proj_city_dashboard/D050401_1,work_soil_liquefaction,臺北市土壤液化潛勢圖,工務局,data.taipei GeoJSON,"0 5 2 5,11 *",,soil.taipei 已改為登入頁,https://data.taipei/dataset/detail?id=ec40e067-930f-4058-b7dc-71399d5f3147
proj_city_dashboard/D050502,moenv_air_quality,空氣品質-縣市(臺北市)小時值-每小時,環境部 監測資訊司,MOENV API,20 * * * *,84,moenv aqx_p_432,https://data.moenv.gov.tw/dataset/detail/aqx_p_432
proj_city_dashboard/D050601,env_greenhouse_gas_stat,臺北市溫室氣體排放統計—本市總排放量及人均排放量,環保局,data.taipei api,"0 1 18 5,11 *",20,data.taipei rid=047024e1-b7a2-4b74-b6ac-e9c2a0072593,https://data.taipei/dataset/detail?id=493e8019-3de7-47fa-aa9b-cb4076e540a2
proj_city_dashboard/D070202,stat_power_usage,台灣電力公司臺北市售電量,主計處,data.taipei API,"0 5 27 3,9 *",,tsis.dbas 主計處內網 CSV,https://data.taipei/dataset/detail?id=9bfb5424-1996-461a-b19b-f75101e2f459
proj_city_dashboard/D100101,nursery_room_info,臺北市哺集乳室資訊,衛生局,data.taipei API,0 0 1 * *,526,data.taipei rid=4350117f-8697-4903-8a49-a7a59f30eeb1,https://data.taipei/dataset/detail?id=5d1d34d8-1b81-4162-87b6-05e0896af958
proj_city_dashboard/D100102_1,childcare_family_hub,臺北市嬰幼兒照顧服務_親子館,社會局,data.taipei API,0 0 1 * *,13,data.taipei rid=5c09f39f-79cc-45b8-be8e-9b3ea8b220e3,https://data.taipei/dataset/detail?id=fd4779d0-827d-4ab3-8f65-2a356abad6d9
proj_city_dashboard/D100102_2,childcare_parenting_garden,臺北市嬰幼兒照顧服務_育兒友善園,社會局,data.taipei API,0 0 1 * *,13,data.taipei rid=4bfa01ad-7ba0-4b7a-9c1b-f9c58a2cd751,https://data.taipei/dataset/detail?id=7262cdae-18e7-4d33-a842-4978cbc84d43
proj_city_dashboard/D100102_3,childcare_homecare_hub,臺北市嬰幼兒照顧服務_居家托育服務中心,社會局,data.taipei API,0 0 1 * *,12,data.taipei rid=5cf938d7-350e-433b-b8be-280710038d74,https://data.taipei/dataset/detail?id=41c729ce-c848-492a-b7a6-db468f06c17c
proj_city_dashboard/D100102_4,childcare_designated_care_center,臺北市嬰幼兒照顧服務_定點臨托,社會局,data.taipei API,0 0 1 * *,23,data.taipei rid=57685fb2-cc92-4874-8588-e5a1b1b15b50,https://data.taipei/dataset/detail?id=41c729ce-c848-492a-b7a6-db468f06c17c
proj_city_dashboard/D100102_5,childcare_community_care_hub,臺北市嬰幼兒照顧服務_社區公共托育家園,社會局,data.taipei API,0 0 1 * *,62,data.taipei rid=f1418a7a-4bdf-41fc-869c-63703dc16363,https://data.taipei/dataset/detail?id=7c66efcd-d073-401c-b18a-7a46728776c4
proj_city_dashboard/D100102_6,childcare_gov_priv_infant_care,臺北市嬰幼兒照顧服務_居家托育服務中心,社會局,data.taipei API,0 0 1 * *,29,data.taipei rid=a02ccc34-dd28-4c5d-b527-c5433ec1a453,https://data.taipei/dataset/detail?id=9c9a3f77-8340-48d8-bc0e-f9155521b758
proj_city_dashboard/D100102_7,childcare_private_childcare,臺北市嬰幼兒照顧服務_私立托嬰中心,社會局,data.taipei API,0 0 1 * *,223,unresolved urls=[] rids=['e7cdaca3-e9da-46f9-b857-395e6e8e06a6'] pages=['081df75e-85c7-464c-b125-546920911c5c'] ntpc=[] moenv=[] | patched,https://data.taipei/dataset/detail?id=081df75e-85c7-464c-b125-546920911c5c
proj_city_dashboard/D100102_8,childcare_resource_hub,臺北市嬰幼兒照顧服務_兒童托育資源中心,社會局,data.taipei API,0 0 1 * *,1,data.taipei rid=1015e1db-bbf0-4cef-9bea-9928e84b3735,https://data.taipei/dataset/detail?id=01ac5a1d-dfc3-44c7-84a7-6d76bcb2879b
proj_city_dashboard/D100103,parental_leave,臺北市就業保險育嬰留職停薪津貼初次核付人數,主計處,data.taipei API,"0 0 1 3,9 *",,tsis.dbas 主計處內網 CSV,https://data.taipei/dataset/detail?id=48eb75e3-8694-433d-87cd-01b08668bcc7
proj_city_dashboard/D100104_1,maternity_hospitals,臺北市哺集乳室資訊,衛生局,data.taipei API,"0 0 1 3,9 *",67,data.taipei rid=66bfed0f-17c6-4cbd-b9e9-88ea1980bc46,https://data.taipei/dataset/detail?id=9ee72240-f9b3-42a7-bcbe-e1bb1a28a2dc
proj_city_dashboard/D100105,gynecology_clinic,臺北市婦產科醫療機構,衛生局,data.taipei API,"0 0 1 3,9 *",143,data.taipei rid=ba860191-ad03-49a3-8df4-29e0a01f3026,https://data.taipei/dataset/detail?id=83dc0502-245a-4d77-99f4-786127cedea2
proj_city_dashboard/D100106_1,newborn_stats_district,臺北市各里人口數按年齡分_112年迄今-每月各里人口數按年齡分,民政局,data.taipei API,0 0 1 * *,54873,data.taipei rid=c8f5b53d-ef3d-4321-ae8e-58cd2a5ee73c,https://data.taipei/dataset/detail?id=a6394e3f-3514-4542-87bd-de4310a40db3
proj_city_dashboard/D100106_2,newborn_stats_vil,臺北市各里人口數按年齡分_112年迄今-每月各里人口數按年齡分,民政局,data.taipei API,0 0 1 * *,54873,data.taipei rid=c8f5b53d-ef3d-4321-ae8e-58cd2a5ee73c,https://data.taipei/dataset/detail?id=a6394e3f-3514-4542-87bd-de4310a40db3
proj_city_dashboard/D100106_3,newborn_stats_time,臺北市各里人口數按年齡分_112年迄今-每月各里人口數按年齡分,民政局,data.taipei API,0 0 1 * *,54873,data.taipei rid=c8f5b53d-ef3d-4321-ae8e-58cd2a5ee73c,https://data.taipei/dataset/detail?id=a6394e3f-3514-4542-87bd-de4310a40db3
proj_city_dashboard/R0017,patrol_designate_place,臺北市可供避難收容處所一覽表,教育局,data.taipei ods file,30 3 1 4 *,401,data.taipei rid=9def0ac0-ad65-4f34-a8a6-aeba704c70d4,https://data.taipei/dataset/detail?id=aaf97773-3631-40e2-b3cc-da87bf2ce1d5
proj_city_dashboard/R0018,patrol_debris,113年度1732條土石流潛勢溪流圖,農業部,data.gov.tw zip,@monthly,1736,moa-shp,https://data.gov.tw/dataset/167440
proj_city_dashboard/R0019,patrol_debrisarea,113年度1732條土石流潛勢溪流影響範圍圖_UTF8,農業部,data.gov.tw zip,@monthly,,"data.moa SHP 異常,R0018 可用",https://data.gov.tw/dataset/167441
proj_city_dashboard/R0020,patrol_artificial_slope,臺北市山坡地人工邊坡位置圖,工務局 大地處,data.taipei shp,0 3 1 12 *,34849,download-file,https://data.taipei/dataset/detail?id=7945f811-9b77-4d89-92ec-d94c827888ca
proj_city_dashboard/R0021,patrol_old_settlement,臺北市老舊聚落分布圖,工務局 大地處,data.taipei shp,"0 3 2 6,12 *",34,download-file,https://data.taipei/dataset/detail?id=e51e44ee-ddfd-492e-b936-8d08ece0e3d0
proj_city_dashboard/R0022,patrol_criminal_case,刑案總件數、歷史統計,主計處,data.taipei API,0 18 * * *,,tsis.dbas 主計處內網 CSV,https://data.taipei/dataset/detail?id=dc7e246a-a88e-42f8-8cd6-9739209af774
proj_city_dashboard/R0031,patrol_police_station,臺北市政府警察局名稱及地址,警察局,data.taipei csv file,0 4 14 * *,112,data.taipei rid=a90ae184-c39e-4242-b2d6-d7a0403c0632,https://data.taipei/dataset/detail?id=6c41536a-3ce2-4102-bdfc-6b5f3d13ef91
proj_city_dashboard/R0033,patrol_fire_rescure,火災搶救困難地區,消防局,data.taipei csv,30 18 2 * *,446,data.taipei rid=577b3810-49b7-44fd-a5b7-97897bb50f9e,https://data.taipei/dataset/detail?id=0f322478-e09b-46af-8019-caeaa79678d7
proj_city_dashboard/R0033_1,patrol_fire_brigade,臺北市政府消防局各分隊駐地位置,消防局,data.taipei csv file,30 18 15 * *,46,data.taipei rid=4486e759-4159-4208-9832-c32300c4e832,https://data.taipei/dataset/detail?id=a9fa2045-f7a6-4e16-ad26-577748064cdf
proj_city_dashboard/R0033_2,patrol_fire_disqualified,臺北市消防安全檢查重大不合格場所,消防局,data.taipei csv file,0 19 15 * *,2,data.taipei rid=d417e957-7205-451e-bf45-a31db78f6ec8,https://data.taipei/dataset/detail?id=871874fc-c3b8-4752-aa56-76101395589d
proj_city_dashboard/R0034,patrol_rain_sewer,雨水下水道水面離地高度,工務局 水利處,internal API,*/5 * * * *,N/A,即時 DAG 排除 (),水利處資料交換平臺
proj_city_dashboard/R0036,patrol_rain_floodgate,臺北市抽水站運作動態,工務局水利處,internal API,*/5 * * * *,N/A,即時 DAG 排除 (),internal
proj_city_dashboard/R0037_1,patrol_flood_78_8,臺北市降雨積水模擬圖,工務局,data.taipei KML,0 3 22 12 *,3,KML Placemark,https://data.taipei/dataset/detail?id=fa1e8012-ebb4-473b-888e-97f9a9ce365e
proj_city_dashboard/R0037_2,patrol_flood_100,臺北市降雨積水模擬圖,工務局,data.taipei KML,10 3 22 12 *,4,KML Placemark,https://data.taipei/dataset/detail?id=fa1e8012-ebb4-473b-888e-97f9a9ce365e
proj_city_dashboard/R0037_3,patrol_flood_130,臺北市降雨積水模擬圖,工務局,data.taipei KML,20 3 22 12 *,5,KML Placemark,https://data.taipei/dataset/detail?id=fa1e8012-ebb4-473b-888e-97f9a9ce365e
proj_city_dashboard/R0038_2,traffic_lives,臺北市車輛偵測器(VD)資訊,交通局交控中心,internal KML,*/10 * * * *,N/A,即時 DAG 排除 (),internal
proj_city_dashboard/R0040,traffic_todayworks,臺北市今日施工資訊,工務局,data.taipei GeoJSON,*/10 * * * *,N/A,即時 DAG 排除 (),https://data.taipei/dataset/detail?id=c208dabd-2da0-4e6d-8dbd-a004b9782b0a
proj_city_dashboard/R0042,traffic_accident_location,臺北市道路交通事故斑點圖,警察局 交通大隊,data.taipei csv,0 3 1 4 *,22762,page→rid d4aaaaa6-d03e-4539-945b-cdbd9387007d,https://data.taipei/dataset/detail?id=0554bac7-cbc2-4ef3-a55e-0aad3dd4ee1d
proj_city_dashboard/R0046,traffic_metro_unusual,臺北捷運列車到站站名,捷運公司,data.taipei JSON,5 * * * *,22,json https://tcgmetro.blob.core.windows.net/stationnames/stations,https://data.taipei/dataset/detail?id=6556e1e8-c908-42d5-b984-b3f7337b139b
proj_city_dashboard/R0047,mrtp_metro_capacity_realtime,臺北捷運即時運量,臺北捷運公司,MRT API,"* 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,22,23 * * *",,MRT SOAP ASMX 須帳密,https://api.metro.taipei/metroapi/TUIC_TRTCOD.asmx
proj_city_dashboard/R0051_3,tran_ubike_realtime,YouBike即時車位,交通部,TDX API,*/10 * * * *,N/A,即時 DAG 排除 (),TDX>基礎服務>公共運輸-自行車>自行車>取得指定縣市的公共自行車即時車位資料
proj_city_dashboard/R0051_4,traffic_youbike_two_realtime,Youbike站點即時使用及剩餘量,data.taipei,API,*/3 * * * *,N/A,即時 DAG 排除 (),https://tcgbusfs.blob.core.windows.net/dotapp/youbike/v2/youbike_immediate.json
proj_city_dashboard/R0054,urbn_landuse_master_plan,臺北市都市計畫主要使用分區圖,都發局,data.taipei SHP,"40 3 9 6,12 *",3824,download-file,https://data.taipei/dataset/detail?id=3bab0a01-7936-4218-8cb5-f74dfcb43dda
proj_city_dashboard/R0056,building_publand,臺北市公有土地資料,地政局,data.taipei csv file,0 3 5 * *,147546,csv https://tpland.blob.core.windows.net/blobfs/publand.csv,https://data.taipei/dataset/detail?id=ca644935-035e-4ecf-bd93-3d8df351bdb7
proj_city_dashboard/R0057,building_permit,當年度建造執照摘要,都發局,data.taipei XML,0 4 25 * *,34,data.taipei rid=43624c8e-c768-4b3c-93c4-595f5af7a9cb,https://data.taipei/dataset/detail?id=d8834353-ff8e-4a6c-9730-a4d3541f2669
