dag,資料集中文名,修復前_DB筆數,修復前_狀態,修復後_DB筆數,資料源筆數,差異,bug類別,bug說明
D020105,臺北市防空避難處所清冊,5917,RID凍結476天,6052,6052,+135,Hardcoded RID,原本 RID e7aecde4 (2024-07-08 snapshot),資料集換新 RID 後 DAG 沒跟上
D100104_1,生育補助合約醫院,67,凍結+failed,67,67,0,RID凍結+欄位改版,RID 凍結 280 天+「婚後孕前健康檢查生理女性」欄位改名+值V改1+行政區代碼8碼改7碼
D100101,台北哺乳室,526,凍結+failed,526,526,0,DB schema太窄,分機欄位含多支號碼超過 varchar(20) 觸發 StringDataRightTruncation
R0083,雨水下水道水位監測站,0,從未成功,233,233,+233,欄位改版,「站碼」改名為「設施編號」,DAG KeyError
R0085,雨量站,42,偶爾failed,42,42,0,Infra暫時性,非 code bug,re-trigger 後恢復
aed_locations,AED自動體外心臟去顫器,0,paused+從未跑,2728,2728,+2728,欄位改版+paused,「縣市別代碼」欄位被刪+DAG被手動暫停
moenv_public_toilet_tpe,臺北市公廁,7031,凍結10個月,7217,7217,+186,helper bug,MOENV API 從 {total,records} 改直接回 list,get_moenv_json_data helper 失效
moenv_public_toilet_ntpe,新北市公廁,0,從未成功,6017,6017,+6017,helper bug,同上
flu_hospitals_tpe,流感疫苗接種合約醫療,391,凍結+failed,384,384,-7,欄位改版,值從 ◎ 改為 1 convert_vaccine_symbols 全部返 0 導致空 DataFrame 連鎖失敗
D100105,婦產科診所,143,正常,143,143,0,預防性修改,改為動態 resolve RID 避免未來凍結
D100106_1,幼兒人數(區),54873,正常,54873,54873,0,預防性修改,同上
D100106_2,幼兒人數(里),54873,正常,54873,54873,0,預防性修改,同上
D100106_3,幼兒人數(時),54873,正常,54873,54873,0,預防性修改,同上
D040401,垃圾車清運路線,4015,正常,4015,4015,0,預防性修改,同上
D060101_1,臺北市醫院清冊,37,正常,37,37,0,預防性修改,同上
D060101_2,臺北市診所清冊,1858,正常,1858,1858,0,預防性修改,同上
D060102_1,AED(舊),2728,正常,2728,2728,0,預防性修改,同上
D050601,溫室氣體排放統計,20,正常,20,20,0,預防性修改,同上
D020201,狹小巷道清冊,274,正常,274,274,0,預防性修改,同上
R0067,閒置市有尚未利用土地,87,正常,87,87,0,預防性修改,同上
energy_saving_coaching_situation_tpe,節能輔導成效,11,正常,11,11,0,預防性修改,同上
energy_saving_coaching_situation_tpe_gov,節能輔導查核成效,11,正常,11,11,0,預防性修改,同上
env_srv_energy_subsidy,服務業汰換節能設備補助,7,正常,7,7,0,預防性修改,同上
youth_enterpreneurship_financing_loan_tpe,青年創業融資貸款,150,正常,150,150,0,預防性修改,同上
friendly_store,友善店家,1058,正常,1058,1058,0,預防性修改,同上
li_age_population_tpe,每月各里人口數按年齡分,54873,正常,54873,54873,0,預防性修改,同上
