dag,ready_table,db_rows,api_rows,diff(db-api),chart_component_ids,component_names,dashboards,chart_row_counts,chart_sum_data,chart_sum_value,schedule,source_type,api_note
proj_city_dashboard/bike_path,bike_network_tpe,488,493,-5,109|213|219,自行車道|自行車道路統計|自行車道路網圖資,務實交通(雙北)|圖資資訊(台北)|圖資資訊(雙北),2|2|1,|1291|,||,00 20 * * *,TDX API,tdx
proj_new_taipei_city_dashboard/bike_path,bike_network_new_tpe,251,253,-2,213|219,自行車道路統計|自行車道路網圖資,務實交通(雙北)|圖資資訊(台北)|圖資資訊(雙北),2|1,1291|,|,00 20 * * *,TDX API,tdx
proj_city_dashboard/R0017,patrol_designate_place,401,401,0,11,緊急避難設施,圖資資訊(台北),1,,401,30 3 1 4 *,data.taipei ods file,data.taipei rid=9def0ac0-ad65-4f34-a8a6-aeba704c70d4
proj_city_dashboard/R0018,patrol_debris,1736,1736,0,16,山坡地風險地點,圖資資訊(台北)|防災都市(台北),4,,35096,@monthly,data.gov.tw zip,moa-shp
proj_city_dashboard/R0019,patrol_debrisarea,1874,,,16,山坡地風險地點,圖資資訊(台北)|防災都市(台北),4,,35096,@monthly,data.gov.tw zip,"data.moa SHP 異常,R0018 可用"
proj_city_dashboard/R0020,patrol_artificial_slope,34849,34849,0,16,山坡地風險地點,圖資資訊(台北)|防災都市(台北),4,,35096,0 3 1 12 *,data.taipei shp,download-file
proj_city_dashboard/R0021,patrol_old_settlement,34,34,0,16,山坡地風險地點,圖資資訊(台北)|防災都市(台北),4,,35096,"0 3 2 6,12 *",data.taipei shp,download-file
proj_city_dashboard/R0022,patrol_criminal_case,337,,,7,刑事統計,為民服務(台北),70,280506,,0 18 * * *,data.taipei API,tsis.dbas 主計處內網 CSV
proj_city_dashboard/R0031,patrol_police_station,112,112,0,9,警察相關設施,圖資資訊(台北),2,,,0 4 14 * *,data.taipei csv file,data.taipei rid=a90ae184-c39e-4242-b2d6-d7a0403c0632
proj_city_dashboard/R0033,patrol_fire_rescure,446,446,0,14,火災風險地點,圖資資訊(台北),2,,449,30 18 2 * *,data.taipei csv,data.taipei rid=577b3810-49b7-44fd-a5b7-97897bb50f9e
proj_city_dashboard/R0033_1,patrol_fire_brigade,46,46,0,15,火災應變設施,圖資資訊(台北),2,,,30 18 15 * *,data.taipei csv file,data.taipei rid=4486e759-4159-4208-9832-c32300c4e832
proj_city_dashboard/R0033_2,patrol_fire_disqualified,3,2,1,14,火災風險地點,圖資資訊(台北),2,,449,0 19 15 * *,data.taipei csv file,data.taipei rid=d417e957-7205-451e-bf45-a31db78f6ec8
proj_city_dashboard/R0037_1,patrol_flood_78_8,3,3,0,91|163,公車站|降雨淹水模擬圖,圖資資訊(台北)|防災都市(台北),1|9,|28531,|,0 3 22 12 *,data.taipei KML,KML Placemark
proj_city_dashboard/R0037_2,patrol_flood_100,4,4,0,163,降雨淹水模擬圖,防災都市(台北),9,28531,,10 3 22 12 *,data.taipei KML,KML Placemark
proj_city_dashboard/R0037_3,patrol_flood_130,4,5,-1,163,降雨淹水模擬圖,防災都市(台北),9,28531,,20 3 22 12 *,data.taipei KML,KML Placemark
proj_city_dashboard/R0042,traffic_accident_location,144788,22762,122026,22,最新交通事故月統計,道路交通(台北),2,1992,,0 3 1 4 *,data.taipei csv,page→rid d4aaaaa6-d03e-4539-945b-cdbd9387007d
proj_city_dashboard/R0046,traffic_metro_unusual,24,22,2,68|73|79|116|117|217|259,松山新店線擁擠程度|捷運人流趨勢|板南線擁擠程度|淡水信義線擁擠程度|中和新蘆線擁擠程度|文湖線擁擠程度|捷運站乘客流動量,商圈活化(台北)|捷運系統(台北),12||26|23|22|22|236,1466654||3126530|3114318|3140883|36222|26113,||||||,5 * * * *,data.taipei JSON,json https://tcgmetro.blob.core.windows.net/stationnames/stations
proj_city_dashboard/R0047,mrtp_metro_capacity_realtime,650,,,68|73|79|116|117|217|259,松山新店線擁擠程度|捷運人流趨勢|板南線擁擠程度|淡水信義線擁擠程度|中和新蘆線擁擠程度|文湖線擁擠程度|捷運站乘客流動量,商圈活化(台北)|捷運系統(台北),12||26|23|22|22|236,1466654||3126530|3114318|3140883|36222|26113,||||||,"* 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,22,23 * * *",MRT API,MRT SOAP ASMX 須帳密
proj_city_dashboard/R0054,urbn_landuse_master_plan,0,3824,-3824,34,都市計畫用地類型,都市規劃(台北),23,249,,"40 3 9 6,12 *",data.taipei SHP,download-file
proj_city_dashboard/R0056,building_publand,147546,147546,0,33,公有土地,都市規劃(台北),7,134,,0 3 5 * *,data.taipei csv file,csv https://tpland.blob.core.windows.net/blobfs/publand.csv
proj_city_dashboard/R0057,building_permit,40,34,6,42|140,全市屋齡分布|建照使照發照量,城市建設(台北)|都市規劃(台北)|防災都市(台北),48|4,253081|69,|,0 4 25 * *,data.taipei XML,data.taipei rid=43624c8e-c768-4b3c-93c4-595f5af7a9cb
proj_city_dashboard/R0058,,,34,,42,全市屋齡分布,都市規劃(台北)|防災都市(台北),48,253081,,0 5 25 * *,data.taipei XML,data.taipei rid=43624c8e-c768-4b3c-93c4-595f5af7a9cb
proj_city_dashboard/R0059,building_license,57,57,0,140,建照使照發照量,城市建設(台北),4,69,,15 19 * * 1,data.taipei XML,data.taipei rid=74a8b311-906e-44c4-91fb-7f413842d4e1
proj_city_dashboard/R0061,building_social_house,84,84,0,29,社會住宅建設進度,城市建設(台北),5,84,,0 20 20 * *,json,direct https://hms.udd.gov.taipei/api/BigData/project
proj_city_dashboard/R0062,building_renewarea_10,307,307,0,28,都市更新案件,城市建設(台北),5,2500,,00 19 3 * *,internal GeoJSON file,udd
proj_city_dashboard/R0063,building_renewunit_12,967,967,0,28,都市更新案件,城市建設(台北),5,2500,,10 19 3 * *,internal GeoJSON file,udd
proj_city_dashboard/R0064,building_renewunit_20,584,584,0,28,都市更新案件,城市建設(台北),5,2500,,20 19 3 * *,internal GeoJSON file,udd
proj_city_dashboard/R0065,building_renewunit_30,562,562,0,28,都市更新案件,城市建設(台北),5,2500,,30 19 3 * *,internal GeoJSON file,udd
