proj,dag_id,band,old_schedule,new_schedule,執行時間說明,config_path
proj_city_dashboard,D020105,heavy,"0 3 24 6,12 *","0 12 1,22 * *",每月 1號、22號 Taipei 20:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D020105/job_config.json
proj_city_dashboard,D100101,heavy,0 0 1 * *,"0 12 2,23 * *",每月 2號、23號 Taipei 20:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100101/job_config.json
proj_city_dashboard,R0025,heavy,0 0 11 * *,"0 12 3,24 * *",每月 3號、24號 Taipei 20:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0025/job_config.json
proj_city_dashboard,R0066,heavy,40 19 3 * *,"0 12 4,25 * *",每月 4號、25號 Taipei 20:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0066/job_config.json
proj_city_dashboard,yearly_death_cause_etl,heavy,@yearly,"0 12 5,26 * *",每月 5號、26號 Taipei 20:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/yearly_death_cause_etl/job_config.json
proj_city_dashboard,D060101_1,light,"0 5 18 5,11 *","0 12 6,27 * *",每月 6號、27號 Taipei 20:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D060101_1/job_config.json
proj_city_dashboard,merge_crime_type_by_dist,light,@monthly,"0 12 7,28 * *",每月 7號、28號 Taipei 20:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/merge_crime_type_by_dist/job_config.json
proj_city_dashboard,D020301,heavy,0 1 7 * *,"0 13 1,22 * *",每月 1號、22號 Taipei 21:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D020301/job_config.json
proj_city_dashboard,D100102_2,heavy,0 0 1 * *,"0 13 2,23 * *",每月 2號、23號 Taipei 21:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100102_2/job_config.json
proj_city_dashboard,R0027,heavy,0 2 11 * *,"0 13 3,24 * *",每月 3號、24號 Taipei 21:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0027/job_config.json
proj_city_dashboard,R0068,heavy,"0 1 16 3,9 *","0 13 4,25 * *",每月 4號、25號 Taipei 21:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0068/job_config.json
proj_new_taipei_city_dashboard,elderly_club,heavy,@monthly,"0 13 5,26 * *",每月 5號、26號 Taipei 21:00 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/elderly_club/job_config.json
proj_city_dashboard,D060102_1,light,0 7 23 * *,"0 13 6,27 * *",每月 6號、27號 Taipei 21:00 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D060102_1/job_config.json
