"資料集id","資料集編號","資料集名稱","數位發展部服務分類","數位發展部資料集類型","主題分類","資料集描述","主要欄位說明","資料集提供機關(一級) ","資料集提供機關(二級) ","資料集提供機關","上架時間","更新頻率","計費方式","計費說明網址","資料集語系","資料授權","資料集提供機關聯絡人","資料集提供機關聯絡人電話","資料集提供機關聯絡人電子郵件","備註","資料最後更新時間","資料存取網址","檔案格式","編碼格式","資料量"
"b7c8e724-1e98-45ee-a0bd-f3840623ed97","00004107","臺北市門牌位置數值資料","公共資訊","原始資料","民政","本局依門牌異動資料， 辦理現場調查並建置之數值資料；其內容涵蓋門牌號碼與門牌位置坐標等數值資料。","省市縣市代碼、鄉鎮市區代碼、村里、鄰、街路段、地區、巷、弄、號、橫座標、縱座標","民政局","","民政局","2022-03-04T00:00:00","每1月","免費","","中文","公開","陳律廷","02-27208889#8357","my2290@gov.taipei","","2026-04-02T16:09:29","/api/dataset/b7c8e724-1e98-45ee-a0bd-f3840623ed97/resource/ce76ca0c-7f94-4935-ab47-1d2a41ca2abb/download","CSV","UTF-8",""
"0c60ab91-cd08-46ee-a5c7-8133c48f6c98","00029278","113年起臺北市防止新欠清理舊欠競賽成績","公共資訊","原始資料","財稅","本市稅捐處防止新欠清理舊欠競賽成績","年度別、本年度查定淨數（金額千元）、本年度徵起數（金額千元）、本年度徵起率比、本年度徵起數得分、舊欠應清理數（金額千元）、舊欠清理數（金額千元）、舊欠清理率比、舊欠清理數得分、舊欠徵起數（金額千元）、舊欠徵起率比、舊欠徵起數得分、總分","財政局","稅捐處","財政局稅捐處","2022-04-19T00:00:00","每1年","免費","","中文","公開","孫孝貞","02-23949211#465","ct-5185@gov.taipei","","2026-04-02T16:07:56","/api/dataset/0c60ab91-cd08-46ee-a5c7-8133c48f6c98/resource/f66a4209-cd0a-440f-aa2b-6729fdda53ff/download","CSV","UTF-8",""
"d4f2d61c-1027-4cfb-9dda-bfe47fee114b","00002627","臺北市空氣中總懸浮微粒及落塵量檢驗結果統計","公共資訊","原始資料","環保","臺北市空氣品質年度月份總懸浮微粒及落塵量檢驗結果數據","序號、測站名稱、行政區代碼、TSP數值（微克/立方公尺）、落塵量數值（公噸/平方公里/月）","環保局","","環保局","2020-12-01T00:00:00","每1月","免費","","中文","公開","侯冠宇","02-28236160#825","e95911@gov.taipei","115年起僅監測總懸浮微粒","2026-04-02T16:04:21","/api/dataset/d4f2d61c-1027-4cfb-9dda-bfe47fee114b/resource/36404078-a0d6-499d-a36a-583b3af4573c/download","CSV","Big5",""
"b31ac1ba-781a-4b8f-aef8-e92c2262abf4","00002626","臺北市環境空氣品質監測結果月報表","生活安全及品質","原始資料","環保","臺北市環境空氣品質年度每月監測結果數據","年度、月、懸浮微粒數值（微克/立方公尺）、PM2.5數值（微克/立方公尺）、二氧化硫數值（ppb）、一氧化碳數值（ppm）、二氧化氮數值（ppb）、臭氧數值（ppb）","環保局","","環保局","2020-12-01T00:00:00","每1月","免費","","中文","公開","侯冠宇","02-28236160#825","e95911@gov.taipei","","2026-04-02T16:04:18","/api/dataset/b31ac1ba-781a-4b8f-aef8-e92c2262abf4/resource/2382aab0-6814-46bd-99e5-56a65eecace5/download","CSV","Big5","0"
"fdf5ee89-000d-40dc-ba0d-5243adeb3d66","00001599","臺北市一般地區環境音量監測不合格情形","生活安全及品質","原始資料","環保","臺北市一般環境音量監測每季不合格情形","期間、管制區、總計監測站數、總計不合格時段數、總計不合格率、日間不合格站數、日間不合格率、晚間不合格站數、晚間不合格率、夜間不合格站數、夜間不合格率","環保局","","環保局","2021-12-30T00:00:00","每3月","免費","","中文","公開","陳汎凌","02-28236160#819","qd8375@gov.taipei","","2026-04-02T16:04:13","/api/dataset/fdf5ee89-000d-40dc-ba0d-5243adeb3d66/resource/a844965c-a6d9-4298-8dd7-66f48b1d521a/download","ODS","Big5",""
"1cfc3073-c9e8-4cf9-a62b-2fa162ddc607","00001598","臺北市道路交通音量監測不合格情形","交通及通訊","原始資料","環保","臺北市交通音量監測每季不合格情形","期間、管制區、總計監測站數、總計不合格時段數、總計不合格率、日間不合格站數、日間不合格率、晚間不合格站數、晚間不合格率、夜間不合格站數、夜間不合格率","環保局","","環保局","2021-12-30T00:00:00","每3月","免費","","中文","公開","陳汎凌","02-28236160#819","qd8375@gov.taipei","","2026-04-02T16:04:11","/api/dataset/1cfc3073-c9e8-4cf9-a62b-2fa162ddc607/resource/ec735f8c-d7dd-4e51-bfee-64f6f45d6e29/download","ODS","Big5",""
"dac325f8-0187-43d0-b5a1-7f50bb84ab4b","00000291","臺北市張掛旗幟路段參考一覽表","交通及通訊","原始資料","環保","臺北市路燈桿旗幟申請參考路段、已核可活動及時間等資訊","路段名稱、路段級數、每個活動可掛組數、路段活動編號、張掛起日、張掛止日、活動名稱、張掛起日、張掛止日、活動名稱、張掛起日、張掛止日、活動名稱、張掛起日、張掛止日、活動名稱、張掛起日、張掛止日、活動名稱","環保局","","環保局","2019-04-08T00:00:00","不定期更新","免費","","中文","公開","秦長治、戴妃伶","02-27208889#7272","cw0959@gov.taipei","","2026-04-02T16:04:08","/api/dataset/dac325f8-0187-43d0-b5a1-7f50bb84ab4b/resource/48797c3b-f93b-4f15-803a-02338cf40e11/download","CSV","UTF-8","0"
"01370301-b843-4b60-ae8c-6a8789880bfe","00033343","臺北市服務業汰換節能設備補助","公共資訊","原始資料","環保","臺北市服務業汰換節能設備補助相關資訊。","年度、核撥件數、累積核撥件數、補助金額、累計補助金額、節電量、累積節電量","產業局","","產業局","2024-11-19T00:00:00","不定期更新","免費","","中文","公開","張仕憲","02-27208889#1333","b06505@gov.taipei","","2026-04-02T15:12:37","/api/dataset/01370301-b843-4b60-ae8c-6a8789880bfe/resource/5f239e5c-9388-4dc2-b6a6-f65491edd78a/download","CSV","UTF-8",""
"166c8468-c496-4e27-ade3-13ee7d4a3881","00000351","臺北市電器承裝業業者","生活安全及品質","原始資料","經濟","取得本市電器承裝業登記執照業者資料。","NAME(承裝業名稱)、CERT(證號)、COMID(營利事業統一編號)、SUMADDR(營業地址)、OWNER(負責人姓名)、SETDATE(核設日期)、SETNO(核設文號)、ADDR_X(座標X)、ADDR_Y(座標Y)","產業局","","產業局","2013-05-24T00:00:00","每1月","免費","","中文","公開","黃冠淳","02-27208889#1307","ea-10297@gov.taipei","","2026-04-02T15:11:43","/api/dataset/166c8468-c496-4e27-ade3-13ee7d4a3881/resource/b5a3e2c0-d298-440e-b0f1-a511edf34569/download","CSV","utf-8",""
"c8215f0d-20fa-4350-bcd9-da82432c2c9d","00000277","臺北市登記工廠分布圖及基本資料","開創事業","原始資料","經濟","臺北市登記工廠分布圖及基本資料。","REGI_ID(工廠編號)、FACT_NAME(工廠名稱)、FACT_ADDR(地址)、BNAME(負責人)、ADDR_X(座標X)、ADDR_Y(座標Y)","產業局","","產業局","2012-01-13T00:00:00","每1月","免費","","中文","公開","蕭大寬","02-27208889#6562","ea-10260@gov.taipei","","2026-04-02T15:11:41","/api/dataset/c8215f0d-20fa-4350-bcd9-da82432c2c9d/resource/db839b8c-bcbf-4b82-ab54-4d025df79b3c/download","CSV","utf-8",""
