data_time,seq,restaurant_category,city,countycode,restaurant_name,phone,address
2026-05-16 03:06:47.468074+00,1,環保餐廳,新北市,65000,31早午餐,02-82861790,新北市蘆洲區和平路171號
2026-05-16 03:06:47.468074+00,2,環保餐廳,新北市,65000,57黃燜雞(板橋大遠百),0988754052,新北市板橋區新站路28號B1
2026-05-16 03:06:47.468074+00,3,環保餐廳,新北市,65000,Alessi Cafe ,02-29566768,新北市板橋區新站路28號
2026-05-16 03:06:47.468074+00,4,環保餐廳,新北市,65000,Apple203早午餐店-中和遠東,02-82261077,新北市中和區中正路738號
2026-05-16 03:06:47.468074+00,5,環保餐廳,新北市,65000,B & G德國農莊複合式茶館,02-77054168,新北市板橋區新站路28號
2026-05-16 03:06:47.468074+00,6,環保餐廳,新北市,65000,BarAku,02-29698058,新北市板橋區縣民大道一段269號2樓
2026-05-16 03:06:47.468074+00,7,環保餐廳,新北市,65000,bb.q三重三和店,02-22861069,新北市三重區三和路四段３９８之１號一樓
2026-05-16 03:06:47.468074+00,8,環保餐廳,新北市,65000,bb.q中和中漢店,02-82282057,新北市中和區中山路三段186號
2026-05-16 03:06:47.468074+00,9,環保餐廳,新北市,65000,bb.q板橋板農店,02-22710016,新北市板橋區府中路29之1號
2026-05-16 03:06:47.468074+00,10,環保餐廳,新北市,65000,Bellini Pasta Pasta 中和環球,0988629682,新北市中和區中山路三段122號4樓
2026-05-16 03:06:47.468074+00,11,環保餐廳,新北市,65000,BinB書? Bar in Book,02-82510325,新北市板橋區民生路三段140號
2026-05-16 03:06:47.468074+00,12,環保餐廳,新北市,65000,cama 中和環球,02-22230612,新北市中和區中山路三段122號3樓
2026-05-16 03:06:47.468074+00,13,環保餐廳,新北市,65000,Cold Stone 中和環球,02-22211807,新北市中和區中山路三段122號B2樓
2026-05-16 03:06:47.468074+00,14,環保餐廳,新北市,65000,Dear 40 Cafe,02-29177171,新北市新店區寶興路40號
2026-05-16 03:06:47.468074+00,15,環保餐廳,新北市,65000,DRIP CAFE好滴咖啡-環球板橋車站店,02-29609288,新北市板橋區縣民大道二段七號2F
2026-05-16 03:06:47.468074+00,16,環保餐廳,新北市,65000,House.好食早餐店,02-29703375,新北市三重區福德里成功路106之1號
2026-05-16 03:06:47.468074+00,17,環保餐廳,新北市,65000,Kali Chimaek 韓式炸雞,02-29647777,新北市板橋區中山路一段158巷21號
2026-05-16 03:06:47.468074+00,18,環保餐廳,新北市,65000,Mami Cooking 中和環球店,0986750260,新北市中和區中山路三段122號B2樓
2026-05-16 03:06:47.468074+00,19,環保餐廳,新北市,65000,MOMO PARADISE 中和環球,02-82286002,新北市中和區中山路三段122號4樓
2026-05-16 03:06:47.468074+00,20,環保餐廳,新北市,65000,Mrs. Mapo麻婆豆腐 新店家樂福店,02-29115569,新北市新店區中興路三段1號1F
2026-05-16 03:06:47.468074+00,21,環保餐廳,新北市,65000,Party創作美食茶房,02-89211103,新北市永和區竹林路222號2樓
2026-05-16 03:06:47.468074+00,22,環保餐廳,新北市,65000,petit doux 微兜  小碧潭店,02-29115998,新北市新店區新北市新店區中央路157號5樓
2026-05-16 03:06:47.468074+00,23,環保餐廳,新北市,65000,Psyaq  Cikay Ma食坊,0916127010,新北市烏來區福山里卡拉模基26號
2026-05-16 03:06:47.468074+00,24,環保餐廳,新北市,65000,Q Burger（總店）,02-89913667,新北市新莊區頭前路24號
2026-05-16 03:06:47.468074+00,25,環保餐廳,新北市,65000,Q Burger八里中山店,02-26194767,新北市八里區中山路二段363號
2026-05-16 03:06:47.468074+00,26,環保餐廳,新北市,65000,Q Burger三重力行店,02-29879488,新北市三重區力行路一段160號一樓及地下一樓
2026-05-16 03:06:47.468074+00,27,環保餐廳,新北市,65000,Q Burger三重三民店,02-29869285,新北市三重區三民街298號
2026-05-16 03:06:47.468074+00,28,環保餐廳,新北市,65000,Q Burger三重大智店,02-29883200,新北市三重區大智街55號
2026-05-16 03:06:47.468074+00,29,環保餐廳,新北市,65000,Q Burger三重中正店,02-29856668,新北市三重區中正北路180號
2026-05-16 03:06:47.468074+00,30,環保餐廳,新北市,65000,Q Burger三重中正南店,02-29746343,新北市三重區中正南路49號
2026-05-16 03:06:47.468074+00,31,環保餐廳,新北市,65000,Q Burger三重仁政店,02-29886667,新北市三重區溪美里仁愛街349號
2026-05-16 03:06:47.468074+00,32,環保餐廳,新北市,65000,Q Burger三重仁愛店,02-29860322,新北市三重區溪尾街269號
2026-05-16 03:06:47.468074+00,33,環保餐廳,新北市,65000,Q Burger三重永福店,02-82878666,新北市三重區永福街172號
2026-05-16 03:06:47.468074+00,34,環保餐廳,新北市,65000,Q Burger三重田安店,02-29840181,新北市三重區三民街71號1樓
2026-05-16 03:06:47.468074+00,35,環保餐廳,新北市,65000,Q Burger三重光復店,02-29990935,新北市三重區光復路一段68巷22號
2026-05-16 03:06:47.468074+00,36,環保餐廳,新北市,65000,Q Burger三重光興店,02-29740006,新北市三重區正義南路103號
2026-05-16 03:06:47.468074+00,37,環保餐廳,新北市,65000,Q Burger三重自強店,02-29882918,新北市三重區自強路二段7號
2026-05-16 03:06:47.468074+00,38,環保餐廳,新北市,65000,Q Burger三重忠孝店,02-29846788,新北市三重區忠孝路二段46號
2026-05-16 03:06:47.468074+00,39,環保餐廳,新北市,65000,Q Burger三重長安店,02-29762393,新北市三重區長安街73號1樓
2026-05-16 03:06:47.468074+00,40,環保餐廳,新北市,65000,Q Burger三重重陽店,02-89881667,新北市三重區重陽路43巷31號1樓
2026-05-16 03:06:47.468074+00,41,環保餐廳,新北市,65000,Q Burger三重頂崁店,02-29843557,新北市三重區頂崁街188號
2026-05-16 03:06:47.468074+00,42,環保餐廳,新北市,65000,Q Burger三重菜寮店,02-29880901,新北市三重區重新路三段93號1樓
2026-05-16 03:06:47.468074+00,43,環保餐廳,新北市,65000,Q Burger三重集成店,02-29776785,新北市三重區集成路42號
2026-05-16 03:06:47.468074+00,44,環保餐廳,新北市,65000,Q Burger三重慈愛店,02-22808853,新北市三重區慈愛街46號
2026-05-16 03:06:47.468074+00,45,環保餐廳,新北市,65000,Q Burger三重福德南店,02-29755550,新北市三重區福德南路40號
2026-05-16 03:06:47.468074+00,46,環保餐廳,新北市,65000,Q Burger三重龍門店,02-29772611,新北市三重區龍門路40號
2026-05-16 03:06:47.468074+00,47,環保餐廳,新北市,65000,Q Burger三峽大同店,02-26740031,新北市三峽區介壽里大同路1-4號1樓
2026-05-16 03:06:47.468074+00,48,環保餐廳,新北市,65000,Q Burger三峽中華店,02-86719007,新北市三峽區安溪里中華路46-2號
2026-05-16 03:06:47.468074+00,49,環保餐廳,新北市,65000,Q Burger三峽文化店,02-26738182,新北市三峽區文化路266之13號1樓
2026-05-16 03:06:47.468074+00,50,環保餐廳,新北市,65000,Q Burger三峽北大店,02-26737288,新北市三峽區國際二街37號
