data_time,seq,restaurant_category,restaurant_name,phone,ext,mobile,address,extra_eco_actions
2024-05-01 02:07:10+00,1,環保餐廳,《扶風堂》披薩。義麵。吉拉朵,(02)27153377,"","",臺北市松山區敦化北路165巷5號1樓,"環境管理, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,2,環保餐廳,6：35 Brunch & Dinner(大安旗艦店),(02)23770100,"","",臺北市大安區復興南路二段288號,環境管理
2024-05-01 02:07:10+00,3,環保餐廳,88號樂章-88 La Plaza,(02)27943800,"","",臺北市內湖區民善街88號5樓,"環境管理, 綠色採購"
2024-05-01 02:07:10+00,4,環保餐廳,Aunt Stella 詩特莉,(02)87721638,"","",臺北市大安區忠孝東路三段300號B3,"環境管理, 源頭減量, 惜食(善用食材)"
2024-05-01 02:07:10+00,5,環保餐廳,AW Cafe Wine Bistro,(02)27012498,"","",臺北市信義區信義路四段115-2號,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,6,環保餐廳,BaganHood 蔬食餐酒館,(02)37622557,"","",臺北市信義區忠孝東路四段553巷46弄11號,"惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,7,環保餐廳,Bar. Tender 八天餐酒館,(02)27782105,"","",臺北市大安區復興南路一段107巷5弄2號,"環境管理, 源頭減量"
2024-05-01 02:07:10+00,8,環保餐廳,Bea's Bistro 美式餐館,(02)23918827,"","",臺北市大安區潮州街133號,"環境管理, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,9,環保餐廳,Blooming 花漾蒔光,(02)25460909,"","",臺北市松山區復興北路313巷38號,環境管理
2024-05-01 02:07:10+00,10,環保餐廳,Blue磚塊義法廚房,(02)23110070,"","",臺北市萬華區武昌街二段83之8號,環境管理
2024-05-01 02:07:10+00,11,環保餐廳,Camo咖啡,(02)33433931,"","",臺北市大安區和平東路一段129號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,12,環保餐廳,Capricciosa卡布里喬莎(天母SOGO店),(02)28332558,"","",臺北市士林區中山北路六段77號8F,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,13,環保餐廳,Chao?炒炒蔬食熱炒,(02)27753005,"","",臺北市大安區大安路一段52巷21號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
2024-05-01 02:07:10+00,14,環保餐廳,Chinese Whispers 悄悄話餐酒館,(02)27783988,"","",臺北市大安區仁愛路四段345巷2弄11號,環境管理
2024-05-01 02:07:10+00,15,環保餐廳,COFFEE LOVER's PLANET,(02)27524157,"","",臺北市大安區敦化南路一段246號B1,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,16,環保餐廳,Coming Bistro,(02)27479225,"","",臺北市松山區光復南路55號1樓,環境管理
2024-05-01 02:07:10+00,17,環保餐廳,CYCLO 洛城 忠孝門市,(02)27782569,"","",臺北市大安區大安路一段75巷9號,"環境管理, 綠色採購, 環境教育"
2024-05-01 02:07:10+00,18,環保餐廳,EN和食(復興SOGO店),(02)77450796,"","",臺北市大安區忠孝東路三段300號11樓,--
2024-05-01 02:07:10+00,19,環保餐廳,EN壽司．和食,(02)27730246,"","",臺北市大安區敦化南路一段246號B2,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,20,環保餐廳,Fun 心 caf?,(02)27125565,"","",臺北市松山區敦化北路244巷29號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,21,環保餐廳,GUSTOSO,(02)77269099,"","",臺北市大安區敦化南路一段331號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,22,環保餐廳,inn cafe x 台北師大店,(02)23690055,"","",臺北市大安區龍泉街7號,"環境管理, 綠色採購"
2024-05-01 02:07:10+00,23,環保餐廳,JeeWoo吉屋,(02)23918563,"","",臺北市大安區金華街145號,"環境管理, 綠色採購, 源頭減量, 環境教育"
2024-05-01 02:07:10+00,24,環保餐廳,KANPAI CLASSIC 天母店,(02)28771550,"","",臺北市士林區台北市士林區忠誠路二段 200 號 2 樓,"環境管理, 源頭減量"
2024-05-01 02:07:10+00,25,環保餐廳,Lady nara台北忠孝SOGO店,(02)27712585,"","",臺北市大安區忠孝東路四段45號12樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
2024-05-01 02:07:10+00,26,環保餐廳,LIFE KITCHEN,(02)27931818,"","",臺北市內湖區新湖三路134號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
2024-05-01 02:07:10+00,27,環保餐廳,Los TOAST 洛城吐司,(02)28208206,"","",臺北市北投區實踐街82巷6號,"源頭減量, 惜食(善用食材)"
2024-05-01 02:07:10+00,28,環保餐廳,Machikaka 智允餐飲,(02)27772777,"","",臺北市中山區南京東路三段216巷4號一樓,環境管理
2024-05-01 02:07:10+00,29,環保餐廳,Mama Inca印加媽媽 秘魯餐館,(02)27092832,"","",臺北市大安區瑞安街31巷1-1號,"環境管理, 綠色採購, 惜食(善用食材), 環境教育, 8"
2024-05-01 02:07:10+00,30,環保餐廳,Maya Bistro 瑪亞餐酒,(02)25850305,"","",臺北市中山區雙城街46巷1號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
2024-05-01 02:07:10+00,31,環保餐廳,meet蘋果咖啡館,(02)23820025,"","",臺北市中正區博愛路86號,環境管理
