data_time,seq,institution_type,institution_name,district_code,address
2026-05-16 10:37:10+08,1,實物銀行,中山社會福利服務中心,63000040,臺北市中山區合江街137號3樓
2026-05-16 10:37:10+08,2,實物銀行,大同社會福利服務中心,63000060,臺北市大同區昌吉街57號6樓
2026-05-16 10:37:10+08,3,實物銀行,中正社會福利服務中心,63000050,臺北市中正區延平南路207號6樓
2026-05-16 10:37:10+08,4,實物銀行,萬華社會福利服務中心,63000070,臺北市萬華區萬大路22號4樓
2026-05-16 10:37:10+08,5,實物銀行,大安社會福利服務中心,63000030,臺北市大安區四維路198巷30弄5號2樓之9
2026-05-16 10:37:10+08,6,實物銀行,文山社會福利服務中心,63000080,臺北市文山區興隆路二段160號6樓
2026-05-16 10:37:10+08,7,實物銀行,松山社會福利服務中心,63000010,臺北市松山區民生東路五段163-1號9樓
2026-05-16 10:37:10+08,8,實物銀行,信義社會福利服務中心,63000020,臺北市信義區大道路116號5樓之2
2026-05-16 10:37:10+08,9,實物銀行,內湖社會福利服務中心,63000100,臺北市內湖區星雲街161巷3號4樓
2026-05-16 10:37:10+08,10,實物銀行,南港社會福利服務中心,63000090,臺北市南港區市民大道八段367號3樓
2026-05-16 10:37:10+08,11,實物銀行,士林社會福利服務中心,63000110,臺北市士林區基河路140號1樓
2026-05-16 10:37:10+08,12,實物銀行,北投社會福利服務中心,63000120,臺北市北投區新市街30號5樓
2026-05-16 10:37:10+08,13,實物銀行,圓通居,65000030,新北市中和區圓通路143號
2026-05-16 10:37:10+08,14,實物銀行,財團法人中華民國兒童福利聯盟文教基金會(支持服務資源布建方案A區),63000100,臺北市內湖區瑞光路583巷21號7樓
2026-05-16 10:37:10+08,15,實物銀行,財團法人台北市立心慈善基金會(支持服務資源布建方案B區),63000070,臺北市萬華區桂林路242巷4號4樓之2
2026-05-16 10:37:10+08,16,實物銀行,社團法人臺北市晨展社會服務協會(支持服務資源布建方案C區),63000110,臺北市士林區前港街11號5樓505室
2026-05-16 10:37:10+08,17,實物銀行,財團法人台灣世界展望會(支持服務資源布建方案D區),63000050,臺北市中正區延平南路207號6樓
2026-05-16 10:37:10+08,18,實物銀行,安康平宅,63000080,臺北市文山區興隆路四段103號3樓
2026-05-16 10:37:10+08,19,實物銀行,大同之家,63000120,臺北市北投區東昇路12巷
2026-05-16 10:37:10+08,20,實物銀行,福民平宅,63000070,臺北市萬華區西園路二段320巷57號
