inferred_airflow_dag_id,name_cn,source_dept,schedule_interval,human_readable_utc
common_dags_clean_log_and_metadata,清理 Airflow log 與 metadata（保留近 N 天）,,00 18 * * *,每天，18:00
common_dags_housekeeping_tables,歷史表 housekeeping（保留近 N 個月）,,0 3 * * *,每天，03:00
common_dags_spatial_area_mapping,指定table透過空間join更新area欄位,,00 18 * * *,每天，18:00
proj_city_dashboard_D010501,臺北市陳情系統類別資料,研考會,"0 17 5,26 * *",每月 5、26 日，17:00
proj_city_dashboard_D020105,臺北市防空避難處所清冊,都發局 建管處,"0 12 1,22 * *",每月 1、22 日，12:00
proj_city_dashboard_D020201,臺北市狹小巷道清冊(紅黃區),消防局,"30 12 1,22 * *",每月 1、22 日，12:30
proj_city_dashboard_D020301,雙北交通路口即時影像清單,交通局,"0 13 1,22 * *",每月 1、22 日，13:00
proj_city_dashboard_D020401,臺北市消防局近兩年重大案件之災情清單(黑客松競賽用資料),消防局,"30 13 1,22 * *",每月 1、22 日，13:30
proj_city_dashboard_D030101-1,臺北市人行道固定設施物_人行道範圍圖,工務局,"0 14 1,22 * *",每月 1、22 日，14:00
proj_city_dashboard_D030102-1,臺北市市區自行車道,交通局,"30 14 1,22 * *",每月 1、22 日，14:30
proj_city_dashboard_D030102-2,臺北市自行車道(河濱),工務局,"0 15 1,22 * *",每月 1、22 日，15:00
proj_city_dashboard_D030104-1,臺北市停車場資訊-剩餘停車位數V2,交通局,*/5 * * * *,每 5 分鐘
proj_city_dashboard_D030104-2,臺北市停車場資訊-停車場資訊V2,交通局,10 22 * * 1,每週 週一，22:10
proj_city_dashboard_D030201,A1及A2交通事故資料,交通局,"30 15 1,22 * *",每月 1、22 日，15:30
proj_city_dashboard_D040301-1,臺北市路燈位置分布圖,工務局,50 20 * * *,每天，20:50
proj_city_dashboard_D040302_1,臺北市今日臨時使用道路路段,工務局 新工處,10 6 * * *,每天，06:10
proj_city_dashboard_D040302_2,臺北市今日使用道路集會路段,工務局 新工處,0 6 * * *,每天，06:00
proj_city_dashboard_D040401,垃圾車點位路線資訊,環保局,"0 16 1,22 * *",每月 1、22 日，16:00
proj_city_dashboard_D050101-1,中央氣象署-一年觀測資料-地面測站觀測資料,中央氣象署,00 23 * * *,每天，23:00
proj_city_dashboard_D050101-2,中央氣象署-有人氣象站-現在天氣觀測報告,中央氣象署,@hourly,每小時一次（整點）
proj_city_dashboard_D050101-3,中央氣象署-自動氣象站-現在天氣觀測報告,中央氣象署,@hourly,每小時一次（整點）
proj_city_dashboard_D050101-4,中央氣象署-自動雨量站資料-無人自動站雨量資料,中央氣象署,*/10 * * * *,每 10 分鐘
proj_city_dashboard_D050102_1,中央氣象署-一般天氣預報-今明36小時天氣預報,中央氣象署,0 */6 * * *,每 6 小時的第 00 分
proj_city_dashboard_D050102_2,中央氣象署-鄉鎮天氣預報-臺北市未來3天天氣預報,中央氣象署,0 */6 * * *,每 6 小時的第 00 分
proj_city_dashboard_D050201_1,行道樹分布圖,工務局 公燈處,"30 17 5,26 * *",每月 5、26 日，17:30
proj_city_dashboard_D050301-1,田園城市點位圖資,工務局 公燈處,"30 16 1,22 * *",每月 1、22 日，16:30
proj_city_dashboard_D050302_1,臺北市水綠地圖集-都市綠地_野雁保護區,工務局,"0 18 5,26 * *",每月 5、26 日，18:00
proj_city_dashboard_D050302_2,臺北市水綠地圖集-都市綠地_自然保留區,工務局,"30 18 5,26 * *",每月 5、26 日，18:30
proj_city_dashboard_D050302_3,臺北市水綠地圖集-都市計畫保護區、農業區,工務局,"0 19 5,26 * *",每月 5、26 日，19:00
proj_city_dashboard_D050303_1,臺北市水綠地圖集-公園綠地_公園,工務局,"30 19 5,26 * *",每月 5、26 日，19:30
proj_city_dashboard_D050303_2,臺北市水綠地圖集-公園綠地_校園綠化,工務局,"0 20 5,26 * *",每月 5、26 日，20:00
proj_city_dashboard_D050303_3,臺北市水綠地圖集-公園綠地_公園生態化,工務局,"30 20 5,26 * *",每月 5、26 日，20:30
proj_city_dashboard_D050303_4,臺北市水綠地圖集-公園綠地_河濱高灘地,工務局,"0 21 5,26 * *",每月 5、26 日，21:00
proj_city_dashboard_D050303_5,透水鋪面_學校透水鋪面,工務局,"0 17 1,22 * *",每月 1、22 日，17:00
proj_city_dashboard_D050303_6,透水鋪面_停車場透水鋪面,工務局,"30 17 1,22 * *",每月 1、22 日，17:30
proj_city_dashboard_D050303_7,透水鋪面_公園透水鋪面,工務局,"0 18 1,22 * *",每月 1、22 日，18:00
proj_city_dashboard_D050303_8,透水鋪面_人行道透水鋪面,工務局,"30 18 1,22 * *",每月 1、22 日，18:30
proj_city_dashboard_D050303_9,透水鋪面_PAC透水鋪面,工務局,"0 19 1,22 * *",每月 1、22 日，19:00
proj_city_dashboard_D050401_1,臺北市土壤液化潛勢圖,工務局,"30 21 5,26 * *",每月 5、26 日，21:30
proj_city_dashboard_D050502,空氣品質-縣市(臺北市)小時值-每小時,環境部 監測資訊司,20 * * * *,每小時第 20 分
proj_city_dashboard_D050601,臺北市溫室氣體排放統計—本市總排放量及人均排放量,環保局,"30 19 1,22 * *",每月 1、22 日，19:30
proj_city_dashboard_D060101_1,臺北市公私立醫院,衛生局,"0 12 6,27 * *",每月 6、27 日，12:00
proj_city_dashboard_D060101_2,臺北市公私立診所,衛生局,"30 12 6,27 * *",每月 6、27 日，12:30
proj_city_dashboard_D060102_1,臺北市各級學校分布圖,衛生局,"0 13 6,27 * *",每月 6、27 日，13:00
proj_city_dashboard_D060103,臺北市社福設施主題地圖,社會局,"0 20 1,22 * *",每月 1、22 日，20:00
proj_city_dashboard_D060201,緊急救護服務統計次數,消防局,"30 13 6,27 * *",每月 6、27 日，13:30
proj_city_dashboard_D070202,台灣電力公司臺北市售電量,主計處,"30 20 1,22 * *",每月 1、22 日，20:30
proj_city_dashboard_D080101,健保門診及住院就診人次統計-急性上呼吸道感染,衛服部 疫情中心,0 10 * * 2,每週 週二，10:00
proj_city_dashboard_D080102,健保門診及住院就診人次統計-腸病毒,衛服部 疫情中心,10 10 * * 2,每週 週二，10:10
proj_city_dashboard_D090100_1,臺北市各級學校分布圖,教育局,"0 14 6,27 * *",每月 6、27 日，14:00
proj_city_dashboard_D090101_1,臺北市國小學區,教育局,"30 14 6,27 * *",每月 6、27 日，14:30
