"item","name","county","countycode","town","areacode","address","phone","types"
"1	","下庄公有市場","新北市","65000","八里區","65000230","新北市八里區舊城路19號","(02)26101533","早市"
"2	","中央公有市場","新北市","65000","三重區","65000020","新北市三重區中央北路26號","(02)29754991","早市"
"3	","光明公有市場","新北市","65000","三重區","65000020","新北市三重區重安街70號","(02)29772735","早市"
"4	","重新公有市場","新北市","65000","三重區","65000020","新北市三重區重新路87-6號","(02)29754991","早市"
"5	","光明公有市場2樓","新北市","65000","三重區 ","65000020","新北市三重區重安街70號2樓",""," 超市 "
"6	","三峽公有市場 ","新北市","65000","三峽區 ","65000090","新北市三峽區民生街186號","(02)86721664","早市 "
"7	","礁溪公有市場","新北市","65000","三峽區","65000090","新北市三峽區光明路71號","","超市"
"8	","土城公有零售市場","新北市","65000","土城區","65000130","新北市土城區中正路18號","(02)29410176","早市及黃昏市場"
"9	","頂埔公有市場","新北市","65000","土城區","65000130","新北市土城區中州路28巷30號","","超市"
"10	","民享公有市場","新北市","65000","中和區","65000030","新北市中和區民享街37號","(02)22492868","早市及黃昏市場"
"11	","枋寮公有市場","新北市","65000","中和區","65000030","新北市中和區中和路74號","(02)22492868","早市"
"12","和平街攤販集中區","新北市","65000","中和區","65000030","新北市中和區和平街89號","(02)29410176","黃昏市場"
"13	","永安公有市場","新北市","65000","永和區","65000040","新北市永和區安樂路431號","(02)29256805","早市"
"14	","溪洲公有市場","新北市","65000","永和區","65000040","新北市永和區勵行街42-1號","(02)29256803","早市"
"15	","金龍公有市場","新北市","65000","汐止區","65000110","新北市汐止區中興路250號","(02)86933583","早市"
"16	","秀豐公有市場(攤集區)","新北市","65000","汐止區","65000110","新北市汐止火車站臺鐵橋下","(02)86462351","黃昏市場"
"17	","中正中繼市場","新北市","65000","汐止區","65000110","新北市汐止區公園路忠順廟旁","(02)86462351","早市"
"18	","忠厚公有市場","新北市","65000","汐止區","65000110","新北市汐止區樟樹一路137巷26號","(02)86462231","早市"
"19	","林森攤販集中區","新北市","65000","汐止區","65000110","汐止國道高速公路高架橋下(15K+265至15K+397) ","(02)86462231","早市"
"20	","觀光攤販集中區","新北市","65000","汐止區","65000110","新北市汐止區水源路一段至新興路之臺鐵橋下","(02)86462351","夜市"
"21","湳興公有市場","新北市","65000","板橋區","65000010","新北市板橋區中興路63號","(02)29663624","早市"
"23	","後埔公有市場","新北市","65000","板橋區","65000010","新北市板橋區大華街5號","(02)29663624","早市"
"24","東勢公有市場","新北市","65000","林口區","65000170","新北市林口區林口區麗園一街35號","(02)29004000","早市"
"25	","林口公有市場","新北市","65000","林口區","65000170","新北市林口區林口路15號","(02)26020082","早市"
"26	","麗林公有市場","新北市","65000","林口區","65000170","新北市林口區公園路59號","","超市"
"27","第一公有市場","新北市","65000","金山區","65000270","新北市金山區中山路188號","(02)24926381","早市"
"28	","泰山公有市場","新北市","65000","泰山區","65000160","新北市泰山區全興路212號","(02)29004000","早市"
"29	","澳底公有市場","新北市","65000","貢寮區","65000260","新北市貢寮區仁愛路79號","(02)24930205","早市"
"30	","中山公有零售市場","新北市","65000","淡水區","65000100","新北市淡水區中山路77號","(02)26219669","早市"
"31	","中正美食廣場","新北市","65000","淡水區","65000100","新北市淡水區中正路115號","(02)26219669","美食廣場"
