序號,行政區,市場名稱,總計,蔬菜（數量）,青果（數量）,獸肉（數量）,漁產（數量）,家禽（數量）,糧食（數量）,花卉（數量）,雜貨（數量）,百貨（數量）,飲食（數量）,其他
1,中正區,東門市場,61,3,2,18,10,2,0,0,13,2,10,1
2,中正區,華山市場,35,1,2,2,0,2,0,1,4,8,14,1
3,中正區,光華數位新天地(110),377,0,0,0,0,0,0,0,0,377,0,0
4,中正區,新生市場,27,0,2,4,0,0,0,0,1,1,7,12
5,中正區,幸安市場,51,3,0,1,0,0,0,0,10,32,0,5
6,中正區,水源市場,212,6,27,13,11,8,1,1,21,63,45,16
7,大同區,雙連市場,145,40,1,16,17,12,0,1,12,3,16,27
8,大同區,大龍市場(108),82,6,1,12,5,2,0,2,20,17,9,8
9,大同區, 蘭州市場,210,1,75,24,32,6,0,0,44,7,4,17
10,大同區,永樂市場,212,0,0,0,0,0,0,0,0,212,0,0
11,大同區,永樂市場(1樓),182,0,11,7,11,2,0,0,55,56,3,37
12,中山區,大直市場,82,25,1,11,12,9,0,0,14,2,8,0
13,中山區,中山大樓,75,1,1,0,3,0,2,0,30,14,5,19
14,中山區,行天宮商場,1,0,0,0,0,0,0,0,0,0,0,1
15,中山區,長春市場,116,10,13,18,32,9,0,1,23,2,5,3
16,中山區,建國市場,133,15,6,15,9,8,0,2,44,25,7,2
17,中山區,中山市場,74,17,0,5,7,5,1,2,20,6,6,5
18,中山區,八德市場(110),179,0,20,20,14,13,0,0,0,98,3,11
19,中山區,松江市場,149,4,0,9,14,10,1,1,30,52,24,4
20,松山區, 龍城市場,70,11,6,3,7,3,0,1,6,11,11,11
21,松山區,南松市場,87,3,19,14,13,3,0,0,13,19,2,1
22,松山區, 松山市場,44,4,1,9,1,0,0,0,5,3,21,0
23,松山區,中崙市場(BOT),131,3,27,11,4,4,0,0,12,16,54,0
24,大安區,錦安市場,35,0,0,0,0,0,0,0,0,32,1,2
25,大安區,安東市場,62,4,5,5,3,2,0,1,8,20,5,9
26,大安區,南門中繼市場,258,19,2,22,16,8,0,0,73,50,16,52
27,大安區,信義市場(108),68,0,26,13,13,2,0,0,8,2,0,4
28,大安區,成功中繼市場,196,27,22,14,13,4,0,0,41,49,25,1
29,萬華區,直興市場,201,42,5,21,37,20,2,0,45,14,5,10
30,萬華區,新富市場,28,2,1,0,3,5,1,2,9,3,1,1
31,萬華區,河濱(2)商場,40,0,0,0,0,0,0,0,0,2,0,38
32,萬華區,龍山商場,93,0,0,0,0,0,0,0,0,72,21,0
33,萬華區,河濱(1)商場,133,0,0,0,0,0,0,0,5,33,1,94
34,萬華區,環南中繼市場,"1,060",364,5,160,136,73,0,0,124,0,25,173
35,萬華區,西寧市場,355,43,9,47,74,19,1,0,43,87,6,26
36,萬華區,西門商場(店鋪),57,0,0,0,0,0,0,2,0,19,33,3
37,信義區,永春市場(111),79,1,7,20,12,6,2,1,18,7,0,5
38,信義區,光復市場,56,0,15,9,3,3,0,0,14,10,1,1
39,信義區,永吉市場,51,3,13,13,3,9,0,0,10,0,0,0
40,士林區,士林市場(109),512,31,49,14,21,10,0,0,102,186,99,0
41,士林區,士東市場,255,18,11,17,16,7,0,5,50,78,50,3
42,北投區,北投中繼市場,481,48,36,18,28,11,0,0,58,115,47,120
43,內湖區,西湖市場,121,0,24,10,11,3,0,1,14,15,42,1
44,南港區,中研市場,58,0,19,7,5,3,0,0,7,10,5,2
45,南港區,成德市場,151,1,47,13,10,7,0,2,24,25,20,2
46,文山區,景美市場,1,0,0,0,0,0,0,0,0,0,0,1
47,文山區,木柵市場,169,0,55,35,25,9,0,3,25,12,5,0
48,文山區,興隆市場,82,0,16,9,9,4,0,2,21,9,4,8
49,文山區,木新市場,122,38,5,12,13,7,0,0,29,11,2,5
