,機動車輛新車領牌數－按縣市別及使用燃料分(107年1月起),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,單位：輛,
統計期,總計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,汽車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大客車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大貨車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小客車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小貨車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,特種車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,機車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計_總計,總計_新北市,總計_臺北市,汽油_總計,汽油_新北市,汽油_臺北市,柴油_總計,柴油_新北市,柴油_臺北市,電能_總計,電能_新北市,電能_臺北市,液化石油氣_總計,液化石油氣_新北市,液化石油氣_臺北市,汽油/LPG_總計,汽油/LPG_新北市,汽油/LPG_臺北市,汽油/電能_總計,汽油/電能_新北市,汽油/電能_臺北市,柴油/電能_總計,柴油/電能_新北市,柴油/電能_臺北市,電能/汽油_總計,電能/汽油_新北市,電能/汽油_臺北市,電能/柴油_總計,電能/柴油_新北市,電能/柴油_臺北市,電能(增程)_總計,電能(增程)_新北市,電能(增程)_臺北市,汽油(油電)_總計,汽油(油電)_新北市,汽油(油電)_臺北市,柴油(油電)_總計,柴油(油電)_新北市,柴油(油電)_臺北市,汽油(電能)_總計,汽油(電能)_新北市,汽油(電能)_臺北市,總計_總計,總計_新北市,總計_臺北市,汽油_總計,汽油_新北市,汽油_臺北市,柴油_總計,柴油_新北市,柴油_臺北市,電能_總計,電能_新北市,電能_臺北市,液化石油氣_總計,液化石油氣_新北市,液化石油氣_臺北市,汽油/LPG_總計,汽油/LPG_新北市,汽油/LPG_臺北市,汽油/電能_總計,汽油/電能_新北市,汽油/電能_臺北市,柴油/電能_總計,柴油/電能_新北市,柴油/電能_臺北市,電能/汽油_總計,電能/汽油_新北市,電能/汽油_臺北市,電能/柴油_總計,電能/柴油_新北市,電能/柴油_臺北市,電能(增程)_總計,電能(增程)_新北市,電能(增程)_臺北市,汽油(油電)_總計,汽油(油電)_新北市,汽油(油電)_臺北市,柴油(油電)_總計,柴油(油電)_新北市,柴油(油電)_臺北市,汽油(電能)_總計,汽油(電能)_新北市,汽油(電能)_臺北市,總計_總計,總計_新北市,總計_臺北市,汽油_總計,汽油_新北市,汽油_臺北市,柴油_總計,柴油_新北市,柴油_臺北市,電能_總計,電能_新北市,電能_臺北市,液化石油氣_總計,液化石油氣_新北市,液化石油氣_臺北市,汽油/LPG_總計,汽油/LPG_新北市,汽油/LPG_臺北市,汽油/電能_總計,汽油/電能_新北市,汽油/電能_臺北市,柴油/電能_總計,柴油/電能_新北市,柴油/電能_臺北市,電能/汽油_總計,電能/汽油_新北市,電能/汽油_臺北市,電能/柴油_總計,電能/柴油_新北市,電能/柴油_臺北市,電能(增程)_總計,電能(增程)_新北市,電能(增程)_臺北市,汽油(油電)_總計,汽油(油電)_新北市,汽油(油電)_臺北市,柴油(油電)_總計,柴油(油電)_新北市,柴油(油電)_臺北市,汽油(電能)_總計,汽油(電能)_新北市,汽油(電能)_臺北市,總計_總計,總計_新北市,總計_臺北市,汽油_總計,汽油_新北市,汽油_臺北市,柴油_總計,柴油_新北市,柴油_臺北市,電能_總計,電能_新北市,電能_臺北市,液化石油氣_總計,液化石油氣_新北市,液化石油氣_臺北市,汽油/LPG_總計,汽油/LPG_新北市,汽油/LPG_臺北市,汽油/電能_總計,汽油/電能_新北市,汽油/電能_臺北市,柴油/電能_總計,柴油/電能_新北市,柴油/電能_臺北市,電能/汽油_總計,電能/汽油_新北市,電能/汽油_臺北市,電能/柴油_總計,電能/柴油_新北市,電能/柴油_臺北市,電能(增程)_總計,電能(增程)_新北市,電能(增程)_臺北市,汽油(油電)_總計,汽油(油電)_新北市,汽油(油電)_臺北市,柴油(油電)_總計,柴油(油電)_新北市,柴油(油電)_臺北市,汽油(電能)_總計,汽油(電能)_新北市,汽油(電能)_臺北市,總計_總計,總計_新北市,總計_臺北市,汽油_總計,汽油_新北市,汽油_臺北市,柴油_總計,柴油_新北市,柴油_臺北市,電能_總計,電能_新北市,電能_臺北市,液化石油氣_總計,液化石油氣_新北市,液化石油氣_臺北市,汽油/LPG_總計,汽油/LPG_新北市,汽油/LPG_臺北市,汽油/電能_總計,汽油/電能_新北市,汽油/電能_臺北市,柴油/電能_總計,柴油/電能_新北市,柴油/電能_臺北市,電能/汽油_總計,電能/汽油_新北市,電能/汽油_臺北市,電能/柴油_總計,電能/柴油_新北市,電能/柴油_臺北市,電能(增程)_總計,電能(增程)_新北市,電能(增程)_臺北市,汽油(油電)_總計,汽油(油電)_新北市,汽油(油電)_臺北市,柴油(油電)_總計,柴油(油電)_新北市,柴油(油電)_臺北市,汽油(電能)_總計,汽油(電能)_新北市,汽油(電能)_臺北市,總計_總計,總計_新北市,總計_臺北市,汽油_總計,汽油_新北市,汽油_臺北市,柴油_總計,柴油_新北市,柴油_臺北市,電能_總計,電能_新北市,電能_臺北市,液化石油氣_總計,液化石油氣_新北市,液化石油氣_臺北市,汽油/LPG_總計,汽油/LPG_新北市,汽油/LPG_臺北市,汽油/電能_總計,汽油/電能_新北市,汽油/電能_臺北市,柴油/電能_總計,柴油/電能_新北市,柴油/電能_臺北市,電能/汽油_總計,電能/汽油_新北市,電能/汽油_臺北市,電能/柴油_總計,電能/柴油_新北市,電能/柴油_臺北市,電能(增程)_總計,電能(增程)_新北市,電能(增程)_臺北市,汽油(油電)_總計,汽油(油電)_新北市,汽油(油電)_臺北市,柴油(油電)_總計,柴油(油電)_新北市,柴油(油電)_臺北市,汽油(電能)_總計,汽油(電能)_新北市,汽油(電能)_臺北市,總計_總計,總計_新北市,總計_臺北市,汽油_總計,汽油_新北市,汽油_臺北市,柴油_總計,柴油_新北市,柴油_臺北市,電能_總計,電能_新北市,電能_臺北市,液化石油氣_總計,液化石油氣_新北市,液化石油氣_臺北市,汽油/LPG_總計,汽油/LPG_新北市,汽油/LPG_臺北市,汽油/電能_總計,汽油/電能_新北市,汽油/電能_臺北市,柴油/電能_總計,柴油/電能_新北市,柴油/電能_臺北市,電能/汽油_總計,電能/汽油_新北市,電能/汽油_臺北市,電能/柴油_總計,電能/柴油_新北市,電能/柴油_臺北市,電能(增程)_總計,電能(增程)_新北市,電能(增程)_臺北市,汽油(油電)_總計,汽油(油電)_新北市,汽油(油電)_臺北市,柴油(油電)_總計,柴油(油電)_新北市,柴油(油電)_臺北市,汽油(電能)_總計,汽油(電能)_新北市,汽油(電能)_臺北市,總計_總計,總計_新北市,總計_臺北市,汽油_總計,汽油_新北市,汽油_臺北市,柴油_總計,柴油_新北市,柴油_臺北市,電能_總計,電能_新北市,電能_臺北市,液化石油氣_總計,液化石油氣_新北市,液化石油氣_臺北市,汽油/LPG_總計,汽油/LPG_新北市,汽油/LPG_臺北市,汽油/電能_總計,汽油/電能_新北市,汽油/電能_臺北市,柴油/電能_總計,柴油/電能_新北市,柴油/電能_臺北市,電能/汽油_總計,電能/汽油_新北市,電能/汽油_臺北市,電能/柴油_總計,電能/柴油_新北市,電能/柴油_臺北市,電能(增程)_總計,電能(增程)_新北市,電能(增程)_臺北市,汽油(油電)_總計,汽油(油電)_新北市,汽油(油電)_臺北市,柴油(油電)_總計,柴油(油電)_新北市,柴油(油電)_臺北市,汽油(電能)_總計,汽油(電能)_新北市,汽油(電能)_臺北市
113年,"1,210,444","179,263","131,448","939,820","142,733","79,048","34,319","4,377","6,405","117,208","16,662","18,781",-,-,-,-,-,-,324,37,68,27,-,9,"2,761",311,730,-,-,-,12,-,2,"109,941","14,363","25,034","3,091",320,"1,001","2,941",460,370,"457,816","59,591","80,805","266,123","34,630","38,451","34,319","4,377","6,405","38,280","5,094","8,735",-,-,-,-,-,-,323,37,68,27,-,9,"2,761",311,730,-,-,-,12,-,2,"109,939","14,362","25,034","3,091",320,"1,001","2,941",460,370,"1,201",204,269,-,-,-,986,112,247,215,92,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,025",749,446,-,-,-,"5,992",748,426,6,1,-,-,-,-,-,-,-,-,-,-,8,-,4,-,-,-,-,-,-,-,-,-,-,-,-,19,-,16,-,-,-,"403,702","53,045","72,432","240,079","31,709","34,982","7,441",968,"1,713","37,629","4,965","8,672",-,-,-,-,-,-,323,37,68,13,-,5,"2,761",311,730,-,-,-,12,-,2,"109,435","14,277","24,905","3,071",319,985,"2,938",459,370,"42,867","4,869","7,005","24,841","2,658","3,248","17,208","2,142","3,612",423,36,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,395,33,108,-,-,-,-,-,-,"4,021",724,653,"1,203",263,221,"2,692",407,407,7,-,4,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,109,52,21,1,1,-,3,1,-,"752,628","119,672","50,643","673,697","108,103","40,597",-,-,-,"78,928","11,568","10,046",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-
113年 3月,"106,328","15,886","11,580","85,125","12,982","7,180","2,891",346,596,"8,076","1,141","1,533",-,-,-,-,-,-,20,2,9,1,-,-,269,30,62,-,-,-,1,-,-,"9,109","1,246","2,046",292,32,92,544,107,62,"41,312","5,505","7,290","24,712","3,297","3,589","2,891",346,596,"3,473",445,834,-,-,-,-,-,-,20,2,9,1,-,-,269,30,62,-,-,-,1,-,-,"9,109","1,246","2,046",292,32,92,544,107,62,59,4,11,-,-,-,59,4,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,482,42,32,-,-,-,482,42,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"36,748","5,014","6,552","22,321","3,035","3,256",842,127,210,"3,383",436,821,-,-,-,-,-,-,20,2,9,1,-,-,269,30,62,-,-,-,1,-,-,"9,075","1,245","2,040",292,32,92,544,107,62,"3,784",414,664,"2,325",255,329,"1,341",149,317,90,9,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,1,5,-,-,-,-,-,-,239,31,31,66,7,4,167,24,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,1,-,-,-,-,-,-,"65,016","10,381","4,290","60,413","9,685","3,591",-,-,-,"4,603",696,699,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113年 4月,"98,171","14,628","10,629","78,096","11,823","6,506","2,717",345,493,"7,537","1,099","1,409",-,-,-,-,-,-,40,5,7,2,-,1,229,27,57,-,-,-,2,-,1,"8,960","1,254","2,030",237,24,75,351,51,50,"37,039","4,974","6,273","22,522","2,992","3,097","2,717",345,493,"1,979",276,462,-,-,-,-,-,-,40,5,7,2,-,1,229,27,57,-,-,-,2,-,1,"8,960","1,254","2,030",237,24,75,351,51,50,64,11,11,-,-,-,61,11,11,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,508,59,35,-,-,-,508,59,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,575","4,446","5,616","20,132","2,723","2,771",697,93,168,"1,962",275,459,-,-,-,-,-,-,40,5,7,2,-,1,229,27,57,-,-,-,2,-,1,"8,923","1,248","2,027",237,24,75,351,51,50,"3,611",433,584,"2,223",258,314,"1,347",170,264,13,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,4,3,-,-,-,-,-,-,281,25,27,167,11,12,104,12,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,2,-,-,-,-,-,-,-,"61,132","9,654","4,356","55,574","8,831","3,409",-,-,-,"5,558",823,947,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113年 5月,"111,166","16,534","12,119","83,503","12,913","6,977","3,270",392,609,"13,461","1,730","2,006",-,-,-,-,-,-,25,3,11,1,-,1,204,30,71,-,-,-,2,-,1,"10,204","1,403","2,324",279,26,82,217,37,37,"41,475","5,388","7,343","22,949","2,928","3,325","3,270",392,609,"4,324",569,882,-,-,-,-,-,-,25,3,11,1,-,1,204,30,71,-,-,-,2,-,1,"10,204","1,403","2,324",279,26,82,217,37,37,71,8,16,-,-,-,70,8,16,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,548,51,36,-,-,-,548,51,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"36,505","4,818","6,587","20,477","2,631","3,000",838,127,192,"4,307",565,879,-,-,-,-,-,-,25,3,11,1,-,1,204,30,71,-,-,-,2,-,1,"10,155","1,399","2,313",279,26,82,217,37,37,"3,955",407,634,"2,265",243,287,"1,633",156,335,16,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,4,9,-,-,-,-,-,-,396,104,70,207,54,38,181,50,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,2,-,-,-,-,-,-,"69,691","11,146","4,776","60,554","9,985","3,652",-,-,-,"9,137","1,161","1,124",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113年 6月,"101,071","14,599","11,863","72,405","10,898","6,319","2,725",337,516,"15,552","2,065","2,624",-,-,-,-,-,-,18,3,5,-,-,-,243,24,82,-,-,-,2,-,-,"9,684","1,232","2,203",244,21,82,198,19,32,"41,586","5,314","7,638","21,885","2,845","3,335","2,725",337,516,"6,587",833,"1,383",-,-,-,-,-,-,18,3,5,-,-,-,243,24,82,-,-,-,2,-,-,"9,684","1,232","2,203",244,21,82,198,19,32,102,7,31,-,-,-,88,4,31,14,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520,63,34,-,-,-,519,62,34,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"37,161","4,742","6,942","19,607","2,547","3,033",653,70,142,"6,561",829,"1,378",-,-,-,-,-,-,18,3,5,-,-,-,243,24,82,-,-,-,2,-,-,"9,635","1,229","2,188",244,21,82,198,19,32,"3,448",390,575,"2,130",243,276,"1,267",145,286,10,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,2,9,-,-,-,-,-,-,355,112,56,148,55,26,198,56,23,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,1,6,-,-,-,-,-,-,"59,485","9,285","4,225","50,520","8,053","2,984",-,-,-,"8,965","1,232","1,241",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113年 7月,"117,067","17,434","12,737","91,423","13,921","8,029","2,890",371,506,"11,170","1,586","1,586",-,-,-,-,-,-,32,3,6,-,-,-,243,23,64,-,-,-,-,-,-,"10,835","1,465","2,454",199,23,65,275,42,27,"45,675","5,962","8,251","27,655","3,605","4,239","2,890",371,506,"3,546",430,890,-,-,-,-,-,-,32,3,6,-,-,-,243,23,64,-,-,-,-,-,-,"10,835","1,465","2,454",199,23,65,275,42,27,66,9,12,-,-,-,66,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,569,92,51,-,-,-,568,92,51,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"40,575","5,344","7,531","24,984","3,300","3,912",534,72,120,"3,534",430,890,-,-,-,-,-,-,32,3,6,-,-,-,243,23,64,-,-,-,-,-,-,"10,775","1,451","2,447",199,23,65,274,42,27,"4,169",441,626,"2,566",261,320,"1,553",178,300,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,2,6,-,-,-,-,-,-,296,76,31,105,44,7,169,20,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,12,1,-,-,-,1,-,-,"71,392","11,472","4,486","63,768","10,316","3,790",-,-,-,"7,624","1,156",696,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113年 8月,"98,791","14,506","9,897","78,042","11,743","6,265","2,550",369,501,"10,691","1,450","1,388",-,-,-,-,-,-,14,1,3,2,-,2,169,29,47,-,-,-,-,-,-,"6,891",861,"1,587",218,16,74,214,37,30,"29,401","3,769","5,265","16,698","2,105","2,460","2,550",369,501,"2,647",351,561,-,-,-,-,-,-,13,1,3,2,-,2,169,29,47,-,-,-,-,-,-,"6,890",861,"1,587",218,16,74,214,37,30,80,5,9,-,-,-,58,5,9,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450,84,45,-,-,-,447,84,43,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,"25,478","3,226","4,660","14,882","1,882","2,238",513,59,129,"2,613",346,561,-,-,-,-,-,-,13,1,3,-,-,-,169,29,47,-,-,-,-,-,-,"6,858",857,"1,578",216,15,74,214,37,30,"3,085",401,514,"1,757",205,220,"1,290",187,291,12,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,4,3,-,-,-,-,-,-,308,53,37,59,18,2,242,34,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6,1,1,-,-,-,-,"69,390","10,737","4,632","61,344","9,638","3,805",-,-,-,"8,044","1,099",827,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
