作業時間,日期,類型,捐血點/主辦單位,地點,等候人數,活動ID,頁碼,縣市
10:00~18:00,2025/05/31,活動,謝洪麗珠景觀花藝社,新北市新莊區中華路+復興路口(配合新莊號),0,0P143481189247581909,1,新北市
10:00~17:00,2025/05/31,活動,淡水海洋都心二期,新北市淡水區新市三路二段217號,0,0P143481185510076423,1,新北市
11:00~17:00,2025/05/31,活動,秀泰生活樹林店,新北市樹林區樹新路40-6號,0,0P143481184975197495,1,新北市
08:00~17:00,,固定點,板橋捐血站,新北市板橋區雙十路三段27號2樓(捷運板南線BL江子翠捷運站1號出口，向前直走步行約5分鐘),0,0P091704359095276093,1,新北市
09:00~17:00,,固定點,樹林捐血室,新北市樹林區中山路一段276號6樓,0,0P091704355546518552,1,新北市
10:00~18:00(114/5/26~5/29暫停作業),,固定點,府中捐血室(114/5/26~5/29暫停作業),中山路一段50巷36號2樓之4(捷運板南線BL府中站2號出口，往中山路步行約10分鐘),0,0P091704350639145021,1,新北市
09:00~17:00,,固定點,中和號捐血車,新北市中和區中安街圖書館旁(823公園內，捷運中和新蘆線O永安市場站步行約5分鐘),0,0P091704335103226040,1,新北市
10:00~18:00,,固定點,新莊號捐血車,新北市新莊區中華路一段+復興路一段交叉口(新莊綜合運動場旁，捷運中和新蘆線O新莊站1號出口，往中華路方向步行約10分鐘),0,0P091704334568357022,1,新北市
10:00~18:00(僅每週六、日提供作業。114/5/17、5/18、5/25、5/31、6/1、6/7暫停作業),,固定點,土城號捐血車(114/5/17、5/18、5/25、5/31、6/1、6/7暫停作業),新北市土城區裕民路171巷裕民廣場內(捷運板南線BL海山站3號出口，往裕民路方向步行約10分鐘),-,0P091704330475710563,1,新北市
09:00~17:00,,固定點,新店捐血室,新北市新店區民權路95號6樓之2(江陵金融大樓元大銀行樓上，捷運松山新店線G大坪林站1號出口，步行約5分鐘),0,0P091704328118015564,1,新北市
09:00~17:00(每週六公休),,固定點,汐止捐血室,新北市汐止區新台五路一段207號11樓B室(汐止農會樓上),0,0P091704323845620050,2,新北市
09:00~17:00,,固定點,三重捐血室,新北市三重區重新路四段12號7樓之2(捷運中和新蘆線O菜寮站2號出口步行5分鐘),0,0P091704323480509078,2,新北市
