作業時間,日期,類型,捐血點/主辦單位,地點,等候人數,活動ID,頁碼,縣市
11:00~18:00,2025/05/31,活動,國際獅子會300A 1區台北市大眾獅子會,臺北市信義區松壽路16巷,0,0P143481189603602982,1,臺北市
09:00~17:00(114/5/5~5/9暫停作業),,固定點,大安號捐血車,台北市大安區建國南路二段大安森林公園地下停車場入口旁空地(捷運淡水信義線R大安森林公園站5號出口，步行約5分鐘),0,0P091704354367760507,1,臺北市
11:00~19:00,,固定點,忠孝捐血室,B1東區地下街9號出口旁副走道(第四廣場旁),0,0P091704351818993076,1,臺北市
11:00~19:00(114/5/5~5/9暫停作業),,固定點,新光站前號捐血車,台北市中正區忠孝西路一段66號面對新光摩天大樓左側腹地(捷運台北車站M6出口，步行約5分鐘),0,0P091704339830832536,1,臺北市
13:00~21:00,,固定點,峨嵋號捐血車,台北市萬華區峨嵋街立體停車場旁(昆明街口，捷運板南線BL西門站6號出口，步行約10分鐘),0,0P091704339396863519,1,臺北市
10:00~18:00(114/4/28~4/30暫停作業),,固定點,公園號捐血車,台北市中正區公園路+襄陽路口(捷運淡水信義線R台大醫院站4號出口),0,0P091704334024478005,1,臺北市
09:00~17:00(每週日公休。),,固定點,長春捐血室,台北市松山區復興北路69號5樓(捷運文湖線BR南京復興站5號出口，步行約3分鐘),0,0P091704328573146537,1,臺北市
08:00~17:30,,固定點,南海捐血室,台北市中正區南海路1號3樓(南門市場對面，中正紀念堂站1號出口，步行約3分鐘),0,0P091704327939267519,1,臺北市
08:00~17:00,,固定點,關渡捐血室,台北市北投區立德路123號(和信醫院旁，捷運淡水信義線R忠義站，步行約10分鐘),0,0P091704322667872905,1,臺北市
09:00~17:00(每週六、日公休),,固定點,市府捐血室,台北市信義區市府路1號，市政府西大門內左側(1.捷運板南線BL市政府站2號出口。2.捷運淡水信義線R台北101/世貿站4號出口。均步行約10分鐘),0,0P091704322201751023,1,臺北市
09:30~16:30(每月17日),,巡迴車,士林區巡迴捐血車(每月17日),大東路士林國小前,0,0P094384341544681006,2,臺北市
09:30~16:30(每月24日),,巡迴車,內湖區巡迴捐血車(每月24日),成功路四段166號(七海餐廳前),0,0P094383895459579510,2,臺北市
09:30~16:30(每月7日，逢遇週六、日休息),,巡迴車,南港區巡迴捐血車(每月7日),南港路二段18號,0,0P094379764687471839,2,臺北市
