hotel_name,min_price,biz_area,city
香香雙博士大旅社,880.0,新北市永和中興街韓國商圈,NewTaipei
香奈爾汽車旅館,2580.0,新北市蘆洲區商圈,NewTaipei
碧潭飯店,4280.0,新北市中和華新街商圈,NewTaipei
沐舍溫泉渡假酒店,16500.0,新北市金山商圈,NewTaipei
柯達大飯店(永和店),1200.0,新北市永和中興街韓國商圈,NewTaipei
綠映旅舍,2600.0,新北市三重碧華布街商圈,NewTaipei
長緹海景飯店,3000.0,新北市淡水區商圈,NewTaipei
宮賓大旅社,450.0,新北市板橋區府中商圈,NewTaipei
金龍湖旅館,2500.0,新北市深坑商圈,NewTaipei
馨記旅館,1480.0,新北市蘆洲區商圈,NewTaipei
陽明山天籟渡假酒店,14500.0,新北市金山商圈,NewTaipei
冠君大飯店,3800.0,新北市板橋區府中商圈,NewTaipei
享來大旅社,1200.0,新北市淡水區商圈,NewTaipei
薇星旅館,4230.0,新北市石碇觀光商圈,NewTaipei
富逸旅趣-板橋府中館,20000.0,新北市板橋區府中商圈,NewTaipei
盟園旅社,700.0,新北市板橋區府中商圈,NewTaipei
喬太商務旅館,1100.0,新北市板橋區新板商圈,NewTaipei
富康精彩旅店,5600.0,新北市板橋區江子翠商圈,NewTaipei
漁人碼頭休閒旅館,3690.0,新北市淡水區商圈,NewTaipei
青青汽車旅館,2680.0,新北市三峽民權老街商圈,NewTaipei
薇薇精品旅館,3080.0,新北市蘆洲區商圈,NewTaipei
觀海樓旅店,5000.0,新北市淡水區商圈,NewTaipei
菁鳥旅館,2500.0,新北市板橋區府中商圈,NewTaipei
三重旅社,600.0,新北市三重碧華布街商圈,NewTaipei
名爵汽車旅館,3620.0,新北市三重碧華布街商圈,NewTaipei
皇品時尚旅店,4700.0,新北市板橋區新板商圈,NewTaipei
億苑賓館,4200.0,新北市板橋區府中商圈,NewTaipei
悅榕汽車旅館,580.0,新北市板橋區府中商圈,NewTaipei
印象賓館,1000.0,新北市板橋區府中商圈,NewTaipei
昇園賓館,1000.0,新北市板橋區府中商圈,NewTaipei
佳賓旅社,800.0,新北市板橋區府中商圈,NewTaipei
龍海大飯店,1000.0,新北市板橋區府中商圈,NewTaipei
板橋旅居文旅,12000.0,新北市板橋區新板商圈,NewTaipei
香寧旅店,1480.0,新北市八里區左岸觀光商圈,NewTaipei
新五福旅社,1200.0,新北市淡水區商圈,NewTaipei
新加州景觀旅館,3800.0,新北市中和華新街商圈,NewTaipei
蘭竹大飯店,1250.0,新北市板橋區新板商圈,NewTaipei
丰居旅店微風館,15000.0,新北市蘆洲區商圈,NewTaipei
相見歡旅館,3380.0,新北市永和中興街韓國商圈,NewTaipei
華倫大旅社,1200.0,新北市板橋區府中商圈,NewTaipei
美錦樂賓館,650.0,新北市板橋區府中商圈,NewTaipei
愛莉亞汽車旅館,1580.0,新北市三峽民權老街商圈,NewTaipei
新北龍山旅社,1000.0,新北市中和華新街商圈,NewTaipei
南國旅社,500.0,新北市板橋區府中商圈,NewTaipei
美莊旅社,1000.0,新北市板橋區府中商圈,NewTaipei
愛家旅館,2200.0,新北市中和華新街商圈,NewTaipei
旅居文旅-板橋驛站2館,12000.0,新北市板橋區府中商圈,NewTaipei
黎明旅館,1800.0,新北市中和華新街商圈,NewTaipei
名華大旅社,300.0,新北市三重碧華布街商圈,NewTaipei
慶都大旅社,700.0,新北市三重碧華布街商圈,NewTaipei
庭有名旅居文旅,12000.0,新北市板橋區府中商圈,NewTaipei
名流賓館,800.0,新北市三重碧華布街商圈,NewTaipei
千嘉旅店,1400.0,新北市板橋區府中商圈,NewTaipei
玉山旅店,2000.0,新北市鶯歌區陶瓷藝術商圈,NewTaipei
中信旅店,1380.0,新北市永和中興街韓國商圈,NewTaipei
明園賓館,900.0,新北市板橋區府中商圈,NewTaipei
豪華旅社,800.0,新北市板橋區府中商圈,NewTaipei
凱帝賓館,1500.0,新北市中和華新街商圈,NewTaipei
福泰翡翠灣渡假飯店,8000.0,新北市萬里商圈,NewTaipei
土城飯店,1380.0,新北市板橋區府中商圈,NewTaipei
沃客伽洲旅社,16800.0,新北市三重碧華布街商圈,NewTaipei
馥俐商旅,9900.0,新北市板橋區府中商圈,NewTaipei
新莊客旅,4500.0,新北市板橋區府中商圈,NewTaipei
嘉家旅店,800.0,新北市永和中興街韓國商圈,NewTaipei
極品旅館,4980.0,新北市新莊廟街商圈,NewTaipei
華園旅社,800.0,新北市三重碧華布街商圈,NewTaipei
仲信商務會館,4400.0,新北市中和華新街商圈,NewTaipei
首府大旅社,3000.0,新北市板橋區新板商圈,NewTaipei
華春林賓館,700.0,新北市三重碧華布街商圈,NewTaipei
秀山大飯店,2500.0,新北市烏來區溫泉社區商圈,NewTaipei
烏來輕井澤溫泉旅館,8800.0,新北市烏來區溫泉社區商圈,NewTaipei
三和旅舍,1050.0,新北市三重碧華布街商圈,NewTaipei
喜客商旅-三重館,14800.0,新北市三重碧華布街商圈,NewTaipei
百麗旅店,9880.0,新北市板橋區府中商圈,NewTaipei
宏仁旅店,1980.0,新北市中和華新街商圈,NewTaipei
嘉年華汽車旅館,2900.0,新北市蘆洲區商圈,NewTaipei
台北薇米商旅,4800.0,新北市三重碧華布街商圈,NewTaipei
怡美賓館,1400.0,新北市金山商圈,NewTaipei
雲仙大飯店,4400.0,新北市烏來區溫泉社區商圈,NewTaipei
友愛金色商旅,3300.0,新北市板橋區府中商圈,NewTaipei
香格里拉汽車旅館,2600.0,新北市中和華新街商圈,NewTaipei
香格里拉汽車旅館中和館,2600.0,新北市中和華新街商圈,NewTaipei
馥俐旅店,9900.0,新北市板橋區府中商圈,NewTaipei
君祥酒店,3600.0,新北市新莊廟街商圈,NewTaipei
雅都旅社,6980.0,新北市新莊廟街商圈,NewTaipei
旅居文旅-板橋驛站1館,12000.0,新北市板橋區府中商圈,NewTaipei
柜富旅店,12000.0,新北市三重碧華布街商圈,NewTaipei
夢綺旅店,12000.0,新北市板橋區府中商圈,NewTaipei
台麗精品旅店,4500.0,新北市新莊廟街商圈,NewTaipei
愛摩兒時尚旅?,3500.0,新北市永和中興街韓國商圈,NewTaipei
上格大飯店,18800.0,新北市三重碧華布街商圈,NewTaipei
大東旅社,1200.0,新北市雙溪低碳商圈,NewTaipei
花蝶晶漾商旅（HOTEL）,3980.0,新北市新莊廟街商圈,NewTaipei
群策翡翠灣溫泉飯店,6600.0,新北市萬里商圈,NewTaipei
河灣渡假村,4000.0,新北市平溪區魅力商圈,NewTaipei
儷閣經典旅館,6960.0,新北市中和華新街商圈,NewTaipei
北國之春和風汽車旅館,1680.0,新北市鶯歌區陶瓷藝術商圈,NewTaipei
馥都飯店,11600.0,新北市板橋區府中商圈,NewTaipei
安盛商務旅館,3400.0,新北市中和華新街商圈,NewTaipei
帝苑旅店,8880.0,新北市板橋區江子翠商圈,NewTaipei
探索汽車旅館永和館,4980.0,新北市永和中興街韓國商圈,NewTaipei
日暉商務旅館,1980.0,新北市中和華新街商圈,NewTaipei
福格大飯店,5000.0,新北市淡水區商圈,NewTaipei
萬里仙境溫泉會館,5280.0,新北市金山商圈,NewTaipei
藏愛旅店,12000.0,新北市三重碧華布街商圈,NewTaipei
全家旅店,6600.0,新北市中和華新街商圈,NewTaipei
大觀商旅,12000.0,新北市新莊廟街商圈,NewTaipei
璞石麗緻溫泉會館,7920.0,新北市烏來區溫泉社區商圈,NewTaipei
正點旅店,2980.0,新北市板橋區新板商圈,NewTaipei
景安精品旅館,3250.0,新北市中和華新街商圈,NewTaipei
沃客新舍旅社,16800.0,新北市三重碧華布街商圈,NewTaipei
挪威森林森森休閒旅館,1980.0,新北市淡水區商圈,NewTaipei
福容大飯店 福隆貝悅,14080.0,新北市雙溪低碳商圈,NewTaipei
紫虹汽車旅館,980.0,新北市蘆洲區商圈,NewTaipei
