hotel_name,min_price,biz_area,city
旅居文旅西門驛站昆明館,10000.0,承德路中古汽車商圈,Taipei
慕居行旅,600.0,士林觀光夜市商圈,Taipei
承攜行旅台北八德館,12000.0,天母商圈,Taipei
丹迪旅店-大安森林公園店,12000.0,士林觀光夜市商圈,Taipei
雀客快捷台北車站,10780.0,承德路中古汽車商圈,Taipei
大來商旅,2000.0,士林捷運站周邊,Taipei
漾館溫泉商旅,5888.0,新北投溫泉商圈,Taipei
和怡商務旅館,3380.0,西湖商圈,Taipei
皇后旅社,6800.0,承德路中古汽車商圈,Taipei
華麗大飯店,1900.0,承德路中古汽車商圈,Taipei
新凱飯店,3000.0,天母商圈,Taipei
麗雅精品旅館,1980.0,士林捷運站周邊,Taipei
國際大旅館,2310.0,行義路溫泉美食商圈,Taipei
漫慢米窩旅店,5600.0,天母商圈,Taipei
麗都大飯店,2700.0,士林觀光夜市商圈,Taipei
黛芬旅館,1000.0,承德路中古汽車商圈,Taipei
首都唯客樂飯店,5800.0,士林捷運站周邊,Taipei
力歐時尚旅館,3000.0,承德路中古汽車商圈,Taipei
悅來旅館,5000.0,承德路中古汽車商圈,Taipei
金財神旅館,5000.0,承德路中古汽車商圈,Taipei
小雅旅店,1100.0,大直商圈,Taipei
艾捷天麗大飯店,30000.0,士林捷運站周邊,Taipei
承攜行旅台北大稻埕,10780.0,承德路中古汽車商圈,Taipei
迪樂商旅,1580.0,承德路中古汽車商圈,Taipei
紫園旅社,5200.0,承德路中古汽車商圈,Taipei
富粧商務旅店,1680.0,承德路中古汽車商圈,Taipei
長虹大飯店,2380.0,承德路中古汽車商圈,Taipei
東皇大飯店,5000.0,新北投溫泉商圈,Taipei
梅樓商務驛站,1490.0,承德路中古汽車商圈,Taipei
旅居文旅-松山驛站,3000.0,大直商圈,Taipei
南港安樂旅社,1400.0,西湖商圈,Taipei
凱統大飯店,2580.0,士林觀光夜市商圈,Taipei
薇閣精品旅館,3800.0,天母商圈,Taipei
薇閣精品旅館,4700.0,天母商圈,Taipei
華宮旅社,700.0,承德路中古汽車商圈,Taipei
洛碁大飯店花華分館,3000.0,承德路中古汽車商圈,Taipei
京都商務旅館,4300.0,士林捷運站周邊,Taipei
美觀園旅社,1800.0,承德路中古汽車商圈,Taipei
北門文旅,1400.0,承德路中古汽車商圈,Taipei
台北商旅（大安館）,9200.0,士林觀光夜市商圈,Taipei
福來旅社,500.0,承德路中古汽車商圈,Taipei
葳皇時尚飯店,18880.0,承德路中古汽車商圈,Taipei
一加一旅館,1200.0,承德路中古汽車商圈,Taipei
台北世聯商旅,4600.0,士林捷運站周邊,Taipei
帥客旅店,1500.0,承德路中古汽車商圈,Taipei
客來思樂行旅,1280.0,承德路中古汽車商圈,Taipei
承攜行旅台北台大館,13800.0,承德路中古汽車商圈,Taipei
璞樂米窩,25000.0,大直商圈,Taipei
台北碧瑤飯店,4300.0,士林捷運站周邊,Taipei
蒲園飯店,2800.0,天母商圈,Taipei
香城大飯店松山分店,1800.0,大直商圈,Taipei
家賓大旅社,4000.0,中山商圈,Taipei
景美大旅社,1000.0,中山商圈,Taipei
城美行旅,1820.0,承德路中古汽車商圈,Taipei
璞漣商務旅館西門店,3300.0,承德路中古汽車商圈,Taipei
大榮大旅社,900.0,承德路中古汽車商圈,Taipei
雲沐行旅,16000.0,士林觀光夜市商圈,Taipei
