統計期,碧潭風景特定區,新北市立鶯歌陶瓷博物館,鶯歌老街,清水祖師廟,新北市客家文化園區,三峽老街,三峽區大板根森林溫泉度假村,三峽區歷史文物館,淡水漁人碼頭,淡水紅毛城,滬尾炮臺,前清淡水關稅務司官邸,淡水金色水岸,瑞芳風景特定區,猴硐煤礦園區,新北市立黃金博物園區,新北市立鶯歌陶瓷博物館,水湳洞遊客中心,坪林茶業博物館,八仙海岸,新北市立十三行博物館,八里左岸公園,十分旅遊服務中心,十分瀑布,朱銘美術館,法鼓山世界佛教教育園區,烏來風景特定區,雲仙樂園,林本源園邸
104年,1501845,1153263,628380,18793,937824,2093000,226029,63172,3123507,1218807,204396,314723,3369776,4255655,842987,2146304,1153263,783802,116228,75032,981301,3292500,3855523,2505336,126527,298246,1186687,146369,0
105年,1614445,767277,627329,18928,938218,1915000,206838,75217,3012568,963434,147504,217135,4553901,4322675,866835,2184043,767277,705693,212042,0,655779,3252177,3882540,2528040,127228,250010,1217707,76579,302146
106年,1869500,648251,760320,19782,730747,2192000,198172,74683,2497891,744472,96793,159865,4619000,4751400,993590,1933380,648251,757100,144901,0,568900,3561000,4171450,2699600,101225,258927,1866150,100980,267945
107年,2099700,748635,876117,18284,952343,2013000,194998,60845,3128588,914396,76495,156268,4581000,5027500,1023850,1887498,748635,773950,143536,0,516396,3299000,4194400,2793800,114749,248469,2089750,123630,250509
108年,2191200,726389,912517,18136,982151,2023000,194275,59535,3425704,828125,80945,214767,4637000,5124500,1042900,1972451,726389,788650,147752,0,618157,3653000,4212800,2801300,109157,226356,2147700,128790,290502
109年,2322000,533236,924229,8651,584003,1621000,200160,46632,2086198,272141,52563,107419,4785150,2904000,562300,991416,533236,392000,107566,0,579728,3647440,2260000,1460800,173809,129706,1316500,121375,407187
110年,1091900,248330,835337,4486,290046,927300,118388,29296,1472314,167813,36689,64030,3628370,1910000,385300,514932,248330,278500,75294,0,335320,2761540,1111500,790400,40361,89332,989160,91921,118447
111年,2137690,484923,675338,8842,706707,697957,162101,41765,1430596,206558,47327,82964,3383300,3074000,835510,734160,484923,405920,119514,0,454762,2519920,1881880,1432050,56079,95413,1328200,97777,118158
112年,2396674,4575537,995863,21244,602453,988760,196458,56212,1669033,546522,75302,161277,4360703,3929731,891319,984554,4575537,543121,241654,0,580723,3225508,2302509,1594787,60405,144302,2033528,148660,168527
113年,2252458,523055,524989,639480,554003,886469,156795,56962,1584334,421692,46629,59262,3802200,3545080,1014952,942799,523055,521500,195711,0,549083,2837700,2353563,1617890,51300,123608,2026679,130560,2733374
