number,county,district,market_name,stall_name,grade
1,新北市,永和區,樂華觀光夜市,小義大利咖啡,5
2,新北市,瑞芳區,瑞芳美食廣場,豐味肉羹,5
3,新北市,泰山區,泰山公有零售市場,素清手作布工坊,5
4,新北市,汐止區,秀豐公有零售市場,魯牛作坊,5
5,新北市,汐止區,汐止觀光夜市,邱記龍鳳腿牛肉麵,5
6,新北市,汐止區,汐止觀光夜市,剉冰女王,5
7,新北市,永和區,永安公有零售市場,沐爵烘焙坊,5
8,新北市,五股區,五股公有零售市場,荳牛肉鋪,5
9,新北市,五股區,五股公有零售市場,汐柚咖啡,5
10,新北市,五股區,五股公有零售市場,希望蔬果,5
11,新北市,淡水區,中正美食廣場,幸福咖啡,5
12,新北市,淡水區,中正美食廣場,拾叁號手作咖啡茶飲,5
13,新北市,淡水區,中正美食廣場,豬豬可麗餅 x 食堂,5
14,新北市,鶯歌區,鶯歌美食廣場,去哪咖啡,5
15,新北市,鶯歌區,鶯歌美食廣場,盛匠合食,5
16,新北市,永和區,樂華觀光夜市,永美雪花冰,4
17,新北市,永和區,樂華觀光夜市,樂華姐妹巨無霸豬血糕,4
18,新北市,永和區,樂華觀光夜市,御品香營養三明治,4
19,新北市,永和區,樂華觀光夜市,亞洲水果,4
20,新北市,永和區,樂華觀光夜市,阿泰鐵板燒,4
21,新北市,永和區,樂華觀光夜市,虎茶飲品,4
22,新北市,永和區,樂華觀光夜市,泰桑哩 Sonny Cha Thai,4
23,新北市,永和區,永安公有零售市場,三兄弟牧草雞,4
24,新北市,永和區,永安公有零售市場,永安包子店,4
25,新北市,永和區,永安公有零售市場,呂永發肉號,4
26,新北市,永和區,永安公有零售市場,楊伯伯牛肉專賣店,4
27,新北市,永和區,永安公有零售市場,源川水產,4
28,新北市,永和區,永安公有零售市場,楊伯伯牛肉專賣店,4
29,新北市,永和區,永安公有零售市場,源川水產,4
30,新北市,泰山區,泰山公有零售市場,玉福臨珠寶精品,4
31,新北市,泰山區,泰山公有零售市場,喜元坊,4
32,新北市,泰山區,泰山公有零售市場,家錚雜貨舖,4
33,新北市,泰山區,泰山公有零售市場,艾力飛魚坊,4
34,新北市,泰山區,泰山公有零售市場,阿發海產,4
35,新北市,泰山區,泰山公有零售市場,阿美清潔蔬菜,4
36,新北市,泰山區,泰山公有零售市場,快樂機器人有限公司,4
37,新北市,汐止區,金龍公有零售市場,山姆蔬蔬,4
38,新北市,汐止區,金龍公有零售市場,宜蘭龜山島,4
39,新北市,汐止區,林森公有攤販集中區,黎明咖啡,4
40,新北市,汐止區,林森公有攤販集中區,阿綾の水果,4
41,新北市,汐止區,林森公有攤販集中區,Rumi CAFE(Rumi 咖啡),4
42,新北市,林口區,林口公有零售市場,新東源肉鬆,4
43,新北市,林口區,林口公有零售市場,昱達火鍋料,4
44,新北市,林口區,林口公有零售市場,小鮮肉水餃,4
45,新北市,林口區,林口公有零售市場,文華燒雞鴨鋪,4
46,新北市,林口區,東勢公有零售市場,奶油飛吧手作坊,4
47,新北市,林口區,東勢公有零售市場,旺福蔬菜,4
48,新北市,汐止區,秀豐公有零售市場,錦發師日式蔬食,4
49,新北市,汐止區,秀豐公有零售市場,阿國生鮮蔬果,4
50,新北市,汐止區,秀豐公有零售市場,明珠海鮮,4
51,新北市,汐止區,秀豐公有零售市場,三多力,4
52,新北市,汐止區,秀豐公有零售市場,大雅哄炸雞,4
53,新北市,汐止區,秀豐公有零售市場,德記燒雞,4
54,新北市,五股區,五股公有零售市場,原木屋滷味坊,4
55,新北市,五股區,五股公有零售市場,一起咖啡,4
56,新北市,五股區,五股公有零售市場,蘿蔔田,4
57,新北市,五股區,五股公有零售市場,Cooking Mama 蔬菜市集,4
58,新北市,五股區,五股公有零售市場,MarBo 萬寶冷凍食品,4
59,新北市,五股區,五股公有零售市場,奕銘生活館,4
60,新北市,五股區,五股公有零售市場,珍好麥食品,4
61,新北市,五股區,五股公有零售市場,解懮小鋪,4
62,新北市,五股區,五股公有零售市場,東雞農園商行,4
63,新北市,五股區,五股公有零售市場,原豆讚,4
64,新北市,五股區,五股公有零售市場,源生煎包,4
65,新北市,五股區,五股公有零售市場,雞極年輕人,4
66,新北市,淡水區,中正美食廣場,なす手作潤餅捲,4
67,新北市,淡水區,中正美食廣場,尚品蔬食坊,4
68,新北市,淡水區,中正美食廣場,王記飲品,4
69,新北市,淡水區,中正美食廣場,盧記大腸紅麵線純手工粉圓,4
70,新北市,淡水區,中正美食廣場,出羽屋,4
71,新北市,淡水區,中正美食廣場,解懮食堂,4
72,新北市,三峽區,三峽公有零售市場,珈琲瑀,4
73,新北市,三重區,中央公有零售市場,ZEN IN˙好食,4
74,新北市,三重區,中央公有零售市場,藝起來串臉社會企業,4
75,新北市,三重區,光明公有零售市場,韌REN,4
76,新北市,三重區,光明公有零售市場,愛德家居,4
77,新北市,中和區,民享公有零售市場,布袋冷凍海鮮,4
78,新北市,中和區,民享公有零售市場,澎湖生鮮海產,4
79,新北市,中和區,枋寮公有零售市場,牟家青島水餃坊,4
80,新北市,中和區,枋寮公有零售市場,菜市仔coffee,4
81,新北市,中和區,枋寮公有零售市場,鄉村田園,4
82,新北市,中和區,枋寮公有零售市場,福濱水果行,4
83,新北市,鶯歌區,鶯歌美食廣場,天麗泰式異國料理坊,4
84,新北市,鶯歌區,鶯歌美食廣場,滋味嘉,4
85,新北市,鶯歌區,鶯歌美食廣場,微甜小賣所,4
86,新北市,八里區,下庄公有零售市場,張媽媽米苔目,3
87,新北市,三重區,中央公有零售市場,本韻寶,3
88,新北市,三重區,中央公有零售市場,禾記小吃,3
89,新北市,三重區,中央公有零售市場,安安肉舖,3
90,新北市,三重區,中央公有零售市場,佳美素食,3
91,新北市,三重區,中央公有零售市場,阿柱魚舖子,3
92,新北市,三重區,中央公有零售市場,阿雪の店,3
93,新北市,三重區,中央公有零售市場,阿博的雞肉,3
94,新北市,三重區,中央公有零售市場,阿蓮土雞店,3
95,新北市,三重區,中央公有零售市場,阿興自然滷,3
96,新北市,三重區,中央公有零售市場,峸老滷湘川滷味,3
97,新北市,三重區,中央公有零售市場,映竹豬肉舖,3
98,新北市,三重區,中央公有零售市場,桂村肉品舖,3
99,新北市,三重區,中央公有零售市場,麥格問仙草仙,3
100,新北市,三重區,中央公有零售市場,圓圓圈鬆餅,3
101,新北市,三重區,中央公有零售市場,新興號摃圓,3
102,新北市,三重區,中央公有零售市場,萬隆豬肉專賣店,3
