統計期,113年
國立故宮博物院遊客人次,1874994
市立美術館遊客人次,571315
國民革命忠烈祠遊客人次,548470
國立歷史博物館遊客人次,307359
國立臺灣科學教育館遊客人次,2980381
國立臺灣藝術教育館遊客人次,395709
市立動物園遊客人次,2624973
市立兒童新樂園遊客人次,1977642
市立天文科學教育館遊客人次,1156493
兒童交通博物館遊客人次,0
客家文化主題公園遊客人次,1435451
小巨蛋遊客人次,1136022
青年局場館遊客人次,439184
國立國父紀念館遊客人次,1286710
士林官邸公園遊客人次,2950477
林安泰古厝民俗文物館遊客人次,230213
順益臺灣原住民博物館遊客人次,0
陽明公園[陽明山]遊客人次,6436602
二二八紀念館遊客人次,0
國立中正紀念堂遊客人次,4040564
臺北自來水園區遊客人次,597640
龍山寺遊客人次,1247984
關渡自然公園遊客人次,98729
台北當代藝術館遊客人次,205933
北投溫泉博物館遊客人次,378560
林語堂故居遊客人次,0
圓山別莊遊客人次,26349
台北探索館遊客人次,244420
凱達格蘭文化館遊客人次,177833
台北101遊客人次,12748808
美麗華百樂園摩天輪遊客人次,164403
臺北市孔廟遊客人次,390131
梅庭遊客人次,122678
大龍峒保安宮遊客人次,1353563
台北霞海城隍廟遊客人次,0
臺北流行音樂中心遊客人次,572251
臺北表演藝術中心遊客人次,1803975
西門紅樓遊客人次,4631214
草山行館遊客人次,35550
寶藏巖遊客人次,445855
芝山文化生態綠園遊客人次,90675
西門町商圈遊客人次,28769832
松山文創園區遊客人次,9804846
華山1914文化創意產業園區遊客人次,4199213
台北植物園遊客人次,1567335
