city,district,households,male,female,total_population
臺北市, 中山區,103579,96414,114832,211246
臺北市, 中正區,65924,67679,76026,143705
臺北市, 信義區,90991,94008,106517,200525
臺北市, 內湖區,112189,125881,141026,266907
臺北市, 北投區,101473,111464,123454,234918
臺北市, 南港區,49690,53490,57660,111150
臺北市, 士林區,109484,122776,134190,256966
臺北市, 大同區,54610,55431,60818,116249
臺北市, 大安區,120890,129655,151697,281352
臺北市, 文山區,110852,119623,133274,252897
臺北市, 松山區,81267,86816,100105,186921
臺北市, 總計,1082334,1144212,1286674,2430886
臺北市, 萬華區,81385,80975,87075,168050
新北市,三峽區,49296,57144,58017,115161
新北市,三芝區,10791,11275,10716,21991
新北市,三重區,173553,186439,196336,382775
新北市,中和區,183467,193273,209919,403192
新北市,五股區,41468,47154,47758,94912
新北市,八里區,20030,21480,21941,43421
新北市,土城區,102543,118242,124521,242763
新北市,坪林區,2552,3286,2835,6121
新北市,平溪區,2099,2195,1687,3882
新北市,新店區,144081,145977,160396,306373
新北市,新莊區,177712,203574,217088,420662
新北市,板橋區,239323,265029,284395,549424
新北市,林口區,61400,67086,71723,138809
新北市,樹林區,71984,87614,89337,176951
新北市,永和區,95943,99302,111817,211119
新北市,汐止區,102751,102922,109914,212836
新北市,泰山區,32544,38319,39778,78097
新北市,淡水區,107381,99005,110196,209201
新北市,深坑區,10726,11713,11850,23563
新北市,烏來區,1914,2973,3148,6121
新北市,瑞芳區,16254,17881,17529,35410
新北市,石碇區,3315,3749,3126,6875
新北市,石門區,4246,5177,4740,9917
新北市,萬里區,7948,9954,10119,20073
新北市,蘆洲區,79045,95555,100412,195967
新北市,貢寮區,4242,5251,5120,10371
新北市,金山區,7676,9701,9950,19651
新北市,雙溪區,3512,4024,3358,7382
新北市,鶯歌區,37263,44564,44829,89393
