city,district,total_capacity,weak_friendly_count,flood_count,earthquake_count,landslide_count,tsunami_count
臺北市,中山區,42741,34,22,8,1,0
臺北市,中正區,16030,24,19,3,0,0
臺北市,信義區,15411,24,6,5,1,0
臺北市,內湖區,13218,36,17,4,2,0
臺北市,北投區,20854,31,21,10,0,0
臺北市,南港區,17982,19,5,4,0,0
臺北市,士林區,27399,37,18,9,2,0
臺北市,大同區,9536,24,18,5,0,0
臺北市,大安區,51676,31,17,3,0,0
臺北市,文山區,12393,51,21,4,0,0
臺北市,松山區,11060,29,23,5,0,0
臺北市,萬華區,50966,22,19,2,0,0
新北市,三峽區,10848,18,20,21,21,21
新北市,三芝區,5642,9,9,9,9,5
新北市,三重區,28577,29,24,34,34,34
新北市,中和區,31035,23,24,23,24,24
新北市,五股區,4983,12,13,7,12,13
新北市,八里區,6604,11,13,14,14,6
新北市,土城區,16281,21,22,21,27,17
新北市,坪林區,835,5,8,8,8,8
新北市,平溪區,2071,8,11,11,11,0
新北市,新店區,26501,6,35,35,35,9
新北市,新莊區,29020,26,27,32,37,36
新北市,板橋區,31518,19,30,39,24,21
新北市,林口區,9808,18,29,26,27,27
新北市,樹林區,17296,21,21,20,7,0
新北市,永和區,13245,11,14,17,17,17
新北市,汐止區,8761,15,21,26,25,25
新北市,泰山區,11906,2,17,15,15,17
新北市,淡水區,23675,32,36,37,31,29
新北市,深坑區,2444,8,7,8,8,8
新北市,烏來區,246,6,6,6,6,0
新北市,瑞芳區,8403,20,23,23,23,21
新北市,石碇區,1799,4,8,8,8,8
新北市,石門區,3049,6,9,9,13,3
新北市,萬里區,6400,5,10,16,15,9
新北市,蘆洲區,13478,8,16,17,21,18
新北市,貢寮區,4604,7,9,12,12,14
新北市,金山區,3916,3,16,13,16,13
新北市,雙溪區,4718,11,12,13,13,0
新北市,鶯歌區,13203,14,14,14,14,14
