"資料集id","資料集編號","資料集名稱","主題分類","資料集描述","主要欄位說明","API資料說明網址","請求方式","資料集提供機關(一級) ","資料集提供機關(二級) ","資料集提供機關","上架時間","計費方式","計費說明網址","資料集語系","資料授權","更新頻率","資料集提供機關聯絡人","資料集提供機關聯絡人電話","資料集提供機關聯絡人電子郵件","備註","資料最後更新時間","API請求方式","資料項目描述","資料存取網址"
"83f98c41-a8be-4a64-94ad-1aebb516c367","00030171","臺北市立圖書館查詢座位狀況API","教育","可查詢臺北市立圖書館總館、廣慈分館、西湖分館及稻香分館之自修區、電腦區等可登記座位狀態。","areaId(區域編號)、branchName(分館名稱)、floorName(樓層)、areaName(區域名稱)、freeCount(剩餘座位數),totalCount(總座位數)","","公開","教育局","圖書館","教育局圖書館","2023-04-07T00:00:00","免費","","中文","公開","即時(10分鐘/1分鐘)","陳躍升","02-27552823#2751","izsoak@email.tpml.edu.tw","","2026-03-19T09:02:07","GET","臺北市立圖書館查詢座位狀況API","https://seat.tpml.edu.tw/sm/service/getAllArea"
"2b58f15a-dec6-4b9d-91be-4eaccfda5ae7","00032049","輪行臺北設施資料","交通","傳入facility type，回傳輪行臺北設施資訊。","Contenttype: application/json (非多邊形圖資):設施類別、設施名稱、經度、緯度、起始點 A、結束點 B、寬度(公分)、坡度(%)
Contenttype: application/json (多邊形圖資-人行道、標線型人行道、行穿線): 設施類別、設施名稱、設施範圍座標、寬度(公分)、坡度(%)","https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvMzkwL3JlbGZpbGUvMC8xMjQ2ODkvNjcwOWE0ZjEtMjIwYS00ZWU1LWIwMTUtOWZjNjQ0NjU3MjJmLnBkZg==&n=6Lyq6KGM6Ie65YyX6Kit5pa9QVBJ6Kqq5piOLnBkZg==&icon=.pdf","https://wheelroute.gov.taipei/wheelrouteApi/api/facility/Get/{facilitytype}","交通局","","交通局","2023-12-28T00:00:00","免費","","中文","公開","不定時","李彥安","02-27208889#6907","pn9607@gov.taipei"," facility type 代號：1 斜坡道、3 路外停車場無障礙電梯、4 公園、7 捷運站出入口及公園無障礙出入口點位資料、8 友善店家、9 無障礙廁所、11 人行道、12 標線型人行道、13 行穿線、14 身障設施、15 路邊停車場、16 路邊停車格、18 公車站、20 捷運站。範例：https://wheelroute.gov.taipei/wheelrouteApi/api/facility/Get/7","2025-10-13T18:02:41","GET","設施資料取得","https://wheelroute.gov.taipei/wheelrouteApi/api/facility/Get/1"
"5b4b8ae1-9505-4a1a-8808-feea14e78130","00007285","臺北市河川水位即時資料","水利","臺北市河川水位即時資料API介接","stationNo(站碼)、stationName(站台名稱)、recTime(記錄時間)、levelOut(外水位值)","","","工務局","水利處","工務局水利處","2021-06-07T00:00:00","免費","","中文","公開","即時(10分鐘)","郭晉榕","02-27208889#2657","da_43291@gov.taipei","本處河川水位站即時資料原則持開放態度，惟水位站水位資料收集係自動傳送，偶有故障及通訊干擾等不穩定狀況，河川水位站即時資料僅供研究發展使用，若有使用本項資料發展其他服務或加值運用時，請務必提供本處相關成果，感謝您的配合。","2025-08-05T11:46:03","GET","河川水位即時資料API查詢","https://wic.heo.taipei/OpenData/API/Water/Get?stationNo=&loginId=river&dataKey=9E2648AA"
"659c3565-df41-4f80-915f-95e83071bdcd","00007283","臺北市社會住宅興建工程進度","工務","name	String	社會住宅名稱
distict	String	區域
address 	String	地址
lat	String	緯度
lng	String	經度
houseHolds	String	規劃戶數
persons	String	居住人口
floors	String	樓層數
progress	String	階段","社宅名稱；行政區；地址；經度；緯度；規劃戶數；居住人口；樓層；興建進度","https://hms.udd.gov.taipei/api/BigData/project","","都發局","","都發局","2020-06-29T00:00:00","免費","","中文","公開","每日","王雅君","02-27772186#2654","udd-airjoan@gov.taipei","","2025-03-18T08:08:54","GET","臺北市社會住宅興建進度資料","https://hms.udd.gov.taipei/api/BigData/project"
"2bbfb30e-de58-43bd-9cc9-b56e9a6b5369","00007273","臺北市水利處抽水站運轉狀態","水利","雨水抽水站即時運轉資料API介接","stn_id(抽水站ID)、stn_name(抽水站名稱)、lon(WGS84經度)、lat(WGS84緯度)、obs_time(資料時間)、inner_value(內水位)、outer_value(外水位)、pumb_num(抽水機總數)、door_num(閘門總數)、pumb_status(抽水機整合狀態[停止/運轉中])、door_status(閘門整合狀態[閘門開啟/閘門關閉/null])","","","工務局","水利處","工務局水利處","2019-05-29T00:00:00","免費","","中文","公開","即時(1小時/事件)","謝欣諺","02-27598889#8179","da_11015@gov.taipei","本處抽水站運轉狀態即時資料原則持開放態度，資料來源以抽水站自動化資訊收集，若有使用本項資料發展其他服務或加值運用時，請務必提供本處相關成果，感謝您的配合。","2024-10-11T10:02:35","POST","雨水抽水站即時運轉資料API介接可查詢抽水站即時資料包含內外水位值、抽水機狀態、數目及啟閉狀態","https://heopublic.gov.taipei/taipei-heo-api/openapi/pumb/latest"
"cd444840-bbfb-4b0a-bdfa-2a36d49b3794","00007284","臺北市水利處雨水下水道水位站即時資料","水利","臺北市水利處雨水下水道水位監測站，即時水位資料API介接","count(紀錄筆數)、stationNo(站碼)、stationName(站台名稱)、recTime(記錄時間)、levelOut(水位值)、voltage(電壓值)","","","工務局","水利處","工務局水利處","2020-11-04T00:00:00","免費","","中文","公開","即時(10分鐘/1分鐘)","陳駿立","02-27208889#8179","da_20334@gov.taipei","臺北市工務局水利處下水道即時資料原則持開放態度，惟下水道水位計受限下水道環境影響，偶有故障及不穩定狀況，水位資料僅供研究發展使用，若有使用本項資料發展其他服務或加值運用時，可適時提供本處相關成果，感謝您的配合。","2024-07-10T15:44:35","GET","下水道即時水位資料API查詢","https://wic.heo.taipei/OpenData/API/Sewer/Get?stationNo=&loginId=sewer01&dataKey=BD3E513A"
"9dca148b-7ee3-422e-a53e-db70ab5b236a","00031329","臺北市水利處CCTV即時影像","水利","臺北市水情監測用CCTV即時影像","count(記錄筆數)、stationNo(站碼)、stationName(站台名稱)、url(影像站靜態網址)","","GET","工務局","水利處","工務局水利處","2023-05-30T00:00:00","免費","","中文","公開","不定時","陳駿立","02-27208889#8179","da_20334@gov.taipei","","2024-07-10T15:43:03","GET","水利處CCTV即時影像API查詢","https://wic.heo.taipei/OpenData/API/Image/Get?stationNo=&loginId=cctv&dataKey=03BA6786"
"ef1813fb-6685-4841-a5c0-6e2acb2c0650","00007272","臺北市政府消防局EOC開放資料專區","消防","於臺北市災害應變中心二級(含)以上開設時，提供最新避難收容所開設統計資料、災害專案的災情資料、翡翠水庫資料、撤離勸離人數統計資料、會報指示決策資料及受損情形資料。","提供最新避難收容所開設統計資料、災害專案的災情資料、翡翠水庫資料、撤離勸離人數統計資料、會報指示決策資料及受損情形資料","","","消防局","","消防局","2019-05-20T00:00:00","免費","","中文","公開","每30分鐘","宋明修","02-87863119#8611","ae8683@gov.taipei","","2024-04-09T15:46:03","GET,GET,GET,GET,GET,GET","最新的會報指示決策資料,最新受損情形資料,最新災害專案的災情資料,最新翡翠水庫資料,最新撤離勸離人數統計資料,最新避難收容所開設統計資料","https://tfd.blob.core.windows.net/blobfs/data/GetDisasterDecisionSummary.json,https://tfd.blob.core.windows.net/blobfs/data/GetDamageCaseData.json,https://tfd.blob.core.windows.net/blobfs/data/GetDisasterSummary.json,https://tfd.blob.core.windows.net/blobfs/data/GetFTDDamData.json,https://tfd.blob.core.windows.net/blobfs/data/GetLeaveHouseData.json,https://tfd.blob.core.windows.net/blobfs/data/GetAccommodatePlaceData.json"
"6f03a0b8-7b98-4eea-8bb9-ba6bfcdc2b8b","00007278","臺北市水利處雨量站即時資料","水利","臺北市雨量站，雨量即時資料API介接，提供各測站目前日累積雨量","count(記錄筆數)、stationNo(站碼)、stationName(站台名稱)、recTime(記錄時間)、rain(雨量值)","","","工務局","水利處","工務局水利處","2019-09-09T00:00:00","免費","","中文","公開","即時(10分鐘/1分鐘)","陳駿立","02-27208889#8179","da_20334@gov.taipei","","2024-01-23T11:26:57","GET","即時雨量API查詢","https://wic.heo.taipei/OpenData/API/Rain/Get?stationNo=&loginId=open_rain&dataKey=85452C1D"
"cc3f7e86-77ec-4bd3-a09f-05b175e192f5","00031326","臺北市疏散門即時監測","水利","臺北市疏散門資料API介接，提供即時監測啟閉情形","count(記錄筆數)、stationNo(站碼)、stationName(站台名稱)、GateNum(閘門數目)、recTime(記錄時間)、pwxx(第xx號電源狀態)、foxx(第xx號閘門狀態開)、fcxx(第xx號閘門狀態關)、fltxx(第xx號閘門狀態故障)","","GET","工務局","水利處","工務局水利處","2023-05-30T00:00:00","免費","","中文","公開","即時(10分鐘/1分鐘)","何勝益","02-27208889#2660","da_k6186504@gov.taipei","","2024-01-18T15:20:22","GET","臺北市疏散門即時監測API查詢","https://wic.heo.taipei/OpenData/API/Evacuate/Get?stationNo=&loginId=watergate&dataKey=44D76DA6"
