"識別碼","資料集名稱","資料集網址","資料集提供機關名稱","更新頻率","主題分類","數發部資料集服務分類","提供格式","資料集語系","資料說明"
"A676AF8E-D143-4D7A-95FE-99BB8DB5BCA0","新北市路邊收費停車場停車欠費查詢","https://data.ntpc.gov.tw/datasets/a676af8e-d143-4d7a-95fe-99bb8db5bca0","新北市政府交通局/停車營運科/停車營運科第三股","每日","交通","交通及通訊","JSON、CSV、XML","中文","提供新北市路邊收費停車場1年內停車欠費查詢。"
"AAA79697-4F87-4898-AF8B-E0F1BE038BCB","新北市112年公告土地現值","https://data.ntpc.gov.tw/datasets/aaa79697-4f87-4898-af8b-e0f1be038bcb","新北市政府地政局/地政資料科","不更新","地政","購屋及遷徙","JSON、CSV、XML","中文","為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。由於總資料超過10萬列，下載完之檔案請以記事本開啟，避免檔案遺失。"
"826870EF-4EA5-48BF-915B-E0A33158CF06"," 新北市114年公告土地現值","https://data.ntpc.gov.tw/datasets/826870ef-4ea5-48bf-915b-e0a33158cf06","新北市政府地政局/地政資料科","不更新","地政","購屋及遷徙","JSON、CSV、XML","中文","為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。由於總資料超過10萬列，下載完之檔案請以記事本開啟，避免檔案遺失。"
"F0DBA44B-5EB5-4F40-953E-6908E335FFC9","新北市115年公告土地現值及公告地價","https://data.ntpc.gov.tw/datasets/f0dba44b-5eb5-4f40-953e-6908e335ffc9","新北市政府地政局/地政資料科","不更新","地政","購屋及遷徙","JSON、CSV、XML","中文","為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值及公告地價資料，請多加利用下載。由於總資料超過100萬列，下載完之檔案請以記事本開啟，避免檔案遺失。"
"A8F022DB-7D46-4B1F-81B2-8B31441AD262","新北市113年公告土地現值及公告地價","https://data.ntpc.gov.tw/datasets/a8f022db-7d46-4b1f-81b2-8b31441ad262","新北市政府地政局/地政資料科","不更新","地政","購屋及遷徙","JSON、CSV、XML","中文","為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，請多加利用下載。由於總資料超過10萬列，下載完之檔案請以記事本開啟，避免檔案遺失。"
"1DE61C23-A217-4DFB-B46F-2760BEE6FE3F","新北市99年公告土地現值及公告地價","https://data.ntpc.gov.tw/datasets/1de61c23-a217-4dfb-b46f-2760bee6fe3f","新北市政府地政局/地政資料科","不更新","地政","購屋及遷徙","JSON、CSV、XML","中文","為推動不動產買賣資訊透明化，建立便利親和的網路查詢平台，新北市政府地政局開放公告土地現值資料給予民眾，可多多利用下載。公告土地現值資料量較大，請參考資料使用說明以及常見問答後再行取得資料。"
"EAC2D554-4B6A-4FC1-9653-4EC337227C13","新北市地政服務據點","https://data.ntpc.gov.tw/datasets/eac2d554-4b6a-4fc1-9653-4ec337227c13","新北市政府地政局/地政資料科","每年","地政","購屋及遷徙","JSON、CSV、XML","中文","本項資料提供新北市各地政服務據點地址、服務電話、緯度、經度及網址等資訊。"
"459B08AB-AEBB-49FD-9D1F-F50ECF8ACAD6","新店地政事務所新舊地號對照表","https://data.ntpc.gov.tw/datasets/459b08ab-aebb-49fd-9d1f-f50ecf8acad6","新北市政府地政局/地政資料科","不更新","地政","購屋及遷徙","JSON、CSV、XML","中文","本資料集為本市新店地政事務所轄區之土地新舊地號對照表(資料更新截至114年12月31日)"
"68B233FD-74DB-43B3-8ADB-A6D50607C6DE","板橋地政事務所新舊建號對照表","https://data.ntpc.gov.tw/datasets/68b233fd-74db-43b3-8adb-a6d50607c6de","新北市政府地政局/地政資料科","每年","地政","購屋及遷徙","JSON、CSV、XML","中文","本資料集為本市板橋地政事務所轄區之土地新舊建號對照表(資料更新截至114年12月31日)"
"95547EBD-F584-4EF4-8720-46D5FC89FC51","新店地政事務所新舊建號對照表","https://data.ntpc.gov.tw/datasets/95547ebd-f584-4ef4-8720-46d5fc89fc51","新北市政府地政局/地政資料科","每年","地政","公共資訊","JSON、CSV、XML","中文","本資料集為本市新店地政事務所轄區之土地新舊建號對照表(資料更新截至114年12月31日)"
