#,建築物名稱,建築物概要,認可版本,認可等級,rank,有效期間,valid,認可類別,設計人,行政區,ditrict,地號,建築物使用類別,longtitude,latitude
1,華彥新北市五股成功段新建工程,地下3層，地上14層鋼筋混凝土構造辦公廳及住宿類建築,2015年版EEWH-RS,銀級,3,2031年3月16日,1,標示,謝佑祥建築師事務所,新北市,五股區,新北市五股區成功段764地號辦公廳及住宿類建築,住宿類建築,121.444407,25.092867
2,淡水區崁頂市民活動中心暨公共化幼兒園新建工程,地上3層鋼筋混凝土構造空調型(文教及照護分區)建築,2019年版EEWH-BC(M),合格級,1,2031年2月25日,1,標示,吳坤霖建築師事務所,新北市,淡水區,新北市淡水區淡海段47地號空調型(文教及照護分區)建築,辦公廳類建築,121.428881,25.198783
3,聿瑞林口麗林547集合住宅新建工程,地下2層，地上12層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2031年2月11日,1,標示,廖錦盈建築師事務所,新北市,林口區,新北市林口區麗林段547地號等5筆住宿類建築,住宿類建築,121.378817,25.091171
4,新北市新店區中央段781、796-2地號新建工程,地下1層，地上7層鋼筋混凝土構造住宿類建築,2019年版EEWH-RS,銀級,3,2031年2月11日,1,標示,周英哲建築師事務所,新北市,新店區,新北市新店區中央段781地號等2筆住宿類建築,住宿類建築,121.525116,24.977146
5,江陵建設股份有限公司新店區斯馨段(二期)住宅新建工程,地下5層，地上24層鋼骨構造辦公廳及住宿類建築,2015年版EEWH-RS,黃金級,4,2031年2月8日,1,標示,大哲聯合建築師事務所,新北市,新店區,新北市新店區斯馨段25地號辦公廳及住宿類建築,住宿類建築,121.529051,24.980228
6,國泰人壽中和大樓,地下1層，地上6層鋼筋混凝土造空調型(辦公分區)建築,2022年版EEWH-EB,鑽石級,5,2031年2月4日,1,標示,林序予建築師事務所,新北市,中和區,新北市中和區錦和段0101地號空調型(辦公分區)建築,辦公廳類建築,121.494951,24.99355
7,忠莊營區射擊訓練靶場興建統包工程,地下1層，地上1層鋼筋混凝土、鋼骨鋼筋混凝土及鋼骨造大型空間類建築,2023年版EEWH-BC,合格級,1,2031年2月3日,1,標示,張文滋建築師事務所,新北市,淡水區,淡水區望高樓段785、785-1、786、787、788、789、790及791地號等8筆土地大型空間類建築,大型空間類建築,121.412936,25.185838
8,國家檔案館新建工程,地下2層，地上10層鋼筋混凝土構造辦公廳及大型空間類建築,2015年版EEWH-BC,鑽石級,5,2031年2月2日,1,標示,九典聯合建築師事務所,新北市,林口區,新北市林口區國宅段0020-0000地號辦公廳及大型空間類建築,辦公廳類建築,121.374376,25.07302
9,林口區行政段228地號等1筆土地中正路郵局新建工程,地下1層，地上5層鋼筋混凝土構造辦公廳類建築,2015年版EEWH-BC,合格級,1,2031年1月29日,1,標示,周弘誠建築師事務所,新北市,林口區,新北市林口區行政段228地號辦公廳類建築,辦公廳類建築,121.393718,25.077079
10,新北市新莊區副都心段一小段21地號綜合大樓新建工程,地下5層，地上23層鋼筋混凝土構造辦公廳、旅館餐飲及住宿類建築,2015年版EEWH-RS,黃金級,4,2031年1月29日,1,標示,陳廷杰建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段21地號辦公廳、旅館餐飲及住宿類建築,住宿類建築,121.452871,25.059322
11,馥御建設股份有限公司板橋區中山段247地號等4筆住商大樓新建工程,地下5層，地上46層鋼骨構造辦公廳、百貨商場、旅館餐飲及住宿類建築,2009年版,黃金級,4,2031年1月28日,1,標示,三門聯合建築師事務所,新北市,板橋區,新北市板橋區中山段247地號等4筆辦公廳、百貨商場、旅館餐飲及住宿類建築,住宿類建築,121.471174,25.013784
12,永雄建設新北市八里區中山段集合住宅新建工程,地下3層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,黃金級,4,2031年1月26日,1,標示,台北國際聯合建築師事務所,新北市,八里區,新北市八里區中山段549地號等2筆住宿類建築,住宿類建築,121.410387,25.158323
13,遇見,地下4層，地上15層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2031年1月21日,1,標示,廖錦盈建築師事務所,新北市,林口區,新北市林口區力行段598地號住宿類建築,住宿類建築,121.372228,25.079816
14,南亞科技5A廠研發大樓新建專案,地下1層，地上6層鋼筋混凝土構造空調型(辦公分區)及其他類建築,2019年版EEWH-BC(M),銀級,3,2031年1月21日,1,標示,宗邁建築師事務所,新北市,泰山區,新北市泰山區南林段0208地號空調型(辦公分區)及其他類建築,辦公廳類建築,121.415557,25.047947
15,新北市三重區興穀國民小學操場興建地下停車場統包工程,地下2層，地上4層鋼筋混凝土構造學校及其他類建築,2015年版EEWH-BC,合格級,1,2031年1月21日,1,標示,李宜忠建築師事務所 郭恆成建築師事務所,新北市,三重區,新北市三重區五谷王段305地號等3筆學校及其他類建築,學校類建築,121.475347,25.049818
17,方圓開發建設新莊區雙鳳段店鋪集合住宅新建工程,地下4層，地上14層鋼筋混凝土構造辦公廳及住宿類建築,2015年版EEWH-RS,銀級,3,2031年1月6日,1,標示,蔡仁捷建築師事務所,新北市,新莊區,新北市新莊區雙鳳段194地號等8筆辦公廳及住宿類建築,住宿類建築,121.414197,25.023731
