stat_label,roc_year,road_green_m2,street_trees,park_trees,neighborhood_park_trees,flower_pots,shrub_count,streetlight_units,alley_count,demo_farm_m2
70年,70,0,81780,0,0,0,0,0,0,0
71年,71,0,86011,0,0,0,0,0,0,0
72年,72,0,86404,0,0,0,0,0,0,0
73年,73,0,107257,0,0,0,0,0,0,0
74年,74,0,108881,0,0,0,0,0,0,0
75年,75,0,125468,0,0,0,0,0,0,0
76年,76,0,98860,0,0,0,0,0,0,0
77年,77,0,101017,0,0,0,0,0,0,0
78年,78,0,102845,0,0,0,0,0,0,0
79年,79,0,105004,0,0,0,0,0,0,0
80年,80,0,109478,0,0,0,0,0,0,0
81年,81,0,107712,0,0,0,0,0,0,0
82年,82,0,109383,0,0,0,0,0,0,0
83年,83,0,113782,0,0,0,0,0,0,0
84年,84,0,114154,0,0,0,0,0,0,0
85年,85,0,113517,0,0,0,0,0,0,0
86年,86,0,114590,0,0,0,0,0,0,0
87年,87,0,113939,0,0,0,0,23284,0,0
88年,88,0,113458,0,0,0,0,53990,0,0
89年,89,14727,113702,0,0,1234710,123444,90680,25,0
90年,90,37893,113849,0,0,1195449,79848,133954,50,0
91年,91,60181,111716,0,0,1303041,63921,173568,117,0
92年,92,79870,109765,0,0,1284031,42300,200694,129,0
93年,93,104568,104875,0,0,1231473,55592,233565,143,0
94年,94,129548,83758,0,0,1091825,30374,255995,170,0
95年,95,157683,88423,0,0,821116,19160,284429,233,0
96年,96,212097,87907,0,0,787335,19818,322259,261,0
97年,97,316443,87948,0,0,720186,31204,348902,298,0
98年,98,384587,87553,0,0,760931,25052,397061,337,0
99年,99,485411,88282,82910,0,733381,271196,421565,461,0
100年,100,602721,88478,82243,0,733913,228990,447178,689,0
101年,101,722721,90116,84418,0,773476,375300,473860,868,0
102年,102,855112,90371,82707,0,734052,412197,500525,1054,0
103年,103,998333,90129,83550,0,701467,423059,512597,1242,0
104年,104,1201792,88711,82383,0,609631,414631,522658,1354,0
105年,105,1398008,88313,106385,0,593860,371201,535986,1468,0
106年,106,1589676,87946,83747,24485,518801,299760,546238,1644,4515
107年,107,1807902,88718,83981,24402,482598,220487,547432,1807,5349
108年,108,2039822,88116,83320,23996,417235,94531,547432,1926,5349
109年,109,2280051,87754,84460,23849,366935,45843,547432,2120,4931
110年,110,2530923,87790,109315,0,363476,53570,547432,2263,5831
111年,111,2782495,89158,111093,0,582720,176729,547432,2456,4420
112年,112,3039665,92447,112491,0,602181,343796,547432,2606,4822
113年,113,3302391,93435,111705,0,541326,259547,547432,2683,4082
114年,114,3563292,92196,88645,0,484801,113908,547432,2812,2503
