"統計期","道路綠地綠美化面積[平方公尺]","行道樹[株]","公園內喬木數[株]","鄰里公園內喬木數[株]","草花培育數[盆]","灌木培育數[株]","樹木修剪數[株]","路燈器具清洗汰換數[盞]","後巷美化累計巷數[條]","公有田園城市示範園圃/建置數[處]","公有田園城市示範園圃/面積[平方公尺]"
"70年",0,81780,0,0,0,0,0,0,0,0,0
"71年",0,86011,0,0,0,0,0,0,0,0,0
"72年",0,86404,0,0,0,0,0,0,0,0,0
"73年",0,107257,0,0,0,0,0,0,0,0,0
"74年",0,108881,0,0,0,0,0,0,0,0,0
"75年",0,125468,0,0,0,0,0,0,0,0,0
"76年",0,98860,0,0,0,0,0,0,0,0,0
"77年",0,101017,0,0,0,0,0,0,0,0,0
"78年",0,102845,0,0,0,0,0,0,0,0,0
"79年",0,105004,0,0,0,0,0,0,0,0,0
"80年",0,109478,0,0,0,0,0,0,0,0,0
"81年",0,107712,0,0,0,0,0,0,0,0,0
"82年",0,109383,0,0,0,0,0,0,0,0,0
"83年",0,113782,0,0,0,0,0,0,0,0,0
"84年",0,114154,0,0,0,0,0,0,0,0,0
"85年",0,113517,0,0,0,0,0,0,0,0,0
"86年",0,114590,0,0,0,0,0,0,0,0,0
"87年",0,113939,0,0,0,0,0,23284,0,0,0
"88年",0,113458,0,0,0,0,0,30706,0,0,0
"89年",14727,113702,0,0,1234710,123444,0,36690,25,0,0
"90年",23166,113849,0,0,1195449,79848,0,43274,50,0,0
"91年",22288,111716,0,0,1303041,63921,0,39614,117,0,0
"92年",19689,109765,0,0,1284031,42300,0,27126,129,0,0
"93年",24698,104875,0,0,1231473,55592,0,32871,143,0,0
"94年",24980,83758,0,0,1091825,30374,0,22430,170,0,0
"95年",28135,88423,0,0,821116,19160,0,28434,233,0,0
"96年",54414,87907,0,0,787335,19818,40322,37830,261,0,0
"97年",104346,87948,0,0,720186,31204,38628,26643,298,0,0
"98年",68144,87553,0,0,760931,25052,35467,48159,337,0,0
"99年",100824,88282,82910,0,733381,271196,34305,24504,461,0,0
"100年",117310,88478,82243,0,733913,228990,34197,25613,689,0,0
"101年",120000,90116,84418,0,773476,375300,22065,26682,868,0,0
"102年",132391,90371,82707,0,734052,412197,30105,26665,1054,0,0
"103年",143221,90129,83550,0,701467,423059,35102,12072,1242,0,0
"104年",203459,88711,82383,0,609631,414631,32721,10061,1354,0,0
"105年",196216,88313,106385,0,593860,371201,37658,13328,1468,0,0
"106年",191668,87946,83747,24485,518801,299760,52276,10252,1644,12,4515
"107年",218226,88718,83981,24402,482598,220487,45709,1194,1807,11,5349
"108年",231920,88116,83320,23996,417235,94531,51698,0,1926,11,5349
"109年",240229,87754,84460,23849,366935,45843,45748,0,2120,12,4931
"110年",250872,87790,109315,0,363476,53570,51616,0,2263,14,5831
"111年",251572,89158,111093,0,582720,176729,78096,0,2456,13,4420
"112年",257170,92447,112491,0,602181,343796,87564,0,2606,12,4822
"113年",262726,93435,111705,0,541326,259547,87486,0,2683,6,4082
"114年",260901,92196,88645,0,484801,113908,99802,0,2812,5,2503

