編號,設施地點（戶外或室內）,名稱,行政區,地址,經度,緯度,市話,分機,手機,其他聯絡方式,開放時間,電風扇,冷氣,廁所,座位,飲水設施（例如：飲水機；直飲台；奉茶點等）,無障礙座位,其他特色及亮點,備註
1,戶外,線形公園7號(士林),士林區,基隆河北-捷運劍潭站南段(界線:基隆河-通河街),121.5234196,25.07922114,(02)28812912,,,,24小時,N,N,N,Y,N,N,,高架橋下
2,戶外,線形公園8號(士林),士林區,基隆河北-捷運劍潭站南段(界線:通河街-基河路),121.5243412,25.08190178,(02)28812912,,,,24小時,N,N,N,Y,N,N,,高架橋下
3,戶外,線形公園9號(士林),士林區,"捷運劍潭站北-士林站南段
(界線:文林、基河路口-中山北路5段461巷)",121.5271819,25.0884807,(02)28812912,,,,24小時,N,N,N,Y,N,N,,高架橋下
4,戶外,線形公園10號(士林),士林區,捷運士林站北-雙溪南段(界線:中正路-前街),121.5252553,25.09620154,(02)28812912,,,,24小時,N,N,N,Y,N,N,,高架橋下
5,戶外,線形公園11號(士林),士林區,捷運士林站北-雙溪南段(界線:前街-後街),121.5246077,25.09779632,(02)28812912,,,,24小時,N,N,N,Y,N,N,,高架橋下，設有兒童遊戲場
6,戶外,線形公園12號(士林),士林區,捷運士林站北-雙溪南段(界線:後街-雙溪),121.5243106,25.09836856,(02)28812912,,,,24小時,N,N,N,Y,N,N,,高架橋下
7,戶外,線形公園14號(士林),士林區,捷運芝山站北-磺溪南段(界線:德行西路-磺溪),121.5217615,25.10550122,(02)28812912,,,,24小時,N,N,N,Y,N,N,,高架橋下
8,戶外,線形公園-劍潭-遊戲場,士林區,通河街2巷捷運高架下方,121.523403,25.0792,(02)28812912,,,,24小時,N,N,N,Y,N,N,,高架橋下
9,戶外,1號天母公園+擴建區,士林區,中山北路七段141巷旁,121.530518,25.1259089,(02)28832130,,,,24小時,N,N,Y,Y,Y,N,,直飲台
10,戶外,天和公園,士林區,天母東路69巷前,121.533989,25.11981964,(02)28832130,,,,24小時,N,N,N,Y,Y,N,,直飲台
11,戶外,東和公園,士林區,中山北路七段114巷旁,121.5336861,25.1226002,(02)28832130,,,,24小時,N,N,Y,Y,N,N,,
12,戶外,芝山公園,士林區,至誠路一段與雨聲街交叉口,121.5317764,25.10236931,(02)28832130,,,,24小時,Y,Y,Y,Y,Y,N,,直飲台
13,戶外,美崙公園,士林區,美崙街152巷,121.5172195,25.09737968,(02)28832130,,,,24小時,N,N,Y,Y,Y,N,,直飲台
14,戶外,蘭雅公園,士林區,忠誠路二段24號旁,121.529919,25.109744,(02)28832130,,,,24小時,N,N,N,Y,Y,N,,直飲台
15,戶外,衛理公園,士林區,至善路二段332巷旁,121.5532495,25.10219156,(02)28812912,,,,24小時,N,N,N,Y,N,N,,
16,戶外,衛理公園-遊戲場,士林區,至善路二段332巷旁,121.5532495,25.10219156,(02)28812912,,,,24小時,N,N,N,Y,N,N,,
17,戶外,山仔后公園,士林區,凱旋路及光華路口,121.5456413,25.13747488,(02)28616361,,,,24小時,N,N,Y,Y,Y,N,,直飲台
18,戶外,住六公1公園,士林區,永公路245巷34弄西側,121.559454,25.1371192,(02)28616361,,,,24小時,N,N,N,Y,N,N,,
19,戶外,住六公2公園,士林區,中庸一路205巷底,121.558659,25.137697,(02)28616361,,,,24小時,N,N,N,Y,N,N,,
20,戶外,花卉試驗中心,士林區,仰德大道4段175巷32號,121.5440474,25.13520517,(02)28616361,,,,08:00~17:00,N,N,Y,Y,Y,N,,直飲台
