StationName,StationId,ObsTime,Lat,Lon,District,City,DistrictCode,CityCode,UVIndex
基隆,466940,2025-05-31T19:00:00+08:00,25.133314,121.740475,仁愛區,基隆市,10017040,10017,0
淡水,466900,2025-05-31T19:00:00+08:00,25.164889,121.448906,淡水區,新北市,65000100,65000,0
新北,466881,2025-05-31T19:00:00+08:00,24.959207,121.525196,新店區,新北市,65000060,65000,0
陽明山,466930,2025-05-31T19:00:00+08:00,25.162078,121.544547,北投區,臺北市,63000120,63000,0
鞍部,466910,2025-05-31T19:00:00+08:00,25.182586,121.529731,北投區,臺北市,63000120,63000,0
彭佳嶼,466950,2025-05-31T19:00:00+08:00,25.627975,122.079744,中正區,基隆市,10017010,10017,0
臺北,466920,2025-05-31T19:00:00+08:00,25.037658,121.514853,中正區,臺北市,63000050,63000,0
新屋,467050,2025-05-31T19:00:00+08:00,25.006725,121.047492,新屋區,桃園市,68000110,68000,0
大安森林,CAAH60,2025-05-31T19:00:00+08:00,25.029550,121.536280,大安區,臺北市,63000030,63000,-99
拉拉山,CAC040,2025-05-31T19:00:00+08:00,24.699317,121.427133,復興區,桃園市,68000130,68000,-99
中央大學,C2C410,2025-05-31T19:00:00+08:00,24.967652,121.185165,中壢區,桃園市,68000020,68000,-99
文化大學,A0A460,2025-05-31T19:00:00+08:00,25.136050,121.539870,士林區,臺北市,63000110,63000,-99
臺灣大學,A0A010,2025-05-31T19:00:00+08:00,25.014278,121.539416,大安區,臺北市,63000030,63000,-99
桃園農改,72C440,2025-05-31T19:00:00+08:00,24.950944,121.030583,新屋區,桃園市,68000110,68000,-99
茶改場,82C160,2025-05-31T19:00:00+08:00,24.908472,121.185333,楊梅區,桃園市,68000040,68000,-99
農工中心,A2C560,2025-05-31T19:00:00+08:00,24.985917,121.239833,中壢區,桃園市,68000020,68000,-99
文山茶改,82A750,2025-05-31T19:00:00+08:00,24.955778,121.631222,石碇區,新北市,65000190,65000,-99
桃改臺北,72AI40,2025-05-31T19:00:00+08:00,24.944503,121.386972,樹林區,新北市,65000070,65000,-99
八德合作社,V2C250,2025-05-31T19:00:00+08:00,24.937750,121.266389,八德區,桃園市,68000080,68000,-99
八德蔬果,V2C260,2025-05-31T19:00:00+08:00,24.978508,121.281819,八德區,桃園市,68000080,68000,-99
台農院關渡站,G2AI50,2025-05-31T19:00:00+08:00,25.115750,121.492000,北投區,臺北市,63000120,63000,-99
富貴角,C2A920,2025-05-31T19:00:00+08:00,25.263783,121.565258,石門區,新北市,65000220,65000,-99
福隆,C2A880,2025-05-31T19:00:00+08:00,25.017842,121.942083,貢寮區,新北市,65000260,65000,-99
四堵,C2A540,2025-05-31T19:00:00+08:00,24.892600,121.745736,坪林區,新北市,65000200,65000,-99
福山,C2A560,2025-05-31T19:00:00+08:00,24.776203,121.502811,烏來區,新北市,65000290,65000,-99
瑞芳,C2A660,2025-05-31T19:00:00+08:00,25.113169,121.801147,瑞芳區,新北市,65000120,65000,-99
火燒寮,C2A650,2025-05-31T19:00:00+08:00,25.002719,121.742892,平溪區,新北市,65000240,65000,-99
國三甲005K,CAA090,2025-05-31T19:00:00+08:00,25.001940,121.597500,文山區,臺北市,63000080,63000,-99
國二E009K,CAC020,2025-05-31T19:00:00+08:00,25.018244,121.273697,桃園區,桃園市,68000010,68000,-99
國三N002K,CAB050,2025-05-31T19:00:00+08:00,25.145830,121.721700,中山區,基隆市,10017050,10017,-99
國三S004K,CAB030,2025-05-31T19:00:00+08:00,25.114440,121.688600,七堵區,基隆市,10017020,10017,-99
國三S007K,CAB040,2025-05-31T19:00:00+08:00,25.096940,121.667800,七堵區,基隆市,10017020,10017,-99
國三S010K,CAA030,2025-05-31T19:00:00+08:00,25.080000,121.647500,汐止區,新北市,65000110,65000,-99
國三S016K,CAA040,2025-05-31T19:00:00+08:00,25.033060,121.615800,南港區,臺北市,63000090,63000,-99
國三S037K,CAA050,2025-05-31T19:00:00+08:00,24.982361,121.471042,土城區,新北市,65000130,65000,-99
國三S042K,CAA060,2025-05-31T19:00:00+08:00,24.960000,121.430600,土城區,新北市,65000130,65000,-99
國三N046K,CAA070,2025-05-31T19:00:00+08:00,24.950830,121.395800,樹林區,新北市,65000070,65000,-99
國一N039K,CAA990,2025-05-31T19:00:00+08:00,25.064433,121.381972,泰山區,新北市,65000160,65000,-99
國一高架N063K,CAC760,2025-05-31T19:00:00+08:00,24.950281,121.196314,平鎮區,桃園市,68000100,68000,-99
國三N072K,CAC770,2025-05-31T19:00:00+08:00,24.836391,121.199371,龍潭區,桃園市,68000090,68000,-99
國五S005K,CAAD60,2025-05-31T19:00:00+08:00,24.996414,121.651931,石碇區,新北市,65000190,65000,-99
國五S006K,CAAD70,2025-05-31T19:00:00+08:00,24.989964,121.656972,石碇區,新北市,65000190,65000,-99
國五N008K,CAAD80,2025-05-31T19:00:00+08:00,24.982411,121.668089,石碇區,新北市,65000190,65000,-99
國五N013K,CAAD90,2025-05-31T19:00:00+08:00,24.947603,121.705508,坪林區,新北市,65000200,65000,-99
國三S054K,CAA080,2025-05-31T19:00:00+08:00,24.939170,121.323900,鶯歌區,新北市,65000080,65000,-99
國三N063K,CAC030,2025-05-31T19:00:00+08:00,24.889514,121.263600,大溪區,桃園市,68000030,68000,-99
國一S001K,CAB010,2025-05-31T19:00:00+08:00,25.115830,121.728600,安樂區,基隆市,10017060,10017,-99
國一S006K,CAB020,2025-05-31T19:00:00+08:00,25.086940,121.686900,七堵區,基隆市,10017020,10017,-99
國一N013K,CAA010,2025-05-31T19:00:00+08:00,25.066739,121.628153,汐止區,新北市,65000110,65000,-99
國一S026K,CAA020,2025-05-31T19:00:00+08:00,25.076390,121.496400,三重區,新北市,65000020,65000,-99
國一S072K,CAC010,2025-05-31T19:00:00+08:00,24.895830,121.134200,楊梅區,桃園市,68000040,68000,-99
西濱S023K,CAC050,2025-05-31T19:00:00+08:00,25.116490,121.275510,蘆竹區,桃園市,68000050,68000,-99
西濱S032K,CAC060,2025-05-31T19:00:00+08:00,25.091966,121.192505,大園區,桃園市,68000060,68000,-99
