StationName,StationId,ObsTime,Lat,Lon,District,City,DistrictCode,CityCode,UVIndex
基隆,466940,2025-05-31T19:00:00+08:00,25.133314,121.740475,仁愛區,基隆市,10017040,10017,4
淡水,466900,2025-05-31T19:00:00+08:00,25.164889,121.448906,淡水區,新北市,65000100,65000,10
新北,466881,2025-05-31T19:00:00+08:00,24.959207,121.525196,新店區,新北市,65000060,65000,4
陽明山,466930,2025-05-31T19:00:00+08:00,25.162078,121.544547,北投區,臺北市,63000120,63000,6
鞍部,466910,2025-05-31T19:00:00+08:00,25.182586,121.529731,北投區,臺北市,63000120,63000,6
彭佳嶼,466950,2025-05-31T19:00:00+08:00,25.627975,122.079744,中正區,基隆市,10017010,10017,11
臺北,466920,2025-05-31T19:00:00+08:00,25.037658,121.514853,中正區,臺北市,63000050,63000,11
新屋,467050,2025-05-31T19:00:00+08:00,25.006725,121.047492,新屋區,桃園市,68000110,68000,2
大安森林,CAAH60,2025-05-31T19:00:00+08:00,25.02955,121.53628,大安區,臺北市,63000030,63000,2
拉拉山,CAC040,2025-05-31T19:00:00+08:00,24.699317,121.427133,復興區,桃園市,68000130,68000,7
中央大學,C2C410,2025-05-31T19:00:00+08:00,24.967652,121.185165,中壢區,桃園市,68000020,68000,3
文化大學,A0A460,2025-05-31T19:00:00+08:00,25.13605,121.53987,士林區,臺北市,63000110,63000,9
臺灣大學,A0A010,2025-05-31T19:00:00+08:00,25.014278,121.539416,大安區,臺北市,63000030,63000,6
桃園農改,72C440,2025-05-31T19:00:00+08:00,24.950944,121.030583,新屋區,桃園市,68000110,68000,0
茶改場,82C160,2025-05-31T19:00:00+08:00,24.908472,121.185333,楊梅區,桃園市,68000040,68000,6
農工中心,A2C560,2025-05-31T19:00:00+08:00,24.985917,121.239833,中壢區,桃園市,68000020,68000,1
文山茶改,82A750,2025-05-31T19:00:00+08:00,24.955778,121.631222,石碇區,新北市,65000190,65000,5
桃改臺北,72AI40,2025-05-31T19:00:00+08:00,24.944503,121.386972,樹林區,新北市,65000070,65000,9
八德合作社,V2C250,2025-05-31T19:00:00+08:00,24.93775,121.266389,八德區,桃園市,68000080,68000,11
八德蔬果,V2C260,2025-05-31T19:00:00+08:00,24.978508,121.281819,八德區,桃園市,68000080,68000,0
台農院關渡站,G2AI50,2025-05-31T19:00:00+08:00,25.11575,121.492,北投區,臺北市,63000120,63000,2
富貴角,C2A920,2025-05-31T19:00:00+08:00,25.263783,121.565258,石門區,新北市,65000220,65000,3
福隆,C2A880,2025-05-31T19:00:00+08:00,25.017842,121.942083,貢寮區,新北市,65000260,65000,10
四堵,C2A540,2025-05-31T19:00:00+08:00,24.8926,121.745736,坪林區,新北市,65000200,65000,7
福山,C2A560,2025-05-31T19:00:00+08:00,24.776203,121.502811,烏來區,新北市,65000290,65000,5
瑞芳,C2A660,2025-05-31T19:00:00+08:00,25.113169,121.801147,瑞芳區,新北市,65000120,65000,4
火燒寮,C2A650,2025-05-31T19:00:00+08:00,25.002719,121.742892,平溪區,新北市,65000240,65000,8
國三甲005K,CAA090,2025-05-31T19:00:00+08:00,25.00194,121.5975,文山區,臺北市,63000080,63000,6
國二E009K,CAC020,2025-05-31T19:00:00+08:00,25.018244,121.273697,桃園區,桃園市,68000010,68000,9
