period_sort,period_label,iso_date,city,energy_type,capacity_kw
101-00,101年,2012-01-01T00:00:00+08:00,台北市,其他(含水力),0
101-00,101年,2012-01-01T00:00:00+08:00,台北市,太陽光電,172
101-00,101年,2012-01-01T00:00:00+08:00,台北市,風力,0
101-00,101年,2012-01-01T00:00:00+08:00,新北市,其他(含水力),110720
101-00,101年,2012-01-01T00:00:00+08:00,新北市,太陽光電,569
101-00,101年,2012-01-01T00:00:00+08:00,新北市,風力,9960
102-00,102年,2013-01-01T00:00:00+08:00,台北市,其他(含水力),0
102-00,102年,2013-01-01T00:00:00+08:00,台北市,太陽光電,236
102-00,102年,2013-01-01T00:00:00+08:00,台北市,風力,0
102-00,102年,2013-01-01T00:00:00+08:00,新北市,其他(含水力),110720
102-00,102年,2013-01-01T00:00:00+08:00,新北市,太陽光電,870
102-00,102年,2013-01-01T00:00:00+08:00,新北市,風力,9960
103-00,103年,2014-01-01T00:00:00+08:00,台北市,其他(含水力),0
103-00,103年,2014-01-01T00:00:00+08:00,台北市,太陽光電,284
103-00,103年,2014-01-01T00:00:00+08:00,台北市,風力,0
103-00,103年,2014-01-01T00:00:00+08:00,新北市,其他(含水力),110720
103-00,103年,2014-01-01T00:00:00+08:00,新北市,太陽光電,3968
103-00,103年,2014-01-01T00:00:00+08:00,新北市,風力,9960
104-00,104年,2015-01-01T00:00:00+08:00,台北市,其他(含水力),0
104-00,104年,2015-01-01T00:00:00+08:00,台北市,太陽光電,423
104-00,104年,2015-01-01T00:00:00+08:00,台北市,風力,0
104-00,104年,2015-01-01T00:00:00+08:00,新北市,其他(含水力),110720
104-00,104年,2015-01-01T00:00:00+08:00,新北市,太陽光電,6567
104-00,104年,2015-01-01T00:00:00+08:00,新北市,風力,9960
105-00,105年,2016-01-01T00:00:00+08:00,台北市,其他(含水力),0
105-00,105年,2016-01-01T00:00:00+08:00,台北市,太陽光電,468
105-00,105年,2016-01-01T00:00:00+08:00,台北市,風力,0
105-00,105年,2016-01-01T00:00:00+08:00,新北市,其他(含水力),110720
105-00,105年,2016-01-01T00:00:00+08:00,新北市,太陽光電,9984
105-00,105年,2016-01-01T00:00:00+08:00,新北市,風力,9960
