年別,縣市,風力（瓩）,太陽光電（瓩）,其他(含水力)（瓩）
101,台北市,0,172,0
101,新北市,9960,569,110720
102,台北市,0,236,0
102,新北市,9960,870,110720
103,台北市,0,284,0
103,新北市,9960,3968,110720
104,台北市,0,423,0
104,新北市,9960,6567,110720
105,台北市,0,468,0
105,新北市,9960,9984,110720
106,台北市,0,6029,0
106,新北市,9960,13586,110720
107,台北市,0,10902,0
107,新北市,9960,20231,110720
108,台北市,0,19386,0
108,新北市,9960,25606,110720
109,台北市,0,33674,260
109,新北市,14660,49434,110720
110,台北市,0,40515,260
110,新北市,13340,70907,110720
111,台北市,0,65175,260
111,新北市,13340,129453,110720
112,台北市,0,75080,260
112,新北市,13340,159402,111720
113,台北市,0,80242,260
113,新北市,13340,184135,111920
114,台北市,0,83445,260
114,新北市,13340,198720,111970
11502,台北市,0,83862,260
11502,新北市,13340,202752,111970
