no,area,name,address,latitude,longitude
1,鶯歌區,麥當勞鶯歌文化店-女廁,新北市鶯歌區南靖里文化路363號,24.951092,121.352289
2,三峽區,三峽區公有零售市場1F-男廁,新北市三峽區永館里民生街186號,24.934932,121.370673
3,三峽區,中油清溪加油站-男廁,新北市三峽區溪東里溪東89號,24.934785,121.401373
4,淡水區,麥當勞淡水中山店2F-男廁,新北市淡水區新義里中山北路1段105號,25.17652565,121.4424822
5,淡水區,麥當勞淡水中山店2F-女廁,新北市淡水區新義里中山北路1段105號,25.176545,121.442443
6,淡水區,淡水無極天元宮(天壇)-女廁,新北市淡水區水源里北新路3段36號,25.18657347,121.4849496
7,淡水區,中油竹圍加油站-女廁,新北市淡水區竹圍里民權路86號,25.133531,121.458896
8,淡水區,中油永秦加油站-女廁,新北市淡水區竿蓁里中正東路36號,25.165579,121.448802
9,淡水區,中油金滿益加油站-男廁,新北市淡水區竿蓁里淡金路101號,25.167126,121.459848
10,淡水區,中油金滿益加油站-女廁,新北市淡水區竿蓁里淡金路101號,25.167126,121.459848
11,淡水區,淡水福佑宮-女廁,新北市淡水區民安里中正路200號,25.17006,121.4399
12,淡水區,漁人碼頭南邊木棧道1-1F-女廁,新北市淡水區沙崙里觀海路199號,25.181395,121.416777
13,瑞芳區,九份遊客中心-無障礙廁所,新北市瑞芳區崇文里汽車路89號,25.10975,121.84347
14,汐止區,復興活動中心-男廁,新北市汐止區復興里復興路1-1號,25.06204,121.660393
15,三峽區,三峽祖師廟-男廁,新北市三峽區秀川里長福街1號,24.9338,121.370367
16,三峽區,中油三峽加油站-男廁,新北市三峽區礁溪里介壽路一段193號,24.930879,121.377854
17,三峽區,中油三鶯加油站-男廁,新北市三峽區鳶山里復興路316號,24.93892522,121.3660981
18,三峽區,滿月圓森林遊樂區-男廁,新北市三峽區有木里有木174-1號,24.82214572,121.4490724
19,淡水區,新埔加油站-女廁,新北市淡水區賢孝里淡金路496號,25.22548017,121.451996
20,淡水區,北基淡金路加油站-男廁,新北市淡水區興仁里淡金路3段446號,25.214888,121.450886
21,淡水區,北基淡金路加油站-女廁,新北市淡水區興仁里淡金路3段446號,25.214888,121.450886
22,淡水區,淡水無極天元宮停車場-女廁,新北市淡水區水源里北新路3段36號,25.18650551,121.4849174
23,淡水區,淡水區竹圍活動中心5F-男廁,新北市淡水區民生里民生路27號,25.13787,121.461566
24,淡水區,中油淡水加油站-男廁,新北市淡水區幸福里中正東路1號,25.168902,121.445415
25,淡水區,漁人碼頭北邊停車場4-4F-女廁,新北市淡水區沙崙里觀海路199號,25.181395,121.416777
26,汐止區,國泰綜合醫院汐止分院1F-男廁,新北市汐止區城中里建成路59巷2號,25.072937,121.661353
27,汐止區,汐止綜合運動場南側-女廁,新北市汐止區秀峰里忠孝東路9號,25.06523,121.65852
28,汐止區,台亞新台五一加油站-男廁,新北市汐止區復興里新台五路一段115號,25.061686,121.651309
29,鶯歌區,麥當勞鶯歌文化店-混合廁所,新北市鶯歌區南靖里文化路363號,24.951092,121.352289
30,三峽區,全國橫溪加油站-男廁,新北市三峽區溪北里介壽路3段114號,24.941448,121.39776
31,三峽區,中油長壽山加油站-男廁,新北市三峽區溪北里介壽路3段131號,24.942694,121.399517
32,淡水區,肯德基淡水中山店2F-女廁,新北市淡水區新義里中山北路1段151號,25.177477,121.443117
33,淡水區,淡水無極天元宮停車場-男廁,新北市淡水區水源里北新路3段36號,25.18642784,121.4848638
34,淡水區,淡水區竹圍活動中心5F-女廁,新北市淡水區民生里民生路27號,25.13787,121.461566
35,淡水區,淡水鄞山寺-男廁,新北市淡水區鄧公里鄧公路15號,25.168873,121.448244
36,汐止區,摩斯漢堡汐止台五店2F-男廁,新北市汐止區復興里新台五路一段115號,25.06298,121.655119
37,汐止區,摩斯漢堡汐止台五店2F-女廁,新北市汐止區復興里新台五路一段115號,25.06298,121.655119
38,汐止區,中油淳寶加油站-女廁,新北市汐止區茄苳里新台五路二段236號,25.06677,121.670229
39,汐止區,汐止茄苳圖書館2F-女廁,新北市汐止區茄苳里茄苳路225巷35號,25.06921,121.672178
40,汐止區,中油保長坑加油站-男廁,新北市汐止區保安里大同路三段186-1號,25.074321,121.674377
41,汐止區,中油伯爵加油站-無障礙廁所,新北市汐止區江北里汐萬路一段39號,25.068984,121.654686
42,汐止區,中油伯爵加油站-女廁,新北市汐止區江北里汐萬路一段39號,25.068984,121.654686
43,汐止區,汐止江北圖書館2F-男廁,新北市汐止區江北里汐萬路一段81號,25.069195,121.654915
44,汐止區,復興市民活動中心-女廁,新北市汐止區復興里復興路1-1號,25.064921,121.655813
45,汐止區,中油保長坑加油站-女廁,新北市汐止區保安里大同路三段186-1號,25.074321,121.674377
46,汐止區,北基汐科加油站-男廁,新北市汐止區文化里新台五路一段132號,25.061796,121.652938
47,汐止區,宜興東勢市民活動中心-女廁,新北市汐止區東勢里東勢街15-1號,25.040757,121.629745
48,汐止區,福安市民活動中心3F-男廁,新北市汐止區秀山里勤進路1號,25.062169,121.660323
49,汐止區,福安市民活動中心3F-女廁,新北市汐止區秀山里勤進路1號,25.062169,121.660323
50,瑞芳區,瑞芳市場東側-女廁,新北市瑞芳區龍興里明燈路三段6號,25.10762,121.80887
51,瑞芳區,瑞芳市場西側-女廁,新北市瑞芳區龍興里明燈路三段6號,25.10761,121.80894
52,汐止區,中油汐止加油站-男廁,新北市汐止區樟樹里大同路一段353號,25.06004,121.639541
53,汐止區,中油汐止加油站-女廁,新北市汐止區樟樹里大同路一段353號,25.06004,121.639541
54,汐止區,全國東湖加油站-女廁,新北市汐止區北山里康寧街5號,25.067496,121.617975
55,汐止區,康誥坑公園-女廁,新北市汐止區白雲里水源路二段88巷處,25.055861,121.656374
56,汐止區,白雲市民活動中心-混合廁所,新北市汐止區白雲里水源路二段112號、114號,25.055531,121.656782
57,汐止區,橫科市民活動中心2F-男廁,新北市汐止區橫科里橫科路117號,25.049524,121.621484
58,汐止區,麥當勞汐止中興店2F-女廁,新北市汐止區中興里中興路168-10號,25.065643,121.631843
59,汐止區,金龍市民活動中心-混合廁所,新北市汐止區金龍里湖前街31巷2弄2號,25.069375,121.631854
60,淡水區,屎礐渡頭-混合廁所,新北市淡水區民安里中正路73號,25.170028,121.439756
61,淡水區,漁人碼頭北邊停車場3-3F-女廁,新北市淡水區沙崙里觀海路199號,25.181395,121.416777
62,汐止區,禮門市民活動中心-女廁,新北市汐止區禮門里中正路287號,25.068146,121.656675
63,汐止區,台亞汐止大同加油站-女廁,新北市汐止區智慧里大同路二段37號,25.06313,121.647853
64,汐止區,國泰綜合醫院汐止分院1F-女廁,新北市汐止區城中里建成路59巷2號,25.072937,121.661353
65,汐止區,汐止綜合運動場南側-男廁,新北市汐止區秀峰里忠孝東路9號,25.06523,121.65852
66,汐止區,台亞新台五一加油站-女廁,新北市汐止區復興里新台五路一段115號,25.061686,121.651309
