序號,據點名稱,行政區,據點地址,電話
1,台北市士林區天和社區發展協會,士林區,臺北市士林區天山里中山北路7段154巷 6號4樓,0936-889263
2,臺北市三樂樂齡關懷協會,士林區,臺北市士林區社園里社中街226號1樓,0937-070078
3,財團法人陽明山基督教天母禮拜堂,士林區,臺北市士林區天母里中山北路7段216巷 1號,02-28711622
4,財團法人臺北市松年長春社會福利基金會(士林),士林區,臺北市士林區天山里中山北路7段122號 3樓,02-28723425
5,臺北市士林區葫蘆里辦公處,士林區,臺北市士林區葫蘆里葫蘆街137號,0958-972685
6,臺北市士林區德行里里辦公處,士林區,臺北市士林區德行里德行西路30號,02-88662865
7,臺北市士林區忠義社區發展協會,士林區,臺北市士林區忠誠里德行東路104巷9弄 8號旁里民活動中心,02-28310943
8,財團法人台北市中華基督教浸信會慈光堂,士林區,臺北市士林區翠山里中社路1段43巷1號,02-28412290
9,台灣健康社區自主發展協會,士林區,臺北市士林區三玉里德行東路203巷2號 1樓,02-28369493
10,台北市士林區芝山岩社區發展協會,士林區,臺北市士林區名山里雨聲街68號(芝山岩區民活動中心),0911-328596
11,社團法人台北市士林全人關懷協會,士林區,臺北市士林區福德里中正路335巷9號 &11號,02-28812746
12,財團法人台北市華夏婦女文教基金會,士林區,臺北市士林區岩山里至誠路1段62巷28號,02-28318025
13,財團法人台北市天母基督教會,士林區,臺北市士林區天母里天玉街63.65號,02-28714742
14,臺北市士林區福中里辦公處,士林區,臺北市士林區福中里福港街151號10樓,02-28838207
15,臺北市士林區幸福名山社區發展協會,士林區,臺北市士林區名山里雨聲街68號,0936-466316
16,台北市劍橋有愛全人關懷協會,士林區,臺北市士林區百齡里福港街244巷3號1樓,02-28812424
17,臺北市士林區福順里辦公處,士林區,臺北市士林區福順里延平北路5段136巷 24號,02-28160989
18,財團法人天主教遣使會-聖文生之友社區關懷據點,士林區,臺北市士林區天山里中山北路7段134號,02-28763236
19,財團法人台灣聖公會(牧愛堂),士林區,臺北市士林區後港里中正路511號,02-28816317
20,臺北市士林區富光里辦公處,士林區,臺北市士林區富光里葫蘆街62號,02-28160879
21,財團法人新北市基督教新希望教會(百齡長青),士林區,臺北市士林區前港里承德路4段190號4樓,02-28815100
22,社團法人中華悅齡長照關懷協會,士林區,臺北市士林區福志里福林路377號(感恩堂),02-28327510
23,財團法人新北市基督教新希望教會(福中),士林區,臺北市士林區福中里福港街129巷10弄 12號1樓,02-28834569
24,臺北市士林區葫東里辦公處,士林區,臺北市士林區葫東里中正路589號1樓,0933-716265
25,財團法人福智慈善基金會(天母據點),士林區,臺北市士林區蘭興里中山北路6段243號 1樓,02-28382503#0
26,臺北市天母全人關懷協會,士林區,臺北市士林區天玉里中山北路7段81巷7號B2,02-28746222#114
27,社團法人中華仁親社區關懷協會,士林區,臺北市士林區義信里基河路128號2樓,02-77455477
28,臺北市士林海光社區發展協會,士林區,臺北市士林區富光里葫蘆街86號1樓,02-28162459
29,台北市朝陽服飾材料街區發展協會,大同區,臺北市大同區朝陽里重慶北路46巷6號,02-25523101
30,社團法人台北市歐伊寇斯OIKOS社區關懷協會,大同區,臺北市大同區永樂里延平北路2段60巷2號,0975-388979
31,臺北市大同區國慶社區發展協會,大同區,臺北市大同區國慶里重慶北路3段136巷 18、20號,02-25940089
32,社團法人中華萌愛關懷協會,大同區,臺北市大同區蓬萊里承德路3段60號B1,02-25931138
33,財團法人台北市建成基督長老教會,大同區,臺北市大同區建泰里承德路1段77巷29號,02-25580685
34,臺北市大同信望愛關懷協會(門諾),大同區,臺北市大同區至聖里重慶北路3段223巷 43、45、47號,02-25948855
35,財團法人臺北市松年長春社會福利基金會(大橋),大同區,臺北市大同區景星里迪化街2段65號、 67號1樓,02-25974784
36,天主教耕莘醫療財團法人永和耕莘醫院(大龍老人住宅),大同區,臺北市大同區至聖里民族西路105號4樓及4樓之1,02-66178186
37,台北市大同區慶安社區發展協會,大同區,臺北市大同區重慶里敦煌路90-92號1樓,0931-101838
38,台北市大同區大有里辦公處,大同區,臺北市大同區大有里民樂街179號1樓,0931-903250
39,社團法人中華視障安養福利協會,大同區,臺北市大同區隆和里伊寧街37號1樓,02-25952872
40,臺北市大同區圓環社區發展協會,大同區,臺北市大同區建功里重慶北路1段83巷 37號,02-25564651
41,臺北市大同區柴寮仔社區發展協會,大同區,臺北市大同區民權里民權西路172號1樓,0932-844756
42,財團法人臺北市松年長春社會福利基金會(大同),大同區,臺北市大同區光能里承德路2段33號1樓,02-25000261
43,臺北市大安區新民炤社區發展協會,大安區,"臺北市大安區民炤里建國南路1段286巷 48號1樓
臺北市大安區民炤里建國南路1段286巷 35號1樓",02-27012389
44,臺北市大安區民炤里辦公處,大安區,臺北市大安區民炤里信義路3段31巷5號 1樓,02-27008406
45,社團法人台灣厝邊有愛關懷協會 (台北和平),大安區,臺北市大安區龍安里和平東路1段183巷 9號,02-23510087
46,臺北市長立健康樂活協會,大安區,臺北市大安區龍陣里瑞安街75號3樓(瑞安區民活動中心),0958-918669
47,財團法人台北市城東基督長老教會,大安區,臺北市大安區建倫里安和路1段43號2樓及45號1樓(城東教會),02-27711282
48,財團法人福智慈善基金會(安和據點),大安區,"臺北市大安區光信里信義路4段265巷21弄3號1樓
臺北市大安區信義路4段265巷21弄1號1樓",02-77526788
49,臺北市大安區古莊社區發展協會,大安區,臺北市大安區古莊里羅斯福路2段81巷 16弄1-2號2樓,02-23696262
50,財團法人台灣基督長老教會大安教會,大安區,臺北市大安區群賢里和平東路3段1巷51號,02-27064477
51,財團法人成長文教基金會,大安區,臺北市大安區仁慈里東豐街1號2樓,02-27000657
52,財團法人全成社會福利基金會(大安老人服務暨日間照顧中心),大安區,臺北市大安區德安里四維路76巷12號,02-27086255
53,社團法人中華生命關愛協會,大安區,臺北市大安區芳和里和平東路3段212巷 12號,0922-407837
54,臺北市大安區住安社區發展協會,大安區,臺北市大安區住安里信義路4段30巷27弄24號1、2樓,02-27550387
55,臺北市大安區光明里辦公處,大安區,臺北市大安區光明里信義路2段86巷26號,0919-933237
56,社團法人台灣愛鄰社區服務協會,大安區,臺北市大安區龍門里和平東路2段24號愛鄰樓1F、愛鄰樓3F,02-23623022
57,臺北市大安區錦華里辦公處,大安區,"臺北市大安區杭州南路2段93巷1-1號1樓
臺北市大安區潮州街68號",02-23923999
58,社團法人台灣喜樂家族協會(大安),大安區,臺北市大安區仁愛里忠孝東路4段126- 19號7樓,02-87723092
59,社團法人中華民國香柏樹長者社區關懷協會(台電),大安區,臺北市大安區大學里羅斯福路3段275號 3樓,02-23636819#14
60,臺北市大安區錦町社區發展協會,大安區,臺北市大安區錦安里潮州街130巷3號1樓,02-23515967
61,臺北市大安區大安新龍社區發展協會,大安區,"臺北市大安區新龍里信義路3段134巷98號1樓
臺北市大安區新龍里信義路3段134巷82號2樓",02-27067771
62,台北市通化玫瑰社會關懷協會,大安區,臺北市大安區法治里通化街178號,02-27383514
63,社團法人台灣厝邊有愛關懷協會 (六張犁),大安區,臺北市大安區黎元里臥龍街215號,02-27329041
64,臺北市大安區群英里辦公處,大安區,臺北市大安區群英里四維路198巷30弄9號,02-27549339
65,社團法人中華民國香柏樹長者社區關懷協會(台大),大安區,臺北市大安區大學里新生南路3段86號 4、8、9樓(真理堂),02-23632096
66,臺北市大安區永康里辦公處,大安區,臺北市大安區永康里金華街199巷3弄6號1樓,0931-234954
67,臺北市大安區安東社區發展協會,大安區,"臺北市大安區誠安里安東街31之1號
臺北市大安區忠孝東路3段251巷12弄14號1樓",02-27715532
68,臺北市大安區法治里辦公處,大安區,臺北市大安區法治里通化街192號,0980-403536
69,社團法人臺北市永健長青促進協會,大安區,臺北市大安區龍陣里瑞安街71巷5弄1號 1F,02-27097719
70,中華民國紅十字會臺灣省分會（新生）,大安區,臺北市大安區龍坡里新生南路3段20-1號4樓,02-23630098
71,臺北市大安區古風社區發展協會,大安區,臺北市大安區古風里師大路117巷1號,02-33651622
72,台北市大安區龍陣里辦公處,大安區,臺北市大安區龍陣里瑞安街75號3樓,0958-918669
73,臺北醫學大學展齡服務暨研究中心,大安區,臺北市大安區法治里基隆路2段172-1號 9樓,02-66382736#1062
74,國立臺灣師範大學學務處全人教育中心,大安區,臺北市大安區錦安里和平東路1段129號,02-77495619
75,財團法人台北市中山基督長老教會,中山區,臺北市中山區正得里林森北路62號,02-25518480#119
76,社團法人中華民國明健慈善公益協進會,中山區,臺北市中山區民安里民生西路6號6樓,02-55740079
77,台北市敬老協會,中山區,"臺北市中山區中原里新生北路2段41巷7號1樓
臺北市中山區中原里新生北路2段53之3號2樓",02-25819955
78,財團法人味全文化教育基金會,中山區,臺北市中山區中央里松江路125號4樓,02-25065001
79,臺北市中山區朱厝崙社區發展協會,中山區,臺北市中山區朱崙里龍江路15號3樓(朱崙區民活動中心),02-27815504
80,財團法人新北市基督教新希望教會(中山五常),中山區,臺北市中山區下埤里龍江路377巷20號1樓,02-28815100
