no,area,name,address,latitude,longitude
1,中正區,臺北車站(署),臺北市中正區北平西路3號,25.047893,121.516989
2,南港區,台灣高鐵南港站,臺北市南港區南港路一段313號,25.053189,121.607064
3,信義區,信義國小地下停車場,臺北市信義區松勤路60號B1,25.032002,121.563301
4,內湖區,西湖公園地下停車場,臺北市內湖區內湖路一段387巷38號B1,25.08292,121.570252
5,內湖區,西康地下停車場,臺北市內湖區內湖路一段203巷25號B1,25.084768,121.563698
6,萬華區,新糖廍公園地下停車場,臺北市萬華區大理街160巷2號B1,25.033596,121.494246
7,中山區,進安公園地下停車場,臺北市中山區八德路二段158號B1-B3,25.046182,121.537702
8,松山區,偶戲博物館地下停車場,臺北市松山區市民大道五段99號B1,25.04779,121.561325
9,松山區,西松高中地下停車場,臺北市松山區健康路325巷19弄1號B1,25.055976,121.566071
10,信義區,松山車站(署),臺北市信義區松山路11號,25.049437,121.577914
11,萬華區,萬華車站(署),臺北市萬華區康定路321號,25.033445,121.501321
12,南港區,南港車站(署),臺北市南港區南港路一段313號,25.053575,121.607334
13,松山區,松山機場,臺北市松山區敦化北路340-9號,25.063666,121.551513
14,萬華區,洛陽停車場,臺北市萬華區環河南路一段1號,25.047595,121.505376
15,中正區,中山堂地下停車場,臺北市中正區衡陽路93號,25.043034,121.509728
16,萬華區,峨眉停車場,臺北市萬華區峨眉街83號,25.044327,121.505325
17,萬華區,莒光立體停車場,臺北市萬華區莒光路137號,25.031184,121.503462
18,士林區,蘭雅公園地下停車場,臺北市士林區德行東路129巷31號地下,25.109725,121.529402
19,南港區,世貿公園地下停車場,臺北市南港區經貿二路88巷,25.057615,121.616327
20,南港區,南港國小地下停車場,臺北市南港區興東街59號,25.056415,121.611213
21,南港區,玉成國小地下停車場,臺北市南港區昆陽街23號地下,25.053246,121.592578
22,信義區,松山工農地下停車場,臺北市信義區忠孝東路五段236巷15號,25.039011,121.572497
23,中正區,三創文化園區地下停車場,臺北市中正區市民大道三段2號,25.045728,121.531431
24,大安區,捷運忠孝復興站(文湖線),臺北市大安區忠孝東路三段302號,25.041483,121.542995
25,大安區,捷運大安站(文湖線),臺北市大安區信義路四段2號,25.033086,121.543828
26,大安區,捷運科技大樓站(文湖線),臺北市大安區復興南路二段235號,25.026136,121.543645
27,大安區,捷運六張犁站(文湖線),臺北市大安區和平東路三段168號,25.02379,121.553126
28,大安區,捷運麟光站(文湖線),臺北市大安區和平東路三段410號,25.018481,121.558729
29,中正區,捷運中正紀念堂站(松山新店線),臺北市中正區羅斯福路一段8之1號,25.032251,121.518363
