no,title,county,town,address,tel,mobile
1,埔墘福德宮,新北市,板橋區,中山路二段250巷1號(埔墘福德宮),(02)29645591,無
2,新北市板橋區大豐里辦公處,新北市,板橋區,忠孝路48巷5弄4號(大豐市民活動中心),(02)29524458,無
3,新北市板橋區親子服務協會,新北市,板橋區,中正路413巷2弄24、26號(中正市民活動中心),(02)29534297,無
4,新北市板橋區十二埒社區發展協會(原:金華社區發展協會),新北市,板橋區,中正路413巷2弄24號(中正市民活動中心),(02)29608956,無
5,財團法人台灣省私立健順養護中心(新北市板橋頤安公共托老中心),新北市,板橋區,廣權路130號(五權公園活動中心),(02)89533885,無
6,新北市板橋區仁愛里辦公處,新北市,板橋區,國慶路149巷21弄16號(忠孝公園市民活動中心),(02)89533956,無
7,新北市板橋區仁翠里辦公處,新北市,板橋區,裕民街76巷14號,(02)82521582,無
8,新北市板橋區鶴齡服務協會,新北市,板橋區,臨民生路二段56號之6(2樓),(02)22595930,無
9,新北市板橋區文翠里辦公處,新北市,板橋區,文聖街11巷12號,(02)82527372,無
10,新北市板橋區文德里辦公處,新北市,板橋區,新海路72巷4號1樓,(02)22573307,無
11,新北市板橋區正泰里辦公處,新北市,板橋區,三民路二段正泰二巷7號,(02)29570073,無
12,新北市板橋區國光社區發展協會,新北市,板橋區,民權路202巷7弄28號(民安活動中心),無,937002801
13,新北市板橋區民族里辦公處,新北市,板橋區,民族路247巷7弄34號1、2樓,(02)29506999,無
14,新北市板橋區光仁里辦公處,新北市,板橋區,仁街82號,(02)29611761,無
15,新北市板橋區中山社區發展協會,新北市,板橋區,光復街133巷5號,(02)29640347,無
16,新北市板橋區光華里辦公處,新北市,板橋區,光華街1號1-4樓(光華市民活動中心),(02)29601222,無
17,新北市板橋區光榮里辦公處,新北市,板橋區,光華街52號(光榮市民活動中心),(02)29685269,無
18,潮和鶴齡關懷協會(板橋江子翠潮和宮),新北市,板橋區,吳鳳路50巷93號,(02)89552550,無
19,新北市板橋區自立里辦公處,新北市,板橋區,大智街77號(自立市民活動中心),(02)29679914,無
20,新北市板橋區板新社區發展協會,新北市,板橋區,民生路二段89號之1號(西安市民活動中心),(02)29535919,無
21,新北市板橋區和平里辦公處,新北市,板橋區,和平路安樂巷51號,(02)29557838,無
22,新北市板橋區幸福里辦公處,新北市,板橋區,幸福路44號,(02)22574424,無
23,新北市奉獻地方服務協會,新北市,板橋區,雙十路二段191號,(02)22537879,無
24,新北市板橋愛活樂園公共托老中心(社團法人愛福家協會),新北市,板橋區,雙十路二段215號4樓,(02)22506500,無
25,新北市板橋區忠翠里辦公處,新北市,板橋區,雙十路二段47巷2弄33號,(02)22500277,無
26,新北市板橋區宏翠社區發展協會,新北市,板橋區,四維路168號,(02)22561965,無
27,新北市板橋區關懷社會協會,新北市,板橋區,雙十路二段69巷5號,無,910191833
28,新北市板橋區三民社區發展協會,新北市,板橋區,民生路1段30-1號(民生公園活動中心),(02)29561159,無
29,新北市萬福關懷銀髮族協會,新北市,板橋區,民生路1段30-1號(民生公園活動中心),(02)29552532,無
30,新北市板橋區東安里辦公處,新北市,板橋區,長安街331巷59號,(02)89517389,無
31,新北市板橋區松翠里辦公處,新北市,板橋區,松柏街15巷22-1號,(02)22511124,無
32,新北市板橋區老人會,新北市,板橋區,中正路86號,(02)29692100,無
33,板橋北極壇,新北市,板橋區,中正路80巷1弄7號,(02)29680470,無
34,新北市板橋區社後里辦公處,新北市,板橋區,大仁街33巷2號(社後里活動中心),(02)29677989,無
35,新北市板橋區金華里辦公處,新北市,板橋區,金華街10巷4號(金華市民活動中心),(02)29693025,無
36,新北市板橋區長壽里辦公處,新北市,板橋區,三民路二段109巷12號,(02)29612968,無
37,新北市板橋區信義里辦公處,新北市,板橋區,信義路74巷7弄3號,(02)29558215,無
38,新北市板橋區四汴頭社區發展協會,新北市,板橋區,信義路150巷43號(信義公園活動中心),(02)89642428,無
39,新北市板橋區建國里辦公處,新北市,板橋區,建國街59號,(02)29698142,無
40,新北市板橋區後埔里辦公處,新北市,板橋區,重慶路89巷9弄2號(後埔市民活動中心),(02)29565712,無
41,社團法人中華民國愛與希望協會,新北市,板橋區,館前東路96號3樓,(02)29511040,無
42,新北市後埔關懷協會,新北市,板橋區,後埔里館前東路96-3號,(02)29548562,無
43,財團法人台北市基督教台灣貴格會國光教會,新北市,板橋區,東門街30之2號4樓,(02)29694665,無
44,新北市板橋區香丘里辦公處,新北市,板橋區,漢生東路117巷7號,(02)89514121,無
45,新北市板橋區香社里辦公處,新北市,板橋區,中正路275巷69號,(02)29695810,無
46,新北市板橋區香雅里辦公處,新北市,板橋區,南雅西路二段307號,(02)29669675,無
47,新北市板橋區振興里辦公處,新北市,板橋區,振興里9鄰翠華街6巷1弄15號,(02)29635758,無
48,新北市板橋區浮洲里辦公處,新北市,板橋區,大觀路一段28巷111弄10號,無,912837753
49,新北市板橋區國光里辦公處,新北市,板橋區,國光路76號(國光市民活動中心),(02)29694828,無
50,新北市板橋區埤墘里辦公處,新北市,板橋區,縣民大道三段33之1號後門(埤墘第一市民活動中心),(02)89516381,無
51,新北市板橋區溪崑社區發展協會,新北市,板橋區,金門街253巷10弄7號(溪崑第二市民活動中心),(02)86751123,無
52,中華民國紅心字會,新北市,板橋區,存德街29號,(02)26815518,無
53,新北市板橋海山公共托老中心,新北市,板橋區,長安街253號,(02)89520151,無
54,新北市板橋區莊敬里辦公處,新北市,板橋區,民生路二段120號(莊敬市民活動中心),(02)22542199,無
55,新北市板橋區復興里辦公處,新北市,板橋區,大觀路二段32號(警衛室對面),(02)22753934,無
56,國軍退除役官兵輔導委員會板橋榮譽國民之家,新北市,板橋區,大觀路二段32號,(02)22755157,無
57,新北市板橋區朝陽里辦公處,新北市,板橋區,裕民街133巷2號,(02)22573257,無
58,新北市板橋區港尾里辦公處,新北市,板橋區,中正路336之1號(港尾市民活動中心),(02)29690815,無
59,社團法人台灣樂活服務發展協會(板橋港尾站),新北市,板橋區,中山路2段318巷20弄5號1樓,無,926627853
60,新北市板橋區港嘴里辦公處,新北市,板橋區,縣民大道三段245-1號(港嘴市民活動中心),(02)22591380,無
61,新北市板橋區湳興里辦公處,新北市,板橋區,南雅西路一段64號(湳興市民活動中心),(02)29679900,無
62,新北市板橋區華中里辦公處,新北市,板橋區,僑中一街102巷7弄1、3號(華中市民活動中心),(02)29680023,無
63,新北市板橋區埤墘社區發展協會,新北市,板橋區,莊敬路179號(埤墘第二市民活動中心),(02)82536683,無
64,新北市板橋區華江里辦公處,新北市,板橋區,民生路二段226巷17弄9號(巡守隊旁),(02)22528366,無
65,新北市板橋區華貴里辦公處,新北市,板橋區,大明街20巷19弄13號(華貴市民活動中心),(02)29510606,無
66,新北市板橋區華福里辦公處,新北市,板橋區,東興街17號,(02)29580219,無
67,新北市華福關懷協會,新北市,板橋區,大華街居安巷31號,(02)89658171,無
68,新北市板橋區華翠里辦公處,新北市,板橋區,莒光路133巷42號(華翠市民活動中心),(02)22528552,無
69,新北市板橋區華德里辦公處,新北市,板橋區,四川路二段245巷125號(華德公園活動中心),(02)89676580,無
70,新北市板橋區華東社區發展協會,新北市,板橋區,四川路二段245巷125號,無,910080339
71,新北市板橋區鄉雲里辦公處,新北市,板橋區,大華街168號(鄉雲市民活動中心),(02)29531198,無
72,社團法人中華民國天元慈善功德會,新北市,板橋區,四川路二段16巷5號10樓,(02)89673536,無
73,新北市板橋區陽明里辦公處,新北市,板橋區,陽明街166號,(02)22573159,無
74,新北市基督教女青年會,新北市,板橋區,北門街61號,(02)29655100,無
75,新北市板橋區新生里辦公處,新北市,板橋區,新生街23巷17號1樓(新生市民活動中心),(02)29691892,無
76,新北市板橋區新埔里辦公處,新北市,板橋區,文化路一段453巷31弄3號,(02)82510593,無
77,新北市板橋新埔商圈協會,新北市,板橋區,民有街1-2號1樓,(02)82536119,無
78,新北市板橋區新翠里辦公處,新北市,板橋區,陽明街166號,(02)22563351,921145586
79,新北市板橋區新興里辦公處,新北市,板橋區,中興路63號(新興市民活動中心),(02)29680816,無
80,新北市板橋區溪北里辦公處,新北市,板橋區,崑二街45號,(02)26831839,無
81,新北市健康九九輔導關懷促進協會,新北市,板橋區,滿平街69號,(02)26825630,無
82,新北市板橋區滿翠里辦公處,新北市,板橋區,民生路三段270之1號(六里聯合活動中心),(02)22556070,無
83,新北市慈光身心障礙者公益服務協會,新北市,板橋區,建國街132號,(02)22310955,無
84,新北市板橋區福丘里辦公處,新北市,板橋區,中山路一段115號(福丘里辦公處),(02)29539212,無
85,新北市板橋區景福社區發展協會,新北市,板橋區,四川路一段157巷7號(福星區民活動中心),(02)29512625,無
86,新北市板橋區福星里辦公處,新北市,板橋區,校前街39巷1號,(02)29510833,無
87,新北市板橋區福壽里辦公處,新北市,板橋區,三民路二段居仁巷2弄50號,(02)29579873,無
88,新北市板橋區福翠里辦公處,新北市,板橋區,萬板路812-1號(福翠市民活動中心),(02)22511102,無
89,新北市板橋區福泰社區發展協會,新北市,板橋區,忠孝路忠義巷9弄1-1號(福泰市民活動中心),(02)29513625,無
90,新北市板橋區聚安里辦公處,新北市,板橋區,龍興街71巷12號,(02)29600213,無
91,新北市板橋區雙新社區發展協會,新北市,板橋區,太和街6巷3號,(02)89645966,無
92,新北市新住民促進會,新北市,板橋區,永豐街124號(永豐公園市民活動中心),(02)29561159,無
93,新北市板橋區廣德里辦公處,新北市,板橋區,重慶路245巷32弄18號(重慶公園活動中心),(02)29643797,無
94,新北市板橋區德翠社區發展協會,新北市,板橋區,新海路403巷22號(新海里巡守崗亭),無,916207589
95,新北市板橋區德翠里辦公處,新北市,板橋區,中正路372巷(玫瑰公園),無,936284321
96,新北市板橋區龍興社區發展協會,新北市,板橋區,龍興街42號B1,(02)29670787,無
97,新北市板橋區大浮洲發展協進會(龍安站),新北市,板橋區,大觀路二段174巷118弄2號,(02)29589299,無
98,新北市板橋大同長青關懷協會,新北市,板橋區,文聖街209-1號(龍翠市民活動中心),(02)22512275,無
